Name,Entry Fee,Num of Entries,Top Prize,FPTS to Cash,Winner,FPTS to win,Total Entrees,Date
NBA $375K Saturday Spin Move,$40.00,"10,803","$50,000.00",289.50,spudclot,359.25,2,Dec-10-2016
NBA $325K Sharpshooter,$3.00,"126,622","$20,000.00",274.75,Gavone954,373.50,2,Dec-10-2016
NBA $200K Power Dribble,$400.00,555,"$25,000.00",290.75,kingfi,349.00,15,Dec-10-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",303.00,kingfi,349.00,3,Dec-10-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",292.00,sidewinder,339.75,1,Dec-10-2016
NBA $40K Sharpshooter,$3.00,"15,686",$875.00,262.25,hha9442730,318.00,1,Dec-10-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",293.00,deekay347,372.25,1,Dec-10-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",283.00,kjr32,353.00,2,Dec-10-2016
NBA $25K And-One,$1.00,"29,411",$850.00,280.50,coray38,380.25,3,Dec-10-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",258.25,sheridan24,328.25,2,Dec-10-2016
NBA $15K Hot Shot,$3.00,"5,778",$700.00,274.50,buddybing19,363.50,3,Dec-10-2016
NBA Single Entry $5 Double Up,$5.00,"2,298",$10.00,265.00,alyssapo,343.75,1,Dec-10-2016
Casual NBA $8K Zone,$5.00,"1,882","$1,000.00",281.00,1tarheel23,348.25,1,Dec-10-2016
NBA $8K Zone,$5.00,"1,882","$1,000.00",282.75,orfreak,356.75,1,Dec-10-2016
NBA $5K High Five,$5.00,"1,176",$500.00,288.25,TarBenders,348.00,1,Dec-10-2016
NBA $200K Four Point Play,$4.00,"58,823","$10,000.00",284.00,goodellboys,374.25,81,Dec-11-2016
NBA $75K Crossover,$27.00,"3,211","$5,000.00",291.75,rcrossley1992,356.75,2,Dec-11-2016
NBA $60K 3-Ball,$300.00,222,"$8,000.00",287.50,koachsarah,339.75,1,Dec-11-2016
NBA $25K All-Star,"$1,060.00",25,"$10,000.00",286.50,bshibru,326.25,1,Dec-11-2016
NBA $25K Sharpshooter,$3.00,"9,803",$662.50,291.75,WPalmer2014,368.00,2,Dec-11-2016
NBA $20K Sharpshooter,$3.00,"7,843","$1,000.00",275.25,moosecaboose61,364.75,1,Dec-11-2016
NBA Single Entry $5 Double Up,$5.00,689,$10.00,268.25,EvilEmpire10,341.50,1,Dec-11-2016
NBA $2K High Five,$5.00,470,$400.00,294.75,Carstars,337.75,1,Dec-11-2016
NBA $375K Four Point Play,$4.00,"110,294","$8,166.67",276.75,KHOSHBIZ,356.00,1,Dec-1-2016
NBA $275K Money Ball,$333.00,917,"$50,000.00",284.00,KHOSHBIZ,356.00,1,Dec-1-2016
NBA $250K Crossover,$27.00,"10,704","$20,000.00",281.50,ZMoN3Y,356.00,1,Dec-1-2016
NBA $130K Thunderdome,"$5,300.00",26,"$40,000.00",280.75,Kobe4MVP,309.25,1,Dec-1-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",281.50,JmoFoShoSUCKA,322.25,2,Dec-1-2016
NBA $50K Posterizer,$150.00,370,"$5,000.00",280.25,talkin97,328.75,1,Dec-1-2016
NBA $30K And-One,$1.00,"35,294",$324.55,276.25,SmallChocolateMalt,356.00,3,Dec-1-2016
NBA $25K Pump Fake,$27.00,"1,070","$2,000.00",284.50,hanchet5959,342.25,3,Dec-1-2016
NBA $25K Sky Hook,$9.00,"3,211","$1,000.00",279.25,ZMoN3Y,356.00,1,Dec-1-2016
NBA $20K Sharpshooter,$3.00,"7,843",$612.50,277.00,TheGreff,356.00,1,Dec-1-2016
NBA Single Entry $5 Double Up,$5.00,"3,448",$10.00,273.25,jpennino15,356.00,1,Dec-1-2016
NBA $15K Hot Shot,$3.00,"5,882",$700.00,277.75,SmallChocolateMalt,356.00,1,Dec-1-2016
NBA $5K High Five,$5.00,"1,176",$500.00,290.75,matt24ma,337.50,1,Dec-1-2016
NBA $500K Power Dunk,$444.00,"1,251","$75,000.00",292.50,Kobe4MVP,332.75,35,Dec-12-2016
NBA $450K Four Point Play,$4.00,"132,352","$50,000.00",277.00,JWest64,353.50,13,Dec-12-2016
NBA $250K Crossover,$27.00,"10,704","$25,000.00",286.25,lozingitall,343.75,150,Dec-12-2016
NBA $100K All-Star,"$1,060.00",100,"$20,000.00",298.75,hoop2410,321.75,1,Dec-12-2016
NBA $70K Sharpshooter,$3.00,"27,450","$1,261.11",281.25,youdacao,337.75,150,Dec-12-2016
NBA $40K Posterizer,$150.00,296,"$6,000.00",292.75,dabbind,328.25,1,Dec-12-2016
