"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Stephen Curry",9600,"SA@GS 10:30PM ET",51.070,"GS"
"SF/PF","Kevin Durant",9400,"SA@GS 10:30PM ET",49.392,"GS"
"SF/PF","LeBron James",9000,"NY@Cle 07:30PM ET",50.219,"Cle"
"PG","Damian Lillard",8500,"Uta@Por 10:00PM ET",43.270,"Por"
"PG","Kyrie Irving",8000,"NY@Cle 07:30PM ET",35.078,"Cle"
"SF","Kawhi Leonard",7800,"SA@GS 10:30PM ET",39.927,"SA"
"SF","Carmelo Anthony",7600,"NY@Cle 07:30PM ET",39.918,"NY"
"PF","Kristaps Porzingis",7400,"NY@Cle 07:30PM ET",30.722,"NY"
"PF/C","Draymond Green",7200,"SA@GS 10:30PM ET",43.007,"GS"
"PF/C","LaMarcus Aldridge",7100,"SA@GS 10:30PM ET",34.372,"SA"
"PF/C","Kevin Love",7000,"NY@Cle 07:30PM ET",34.595,"Cle"
"C","Rudy Gobert",7000,"Uta@Por 10:00PM ET",30.516,"Uta"
"C","Pau Gasol",6900,"SA@GS 10:30PM ET",41.670,"SA"
"SF","Gordon Hayward",6800,"Uta@Por 10:00PM ET",34.234,"Uta"
"PF","Derrick Favors",6700,"Uta@Por 10:00PM ET",33.746,"Uta"
"SG","Klay Thompson",6500,"SA@GS 10:30PM ET",34.212,"GS"
"PG/SG","C.J. McCollum",6300,"Uta@Por 10:00PM ET",34.107,"Por"
"SG","Rodney Hood",6000,"Uta@Por 10:00PM ET",25.294,"Uta"
"PG","Derrick Rose",5800,"NY@Cle 07:30PM ET",28.481,"NY"
"C","Joakim Noah",5500,"NY@Cle 07:30PM ET",23.353,"NY"
"PG","George Hill",5300,"Uta@Por 10:00PM ET",25.015,"Uta"
"C","Tristan Thompson",5100,"NY@Cle 07:30PM ET",22.194,"Cle"
"C","Mason Plumlee",4900,"Uta@Por 10:00PM ET",26.591,"Por"
"SG/SF","Evan Turner",4700,"Uta@Por 10:00PM ET",25.509,"Por"
"PG","Tony Parker",4600,"SA@GS 10:30PM ET",23.756,"SA"
"PG","Brandon Jennings",4500,"NY@Cle 07:30PM ET",16.198,"NY"
"PF","Al-Farouq Aminu",4400,"Uta@Por 10:00PM ET",24.624,"Por"
"SG/SF","Joe Johnson",4300,"Uta@Por 10:00PM ET",23.932,"Uta"
"SG","Danny Green",4200,"SA@GS 10:30PM ET",18.775,"SA"
"SG","J.R. Smith",4100,"NY@Cle 07:30PM ET",22.015,"Cle"
"C","Zaza Pachulia",4000,"SA@GS 10:30PM ET",24.552,"GS"
"SG","Manu Ginobili",3900,"SA@GS 10:30PM ET",19.173,"SA"
"PF/C","Ed Davis",3800,"Uta@Por 10:00PM ET",19.946,"Por"
"SG","Courtney Lee",3700,"NY@Cle 07:30PM ET",18.235,"NY"
"SF","Maurice Harkless",3700,"Uta@Por 10:00PM ET",15.079,"Por"
"PG","Patty Mills",3600,"SA@GS 10:30PM ET",16.593,"SA"
"PF/C","Trey Lyles",3600,"Uta@Por 10:00PM ET",12.916,"Uta"
"PF","Meyers Leonard",3600,"Uta@Por 10:00PM ET",18.098,"Por"
"SF","Andre Iguodala",3500,"SA@GS 10:30PM ET",20.753,"GS"
"SF","Kyle Anderson",3500,"SA@GS 10:30PM ET",12.222,"SA"
"SF","Joe Ingles",3500,"Uta@Por 10:00PM ET",9.886,"Uta"
"PG","Jordan McRae",3400,"NY@Cle 07:30PM ET",7.160,"Cle"
"PG","Dante Exum",3400,"Uta@Por 10:00PM ET",0,"Uta"
"SG/SF","Allen Crabbe",3400,"Uta@Por 10:00PM ET",17.614,"Por"
"PF","David Lee",3300,"SA@GS 10:30PM ET",18.039,"SA"
"SG","Alec Burks",3300,"Uta@Por 10:00PM ET",21.847,"Uta"
"C","Festus Ezeli",3300,"Uta@Por 10:00PM ET",14.572,"Por"
"C","Dewayne Dedmon",3200,"SA@GS 10:30PM ET",11.741,"SA"
"PF/C","Kyle O'Quinn",3200,"NY@Cle 07:30PM ET",12.938,"NY"
"PF","Channing Frye",3200,"NY@Cle 07:30PM ET",13.509,"Cle"
"PF","David West",3100,"SA@GS 10:30PM ET",16.699,"GS"
"PG","Kay Felder",3100,"NY@Cle 07:30PM ET",0,"Cle"
"SG","Iman Shumpert",3100,"NY@Cle 07:30PM ET",13.647,"Cle"
"SF/PF","Lance Thomas",3100,"NY@Cle 07:30PM ET",13.199,"NY"
"PF/C","Boris Diaw",3100,"Uta@Por 10:00PM ET",14.241,"Uta"
