Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
Portland Trail Blazers,PF,52.7,49.9,47.3,23.7,12.4,3.1,1.2,1.9,2.1,50.3,73.9,2.2
Los Angeles Lakers,PF,52.3,61.8,56.5,20.7,12.7,3.6,2.2,1.6,1.5,48.2,68.1,2.4
Brooklyn Nets,PF,51.4,45.7,47.5,21.9,11.9,3.1,2.0,1.6,1.8,50.6,70.3,2.3
Phoenix Suns,PF,50.9,49.7,50.3,20.4,11.8,4.1,1.8,1.7,1.2,46.3,79.7,3.1
New Orleans Pelicans,PF,50.9,54.9,50.3,19.7,13.0,4.0,1.7,1.1,1.5,44.0,74.3,2.2
Boston Celtics,PF,50.0,41.1,49.2,20.5,12.6,3.4,1.5,1.4,1.7,44.2,73.1,2.8
Indiana Pacers,PF,49.1,49.0,47.3,19.2,13.1,3.1,1.6,1.7,1.5,43.5,73.7,3.2
Sacramento Kings,PF,49.0,51.1,48.2,20.6,10.5,3.7,1.8,1.8,1.5,45.8,80.0,2.6
Washington Wizards,PF,48.2,43.5,48.6,22.4,11.6,2.5,1.4,1.5,2.2,49.5,61.3,3.2
Golden State Warriors,PF,47.8,52.8,48.1,21.5,13.0,2.4,1.4,1.0,1.4,47.4,73.3,2.9
Toronto Raptors,PF,47.2,47.9,44.1,20.5,12.1,3.0,1.0,1.2,2.0,44.2,74.1,2.4
Chicago Bulls,PF,46.7,43.5,45.1,19.8,11.5,3.2,1.4,1.3,1.4,48.2,68.4,2.3
Milwaukee Bucks,PF,46.7,46.3,48.1,19.4,11.5,3.0,1.4,1.7,1.0,44.1,82.6,2.0
Orlando Magic,PF,46.4,54.3,45.3,20.8,11.1,3.0,1.2,1.3,1.8,45.8,72.8,2.1
San Antonio Spurs,PF,45.3,41.8,42.4,20.8,10.4,2.9,1.4,1.1,1.6,42.8,82.3,2.6
Oklahoma City Thunder,PF,45.1,41.5,44.8,20.3,10.3,2.7,1.6,1.7,1.2,44.8,65.7,2.7
Charlotte Hornets,PF,45.0,46.8,43.2,19.5,12.4,2.5,0.8,1.3,1.5,45.5,74.1,2.1
Minnesota Timberwolves,PF,45.0,37.2,43.0,22.4,9.1,2.9,1.2,1.2,1.6,50.3,69.3,2.6
Philadelphia 76ers,PF,45.0,43.6,45.6,19.6,11.1,2.4,1.4,1.4,1.6,44.8,71.5,2.0
New York Knicks,PF,44.7,51.0,47.3,20.0,11.4,2.5,1.4,0.9,1.8,42.2,76.3,2.5
Dallas Mavericks,PF,44.4,46.1,41.2,18.6,11.8,2.9,1.3,0.9,1.5,48.1,74.7,2.6
Atlanta Hawks,PF,44.2,48.2,46.1,19.4,10.1,3.0,1.6,1.3,1.7,44.5,70.2,3.1
Houston Rockets,PF,44.2,39.0,43.7,18.7,11.1,2.4,1.7,1.4,1.1,47.1,71.3,2.1
Denver Nuggets,PF,43.8,39.9,42.2,19.4,10.3,2.7,1.4,1.3,1.5,47.2,76.4,2.3
Memphis Grizzlies,PF,43.4,49.4,46.8,18.2,11.4,2.2,1.5,1.4,1.2,43.6,72.0,2.4
Los Angeles Clippers,PF,42.9,48.7,46.7,18.7,10.9,3.2,1.2,0.7,1.3,46.0,73.5,2.6
Miami Heat,PF,42.2,45.6,43.8,18.4,11.4,1.9,1.2,1.5,1.4,47.8,70.9,2.2
Cleveland Cavaliers,PF,42.2,41.8,45.5,18.5,9.9,3.4,1.2,0.8,1.4,41.1,78.5,2.1
Detroit Pistons,PF,39.8,38.1,40.7,16.3,10.4,2.6,1.3,1.0,1.0,41.5,71.1,1.6
Utah Jazz,PF,39.2,45.4,41.2,17.8,9.8,2.1,1.1,1.0,1.6,42.8,71.9,2.0
