Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
Brooklyn Nets,PG,62.9,62.4,65.4,24.8,7.3,9.5,2.9,0.6,2.6,45.1,78.5,3.7
Atlanta Hawks,PG,62.0,72.8,67.3,24.8,7.0,9.6,2.4,0.8,2.3,44.6,78.8,3.6
Denver Nuggets,PG,58.2,54.9,56.1,23.9,6.4,9.1,2.6,0.5,1.9,43.4,83.7,3.9
New Orleans Pelicans,PG,57.7,71.1,62.9,24.2,6.6,9.2,1.7,0.3,2.7,43.6,75.2,3.6
Los Angeles Lakers,PG,57.3,63.7,55.1,23.4,5.7,9.8,2.0,0.3,2.6,47.1,81.5,4.0
Cleveland Cavaliers,PG,57.2,46.7,56.4,25.4,5.8,8.6,1.7,0.7,2.5,47.4,83.3,3.2
Oklahoma City Thunder,PG,55.8,55.0,52.7,21.2,7.1,9.1,2.3,0.2,2.1,41.3,82.7,3.1
Indiana Pacers,PG,55.5,53.6,56.3,23.4,5.0,9.1,2.0,0.7,2.1,42.1,84.6,3.9
Orlando Magic,PG,55.1,49.0,51.3,22.4,6.5,8.8,1.5,0.8,1.7,45.3,79.5,3.8
Phoenix Suns,PG,54.5,53.1,51.2,25.0,5.7,7.5,2.0,0.5,2.6,43.3,79.0,3.6
Toronto Raptors,PG,54.1,48.4,50.6,23.2,5.6,9.2,1.5,0.3,2.3,45.1,80.6,4.2
Detroit Pistons,PG,53.8,43.1,52.8,22.1,6.7,8.7,1.2,0.6,1.8,42.0,82.6,3.1
Minnesota Timberwolves,PG,53.7,55.5,53.8,22.8,5.9,8.3,2.4,0.3,2.3,45.3,86.8,4.1
Golden State Warriors,PG,53.6,45.7,52.5,22.4,5.7,8.2,2.4,0.4,2.2,40.0,81.5,3.5
Charlotte Hornets,PG,53.0,49.6,53.0,20.9,5.6,8.9,1.9,0.7,2.3,42.2,78.2,3.2
Sacramento Kings,PG,52.8,50.8,51.6,20.8,6.3,8.8,1.7,0.4,2.4,40.8,83.5,4.5
Chicago Bulls,PG,52.6,55.0,55.3,21.2,6.1,8.8,1.7,0.4,2.4,41.0,75.3,3.8
San Antonio Spurs,PG,52.3,47.0,49.8,21.0,6.6,8.3,1.6,0.3,1.6,45.9,80.2,3.2
Portland Trail Blazers,PG,52.1,47.2,52.4,23.0,5.2,7.4,2.0,0.7,2.5,40.6,83.0,3.3
Philadelphia 76ers,PG,52.1,43.7,46.8,22.1,6.4,8.1,1.8,0.3,2.1,44.2,80.3,3.1
New York Knicks,PG,51.7,59.0,54.7,21.9,5.4,8.5,1.9,0.2,1.7,42.1,87.7,3.7
Washington Wizards,PG,51.3,52.5,54.5,21.7,5.4,8.6,1.5,0.3,2.2,42.8,79.7,4.1
Houston Rockets,PG,50.5,57.5,50.4,21.6,4.7,8.4,1.9,0.4,2.0,40.0,84.9,4.0
Boston Celtics,PG,50.5,57.0,54.0,22.8,6.0,7.3,1.7,0.4,2.3,45.4,83.6,3.7
Milwaukee Bucks,PG,49.8,58.7,48.5,19.4,5.6,9.0,1.8,0.3,2.0,39.1,85.6,4.5
Memphis Grizzlies,PG,49.6,45.3,49.5,21.4,5.8,7.2,2.0,0.6,2.2,42.0,78.0,3.5
Los Angeles Clippers,PG,49.5,51.6,47.1,21.8,5.6,7.6,1.8,0.2,2.1,40.7,80.1,3.6
Utah Jazz,PG,47.5,54.0,50.2,20.7,5.7,7.1,1.8,0.3,2.2,39.3,87.6,3.3
Miami Heat,PG,47.0,47.6,48.0,19.3,5.8,7.8,1.1,0.7,1.6,37.1,82.2,3.4
Dallas Mavericks,PG,46.7,52.3,44.8,22.0,5.8,6.6,1.3,0.5,2.5,45.5,78.0,4.5
