Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
Brooklyn Nets,SF,47.0,46.6,50.4,23.2,9.0,3.0,1.8,0.9,2.7,46.7,69.4,1.7
Philadelphia 76ers,SF,47.0,37.7,44.4,20.8,8.5,4.1,2.2,0.7,2.0,45.2,83.0,2.6
Los Angeles Lakers,SF,46.8,45.1,44.9,21.5,7.6,4.3,2.6,0.6,1.7,49.0,75.9,2.3
Milwaukee Bucks,SF,46.0,44.6,44.9,21.8,8.5,3.7,1.7,0.9,2.8,44.0,71.7,2.8
Charlotte Hornets,SF,46.0,48.0,47.5,21.5,7.9,4.1,1.8,1.0,1.9,45.0,79.3,2.5
Boston Celtics,SF,44.7,36.1,41.8,20.9,8.6,3.8,1.2,0.9,1.7,44.7,75.8,2.2
Phoenix Suns,SF,44.7,42.9,46.4,20.1,8.9,3.5,1.8,1.0,1.7,44.3,83.8,2.2
New York Knicks,SF,44.6,43.8,43.4,20.7,8.0,3.6,1.8,0.9,1.9,44.1,76.7,2.4
Orlando Magic,SF,43.6,52.2,42.0,20.0,8.2,3.7,1.4,0.8,2.2,43.7,76.8,1.9
Chicago Bulls,SF,43.6,49.3,45.2,20.0,8.0,3.8,1.7,0.7,2.0,44.3,77.5,2.1
Miami Heat,SF,43.5,38.7,45.9,20.8,8.1,3.5,1.5,0.8,1.9,42.8,78.3,2.0
Portland Trail Blazers,SF,43.4,48.4,43.5,20.3,9.1,2.7,2.1,0.5,1.9,46.6,81.7,2.4
Oklahoma City Thunder,SF,43.0,43.3,43.9,20.1,7.7,3.2,1.9,1.1,2.0,45.1,74.8,1.9
Atlanta Hawks,SF,42.9,37.0,44.7,19.9,7.9,3.4,2.1,0.7,2.5,45.6,90.8,3.1
Houston Rockets,SF,42.8,37.3,42.8,21.7,7.4,3.0,1.8,0.6,2.3,46.7,82.6,1.8
Sacramento Kings,SF,42.7,47.4,46.0,20.6,8.0,3.0,2.0,0.5,2.8,45.1,78.9,2.2
Toronto Raptors,SF,42.6,46.0,39.9,20.9,7.9,3.8,1.0,0.5,2.0,44.1,78.2,2.8
Washington Wizards,SF,42.6,42.9,42.0,19.0,7.5,4.0,2.0,0.8,2.0,43.2,70.4,3.0
Minnesota Timberwolves,SF,42.4,45.4,49.9,20.6,7.0,3.4,1.8,0.8,2.2,44.2,82.1,1.9
Indiana Pacers,SF,41.6,39.6,41.5,18.1,8.7,3.4,1.6,0.7,2.4,43.5,81.6,1.8
New Orleans Pelicans,SF,41.4,38.3,40.9,17.7,8.3,3.5,1.8,0.8,1.7,39.6,78.9,2.1
Golden State Warriors,SF,41.3,44.0,42.1,19.7,7.3,3.3,2.0,0.6,2.0,39.7,85.1,2.4
Dallas Mavericks,SF,41.1,38.7,41.5,18.6,8.3,3.6,1.3,0.7,2.3,45.6,84.5,2.6
Los Angeles Clippers,SF,40.7,49.0,44.4,20.0,7.8,3.4,1.3,0.5,1.9,47.3,79.2,2.3
Cleveland Cavaliers,SF,40.3,32.6,34.1,17.0,7.9,3.2,2.1,0.9,2.1,39.7,70.9,2.0
Denver Nuggets,SF,38.9,36.5,40.5,19.3,6.3,2.9,1.8,0.8,1.9,43.4,87.5,1.9
Utah Jazz,SF,38.7,33.6,36.9,17.0,8.1,3.0,1.5,0.7,1.5,42.9,79.3,1.5
Detroit Pistons,SF,38.6,41.6,38.6,18.8,8.1,2.5,1.3,0.6,2.3,41.6,78.4,1.8
Memphis Grizzlies,SF,37.6,41.1,38.7,18.6,7.2,2.7,1.2,1.0,1.8,42.3,74.1,2.8
San Antonio Spurs,SF,36.7,35.7,37.5,16.6,7.2,3.0,1.5,0.7,1.7,43.0,75.9,2.1
