Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
Denver Nuggets,SG,48.7,47.8,49.1,25.4,6.0,4.7,1.7,0.6,2.6,45.6,77.9,1.8
Los Angeles Lakers,SG,44.7,45.0,47.2,24.2,5.2,4.4,1.4,0.4,3.1,43.9,79.7,2.2
New York Knicks,SG,44.1,43.1,42.4,22.1,6.8,4.0,1.6,0.2,3.1,45.0,85.0,1.9
Brooklyn Nets,SG,43.6,42.8,41.4,22.0,6.2,4.2,1.8,0.3,2.9,41.9,80.0,2.8
Indiana Pacers,SG,43.3,60.9,47.8,23.3,5.1,4.0,1.8,0.5,3.1,43.7,84.1,2.8
Milwaukee Bucks,SG,43.2,46.1,46.3,22.9,5.3,4.4,1.5,0.2,2.8,43.8,86.4,2.2
Houston Rockets,SG,43.2,36.6,41.6,22.7,5.4,3.8,1.8,0.4,3.1,44.1,84.3,2.3
Phoenix Suns,SG,43.0,41.0,41.5,25.2,5.2,3.2,1.3,0.5,3.2,46.0,78.0,2.6
Cleveland Cavaliers,SG,42.8,47.7,45.3,21.9,5.6,4.3,1.4,0.6,2.6,43.4,79.1,2.4
Sacramento Kings,SG,42.6,41.7,43.3,22.1,5.9,4.2,1.2,0.5,3.2,44.2,79.8,2.6
Golden State Warriors,SG,42.5,37.6,39.7,22.1,5.5,4.4,1.4,0.4,2.5,40.9,80.7,2.7
Washington Wizards,SG,42.2,40.9,39.5,21.4,5.1,4.6,1.6,0.4,2.8,46.8,84.0,2.7
Charlotte Hornets,SG,41.5,38.5,40.6,20.0,6.0,4.5,1.2,0.3,3.3,40.2,81.8,1.9
New Orleans Pelicans,SG,41.4,39.5,39.2,23.7,5.0,3.5,1.2,0.2,3.3,48.2,84.3,2.4
Atlanta Hawks,SG,41.3,44.2,43.4,21.1,5.1,3.9,2.0,0.5,2.7,42.3,73.5,2.5
Dallas Mavericks,SG,41.2,42.5,41.5,20.1,6.4,4.2,1.4,0.2,2.9,42.3,83.8,2.5
Boston Celtics,SG,40.8,36.9,40.3,19.4,5.6,3.9,1.5,1.2,2.3,39.8,81.5,2.1
San Antonio Spurs,SG,40.6,34.2,38.7,21.4,4.9,4.0,1.5,0.6,2.8,44.1,76.9,2.9
Memphis Grizzlies,SG,40.2,30.6,42.5,22.3,5.1,3.4,1.2,0.6,3.2,44.0,79.3,2.3
Miami Heat,SG,40.1,44.3,45.0,20.9,6.2,3.5,1.4,0.6,1.9,42.9,89.6,2.4
Portland Trail Blazers,SG,40.0,39.4,38.7,20.8,5.5,4.1,1.2,0.4,1.8,42.2,87.7,2.3
Chicago Bulls,SG,39.8,44.6,42.1,19.4,5.2,4.6,1.2,0.5,2.4,42.0,75.4,2.3
Philadelphia 76ers,SG,39.4,38.6,39.2,19.6,5.6,3.5,1.8,0.7,2.3,38.8,75.3,2.5
Oklahoma City Thunder,SG,38.9,44.6,40.3,21.6,4.9,3.5,1.5,0.2,2.4,42.9,74.1,2.9
Orlando Magic,SG,38.8,44.5,39.5,18.6,6.0,3.9,1.6,0.4,1.7,42.6,83.2,2.2
Detroit Pistons,SG,38.7,41.4,38.8,20.2,5.2,3.8,1.3,0.4,1.9,42.3,83.7,2.3
Los Angeles Clippers,SG,38.6,44.8,42.1,20.8,6.1,3.2,1.2,0.4,2.1,41.7,82.9,2.8
Utah Jazz,SG,37.8,38.5,38.9,20.6,5.6,3.1,1.3,0.3,2.2,44.6,77.5,2.6
Minnesota Timberwolves,SG,36.3,42.5,40.5,19.0,5.3,3.2,1.3,0.5,2.3,41.4,89.6,2.2
Toronto Raptors,SG,33.1,35.4,33.3,16.9,4.2,3.0,1.3,0.6,2.7,41.4,81.3,2.2
