Name,Pos,Risk
Robin Lopez,C,7.08
Greg Monroe,C,11.06
Trevor Booker,PF,11.15
Nicolas Batum,SG,11.24
Sean Kilpatrick,SG,11.96
Wesley Matthews,SG,10.25
Damian Lillard,PG,12.54
LeBron James,SF,18.87
Brook Lopez,C,13.98
Nikola Jokic,C,14.11
Marvin Williams,PF,11.16
Jimmy Butler,SG,11.52
Sean Kilpatrick,SG,11.96
Wesley Matthews,SG,10.25
Damian Lillard,PG,12.54
Jeff Teague,PG,10.41
Michael Kidd-Gilchrist,SF,9.43
Hassan Whiteside,C,13.28
Kevin Love,PF,13.31
Bojan Bogdanovic,SG,7.54
Sean Kilpatrick,SG,11.96
Wesley Matthews,SG,10.25
Damian Lillard,PG,12.54
Rajon Rondo,PG,15.22
Michael Kidd-Gilchrist,SF,9.43
Brook Lopez,C,13.98
Pau Gasol,C,12.02
Klay Thompson,SG,10.76
Sean Kilpatrick,SG,11.96
Jeff Teague,PG,10.41
Rajon Rondo,PG,15.22
LeBron James,SF,18.87
Hassan Whiteside,C,13.28
Nikola Jokic,C,14.11
JaMychal Green,PF,8.65
Trevor Booker,PF,11.15
Nicolas Batum,SG,11.24
Sean Kilpatrick,SG,11.96
Jeff Teague,PG,10.41
Rajon Rondo,PG,15.22
Stephen Curry,PG,8.25
Lou Williams,SG,10.62
Nik Stauskas,SG,7.75
Courtney Lee,SG,8.35
Eric Bledsoe,PG,11.91
Karl-Anthony Towns,PF,11.51
Marcus Morris,SF,7.32
Ersan Ilyasova,PF,12.32
Stephen Curry,PG,8.25
Lou Williams,SG,10.62
Zach LaVine,SG,10.98
Terry Rozier,PG,6.81
Andre Roberson,SG,8.28
Julius Randle,PF,13.35
Andre Drummond,C,13.8
Ersan Ilyasova,PF,12.32
Russell Westbrook,PG,13.75
Stephen Curry,PG,8.25
Courtney Lee,SG,8.35
Gerald Henderson,SG,8.94
Devin Booker,SG,10.82
Julius Randle,PF,13.35
Ersan Ilyasova,PF,12.32
Jon Leuer,PF,7.0
Russell Westbrook,PG,13.75
Stephen Curry,PG,8.25
Lou Williams,SG,10.62
Leandro Barbosa,PG,8.47
Tobias Harris,SF,9.36
Joakim Noah,C,11.54
Ersan Ilyasova,PF,12.32
Richaun Holmes,PF,9.85
Stephen Curry,PG,8.25
Victor Oladipo,SG,13.58
Courtney Lee,SG,8.35
Leandro Barbosa,PG,8.47
Anthony Davis,PF,22.27
Luol Deng,SF,8.78
Andre Drummond,C,13.8
Ersan Ilyasova,PF,12.32
Gordon Hayward,SF,18.64
James Johnson,SF,11.51
Wesley Matthews,SG,10.25
Giannis Antetokounmpo,PG,11.09
Andrew Harrison,PG,9.81
Trevor Booker,PF,11.15
Marc Gasol,C,14.43
DeAndre Jordan,C,8.54
Jabari Parker,SF,9.94
Evan Fournier,SG,9.14
Andrew Harrison,PG,9.81
Deron Williams,PG,14.65
Trevor Booker,PF,11.15
Marc Gasol,C,14.43
Kevin Durant,SF,9.35
Rudy Gobert,C,9.49
Salah Mejri,C,9.41
Wesley Matthews,SG,10.25
Giannis Antetokounmpo,PG,11.09
Tyler Johnson,PG,8.86
Trevor Booker,PF,11.15
JaMychal Green,PF,8.65
Kevin Durant,SF,9.35
Rudy Gobert,C,9.49
Jabari Parker,SF,9.94
Wesley Matthews,SG,10.25
Wayne Ellington,SG,11.58
Giannis Antetokounmpo,PG,11.09
Stephen Curry,PG,8.25
Andrew Harrison,PG,9.81
Rudy Gobert,C,9.49
Nikola Vucevic,C,14.94
