Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Russell Westbrook,Stephen Curry,Justin Holiday,Kelly Olynyk,Andre Drummond,Andrew Wiggins,P.J. Tucker,Andre Iguodala,OKC,GS,NY,BOS,DET,MIN,PHO,GS,PG,PG,PG,PF,C,SF,SF,SF,363.265563153,281.5,26,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Eric Bledsoe,Karl-Anthony Towns,Andre Drummond,P.J. Tucker,Andre Iguodala,Mindaugas Kuzminskas,OKC,PHI,PHO,MIN,DET,PHO,GS,NY,PG,SG,PG,PF,C,SF,SF,SF,486.334736599,279.25,39,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Eric Bledsoe,Karl-Anthony Towns,Andre Drummond,P.J. Tucker,Andre Iguodala,Mindaugas Kuzminskas,OKC,PHI,PHO,MIN,DET,PHO,GS,NY,PG,SG,PG,PF,C,SF,SF,SF,403.281192321,279.25,47,Dec112016,5,0.0
Russell Westbrook,Langston Galloway,Eric Bledsoe,Julius Randle,Joffrey Lauvergne,Andrew Wiggins,P.J. Tucker,Andre Iguodala,OKC,NO,PHO,LAL,OKC,MIN,PHO,GS,PG,PG,PG,PF,PF,SF,SF,SF,502.896880826,276.5,71,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Eric Bledsoe,Julius Randle,Joffrey Lauvergne,Larry Nance Jr.,Andrew Wiggins,P.J. Tucker,OKC,PHI,PHO,LAL,OKC,LAL,MIN,PHO,PG,SG,PG,PF,PF,SF,SF,SF,420.241479546,265.5,35,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Justin Holiday,Karl-Anthony Towns,Larry Nance Jr.,Andrew Wiggins,P.J. Tucker,Richaun Holmes,OKC,GS,NY,MIN,LAL,MIN,PHO,PHI,PG,PG,PG,PF,SF,SF,SF,PF,462.708879055,260.75,53,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Eric Bledsoe,Karl-Anthony Towns,Nemanja Bjelica,Jerami Grant,P.J. Tucker,OKC,GS,PHI,PHO,MIN,MIN,OKC,PHO,PG,PG,SG,PG,PF,SF,SF,SF,430.543615628,258.5,17,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Ron Baker,Karl-Anthony Towns,Gorgui Dieng,Lance Thomas,Andrew Wiggins,P.J. Tucker,OKC,GS,NY,MIN,MIN,NY,MIN,PHO,PG,PG,SG,PF,PF,SF,SF,SF,364.039862712,255.25,88,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Lou Williams,Nik Stauskas,Marcus Morris,Joakim Noah,Ersan Ilyasova,Richaun Holmes,OKC,GS,LAL,PHI,DET,NY,PHI,PHI,PG,PG,SG,SG,SF,C,PF,PF,281.59,253.0,1,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Eric Bledsoe,Andre Drummond,Andrew Wiggins,Richaun Holmes,Amir Johnson,Domantas Sabonis,OKC,PHI,PHO,DET,MIN,PHI,BOS,OKC,PG,SG,PG,C,SF,PF,PF,PF,423.527527942,251.0,59,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,E'Twaun Moore,Gerald Henderson,Andre Roberson,Eric Bledsoe,Gorgui Dieng,Kelly Olynyk,OKC,GS,NO,PHI,OKC,PHO,MIN,BOS,PG,PG,SG,SG,SG,PG,PF,PF,428.872632108,249.0,76,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Brandon Knight,Justin Holiday,Karl-Anthony Towns,Dario Saric,Luol Deng,Andre Drummond,OKC,PHI,PHO,NY,MIN,PHI,LAL,DET,PG,SG,PG,PG,PF,SF,SF,C,409.003070869,246.5,28,Dec112016,5,0.0
Russell Westbrook,Stephen Curry,Gerald Henderson,Leandro Barbosa,Dario Saric,Larry Nance Jr.,Luol Deng,Andre Drummond,OKC,GS,PHI,PHO,PHI,LAL,LAL,DET,PG,PG,SG,PG,SF,SF,SF,C,482.53026725,245.0,20,Dec112016,5,0.0
Russell Westbrook,Gerald Henderson,Jordan Clarkson,Ian Clark,Karl-Anthony Towns,Andrew Wiggins,P.J. Tucker,Andre Iguodala,OKC,PHI,LAL,GS,MIN,MIN,PHO,GS,PG,SG,PG,PG,PF,SF,SF,SF,522.55914134,244.0,74,Dec112016,5,0.0
