Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date,Date
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,LAC,UTA,IND,WAS,ORL,LAC,CLE,IND,PF/C,C,PF,SG/SF,SG,PG,SF/PF,SF/PF,3700,7000,4700,3000,5300,8800,9400,8000,259.74,417.75,1,Dec102016,2016-12-10
Marreese Speights,Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,LAC,UTA,POR,IND,WAS,ORL,LAC,CLE,PF/C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,3700,7000,6900,4700,3000,5300,8800,9400,257.9,415.5,2,Dec102016,2016-12-10
Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,Paul George,UTA,IND,NO,WAS,ORL,LAC,CLE,IND,C,PF,PF,SG/SF,SG,PG,SF/PF,SF/PF,7000,4700,3000,3000,5300,8800,9400,8000,244.12,415.25,3,Dec102016,2016-12-10
Marreese Speights,Rudy Gobert,Thaddeus Young,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,Paul George,LAC,UTA,IND,WAS,DAL,LAC,CLE,IND,PF/C,C,PF,SG/SF,SG,PG,SF/PF,SF/PF,3700,7000,4700,3000,5300,8800,9400,8000,261.9,414.0,4,Dec102016,2016-12-10
Rudy Gobert,C.J. McCollum,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,POR,IND,NO,WAS,ORL,LAC,CLE,C,PG/SG,PF,PF,SG/SF,SG,PG,SF/PF,7000,6900,4700,3000,3000,5300,8800,9400,242.28,413.0,5,Dec102016,2016-12-10
Marreese Speights,Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,LAC,UTA,POR,IND,WAS,LAC,NO,CLE,PF/C,C,PG/SG,PF,SG/SF,PG,PG,SF/PF,3700,7000,6900,4700,3000,8800,5700,9400,252.95,412.75,6,Dec102016,2016-12-10
Marreese Speights,Marc Gasol,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,LAC,MEM,POR,IND,WAS,ORL,LAC,CLE,PF/C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,3700,7900,6900,4700,3000,5300,8800,9400,259.9,412.5,7,Dec102016,2016-12-10
Rudy Gobert,Thaddeus Young,Cheick Diallo,Kelly Oubre Jr.,Chris Paul,Tim Frazier,LeBron James,Paul George,UTA,IND,NO,WAS,LAC,NO,CLE,IND,C,PF,PF,SG/SF,PG,PG,SF/PF,SF/PF,7000,4700,3000,3000,8800,5700,9400,8000,239.17,412.5,8,Dec102016,2016-12-10
Rudy Gobert,Thaddeus Young,Cheick Diallo,Jimmy Butler,Kelly Oubre Jr.,Evan Fournier,Chris Paul,LeBron James,UTA,IND,NO,CHI,WAS,ORL,LAC,CLE,C,PF,PF,SG/SF,SG/SF,SG,PG,SF/PF,7000,4700,3000,8200,3000,5300,8800,9400,250.51,412.25,9,Dec102016,2016-12-10
Marreese Speights,Rudy Gobert,C.J. McCollum,Thaddeus Young,Kelly Oubre Jr.,Wesley Matthews,Chris Paul,LeBron James,LAC,UTA,POR,IND,WAS,DAL,LAC,CLE,PF/C,C,PG/SG,PF,SG/SF,SG,PG,SF/PF,3700,7000,6900,4700,3000,5300,8800,9400,260.06,411.75,10,Dec102016,2016-12-10
