Date,Player,Pos,Salary,Predicted,Scored,Team,Iteration
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,1
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,1
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,1
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,1
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,1
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,1
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,1
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,1
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,2
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,2
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,2
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,2
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,2
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,2
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,2
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,2
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,3
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,3
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,3
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,3
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,3
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,3
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,3
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,3
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,4
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,4
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,4
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,4
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,4
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,4
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,4
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,4
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,5
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,5
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,5
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,5
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,5
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,5
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,5
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,5
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,6
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,6
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,6
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,6
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,6
