Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames
Rudy Gobert,Nikola Jokic,C.J. McCollum,Marvin Williams,Nicolas Batum,Evan Fournier,Chris Paul,Rajon Rondo,UTA,DEN,POR,CHA,CHA,ORL,LAC,CHI,C,C,PG,PF,SG,SG,PG,PG,286.468,306.25,43,Dec102016,10
Hassan Whiteside,Robin Lopez,Frank Kaminsky,Jimmy Butler,Bojan Bogdanovic,Wesley Matthews,Rajon Rondo,LeBron James,MIA,CHI,CHA,CHI,BKN,DAL,CHI,CLE,C,C,PF,SG,SG,SG,PG,SF,287.008,305.5,38,Dec102016,10
Nikola Jokic,Robin Lopez,JaMychal Green,Nicolas Batum,Wesley Matthews,Damian Lillard,Elfrid Payton,LeBron James,DEN,CHI,MEM,CHA,DAL,POR,ORL,CLE,C,C,PF,SG,SG,PG,PG,SF,287.658,302.25,25,Dec102016,10
Pau Gasol,Nikola Jokic,Evan Fournier,Rodney McGruder,Damian Lillard,Jeff Teague,Rajon Rondo,LeBron James,SA,DEN,ORL,MIA,POR,IND,CHI,CLE,C,C,SG,SG,PG,PG,PG,SF,286.808,289.75,40,Dec102016,10
Nikola Jokic,Greg Monroe,Nicolas Batum,Sean Kilpatrick,Tony Allen,Chris Paul,LeBron James,Trevor Ariza,DEN,MIL,CHA,BKN,MEM,LAC,CLE,HOU,C,C,SG,SG,SG,PG,SF,SF,288.418,288.25,18,Dec102016,10
Nikola Jokic,John Henson,Frank Kaminsky,Jimmy Butler,Evan Turner,Sean Kilpatrick,Damian Lillard,LeBron James,DEN,MIL,CHA,CHI,POR,BKN,POR,CLE,C,C,PF,SG,SG,SG,PG,SF,286.378,285.25,45,Dec102016,10
Brook Lopez,Greg Monroe,Bojan Bogdanovic,Sean Kilpatrick,Wesley Matthews,Damian Lillard,Jeff Teague,LeBron James,BKN,MIL,BKN,BKN,DAL,POR,IND,CLE,C,C,SG,SG,SG,PG,PG,SF,291.488,279.75,6,Dec102016,10
Nikola Jokic,Marvin Williams,Kevin Love,Dwyane Wade,Sean Kilpatrick,Wesley Matthews,Rajon Rondo,LeBron James,DEN,CHA,CLE,CHI,BKN,DAL,CHI,CLE,C,PF,PF,SG,SG,SG,PG,SF,289.858,277.0,11,Dec102016,10
Brook Lopez,John Henson,Marvin Williams,Nicolas Batum,Tony Allen,Damian Lillard,Rajon Rondo,LeBron James,BKN,MIL,CHA,CHA,MEM,POR,CHI,CLE,C,C,PF,SG,SG,PG,PG,SF,287.128,276.75,35,Dec102016,10
Hassan Whiteside,Nikola Jokic,JaMychal Green,Matthew Dellavedova,Sean Kilpatrick,Jeff Teague,Patrick Beverley,LeBron James,MIA,DEN,MEM,MIL,BKN,IND,HOU,CLE,C,C,PF,PG,SG,PG,PG,SF,287.528,265.5,28,Dec102016,10
