Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
New Orleans Pelicans,C ,52.4,59.3,60.1,19.8,16.8,4.0,0.9,2.1,0.4,51.6,70.8,2.8
Philadelphia 76ers,C ,52.3,57.4,53.2,22.0,14.6,2.6,1.6,2.5,0.4,56.3,61.3,2.4
Brooklyn Nets,C ,51.8,57.1,54.5,21.8,14.3,3.8,1.2,2.5,0.4,53.9,79.2,3.3
Los Angeles Lakers,C ,51.4,56.7,57.2,20.5,14.4,3.1,1.6,2.8,0.6,54.1,65.5,2.8
Indiana Pacers,C ,51.2,47.6,52.7,20.5,16.5,2.5,1.4,2.3,0.4,56.1,67.8,3.4
Charlotte Hornets,C ,50.8,55.2,52.4,20.3,15.1,3.0,1.4,2.3,0.9,51.2,70.8,2.6
Miami Heat,C ,50.6,49.1,50.1,19.9,14.8,2.6,1.5,2.8,0.3,55.0,71.1,2.2
Chicago Bulls,C ,50.5,57.4,53.5,19.9,14.3,3.0,1.8,2.6,0.2,48.7,69.4,2.2
New York Knicks,C ,50.5,45.6,56.6,21.9,14.8,1.7,1.0,2.9,0.6,52.5,65.1,2.2
Portland Trail Blazers,C ,50.4,60.0,57.5,22.7,14.8,2.3,1.1,2.0,0.6,53.6,67.9,2.4
Houston Rockets,C ,49.9,52.3,55.6,19.3,14.6,3.6,1.4,2.7,0.1,53.1,66.7,3.7
Orlando Magic,C ,49.8,59.3,57.3,19.5,15.3,2.6,1.1,2.5,0.3,50.3,65.7,2.1
Washington Wizards,C ,49.7,58.3,53.3,20.2,15.2,2.6,1.1,2.4,0.5,56.2,59.4,2.8
Cleveland Cavaliers,C ,49.7,58.0,55.1,19.2,16.8,3.2,0.9,2.0,0.6,51.9,62.7,3.5
Milwaukee Bucks,C ,49.5,50.0,50.2,18.6,14.8,3.4,1.3,2.6,0.9,47.5,65.3,2.6
Boston Celtics,C ,49.5,49.4,50.3,19.8,15.6,3.1,1.5,1.7,0.4,51.0,64.4,3.1
Phoenix Suns,C ,49.1,59.9,54.3,21.3,14.2,3.5,0.9,2.0,0.6,53.0,69.6,3.8
Dallas Mavericks,C ,48.9,54.4,48.9,20.5,14.9,2.8,1.4,1.7,0.2,54.4,68.1,2.7
Minnesota Timberwolves,C ,48.1,50.2,48.6,20.5,14.2,2.6,0.7,2.5,0.6,56.6,66.3,2.8
Sacramento Kings,C ,47.2,51.0,51.1,19.1,13.5,2.3,1.2,3.0,0.5,55.1,61.3,2.4
Toronto Raptors,C ,46.9,55.6,51.2,20.8,13.9,2.4,1.2,1.8,0.4,52.5,64.9,2.8
Golden State Warriors,C ,46.6,56.3,49.4,19.1,15.2,3.0,1.1,1.3,0.3,54.9,63.6,2.7
Denver Nuggets,C ,46.5,49.4,50.6,18.8,13.1,2.5,1.3,2.7,0.3,55.7,61.1,1.8
Detroit Pistons,C ,45.9,39.6,40.5,17.7,13.8,2.7,1.6,2.3,0.5,51.8,61.9,3.1
Oklahoma City Thunder,C ,44.7,52.1,48.8,19.4,12.3,2.6,1.1,2.4,0.7,53.9,69.9,3.1
Utah Jazz,C ,44.6,41.7,40.2,19.5,13.5,2.3,0.9,1.8,0.3,45.9,59.0,1.9
Los Angeles Clippers,C ,44.4,44.7,48.8,18.9,13.0,3.2,1.2,1.3,0.7,47.5,65.0,2.8
Atlanta Hawks,C ,43.8,47.5,46.4,16.2,14.5,2.1,1.7,2.0,0.2,51.8,70.2,3.4
San Antonio Spurs,C ,42.8,42.4,45.0,16.8,14.3,2.5,1.1,1.4,0.1,48.2,71.4,2.8
Memphis Grizzlies,C ,40.0,34.2,37.4,13.9,13.2,2.9,1.2,1.9,0.5,45.8,58.7,3.6
