Team,Position,Season,Last 5,Last 10,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO
Denver Nuggets,SG,48.8,50.2,49.1,25.6,6.0,4.7,1.7,0.6,2.5,45.7,78.8,1.7
Los Angeles Lakers,SG,45.1,48.3,49.4,24.2,5.4,4.4,1.5,0.4,3.1,43.5,80.3,2.3
Brooklyn Nets,SG,43.5,46.3,40.5,22.1,6.2,4.1,1.9,0.4,2.9,41.9,80.2,2.8
Houston Rockets,SG,43.5,38.1,42.9,22.8,5.4,3.9,1.8,0.5,3.2,44.1,84.7,2.4
New York Knicks,SG,43.5,41.9,40.7,22.1,6.6,3.9,1.5,0.2,3.0,44.1,84.7,2.0
Milwaukee Bucks,SG,43.4,48.8,45.6,23.0,5.3,4.5,1.5,0.2,2.7,43.8,85.3,2.3
Sacramento Kings,SG,43.1,43.5,45.6,22.0,5.8,4.4,1.2,0.6,3.2,43.7,79.8,2.6
Indiana Pacers,SG,42.7,45.0,46.8,22.7,5.3,4.0,1.7,0.4,3.1,42.8,83.8,2.9
Cleveland Cavaliers,SG,42.7,41.0,45.8,21.8,5.6,4.3,1.3,0.6,2.7,43.3,80.0,2.4
Golden State Warriors,SG,42.5,36.0,39.7,21.9,5.5,4.5,1.4,0.4,2.5,40.8,81.3,2.6
Washington Wizards,SG,42.1,39.2,40.0,21.5,5.1,4.5,1.6,0.4,2.9,47.0,84.0,2.7
Atlanta Hawks,SG,42.1,46.1,45.9,21.6,5.1,4.0,2.0,0.5,2.8,43.6,72.0,2.5
San Antonio Spurs,SG,41.8,45.8,41.3,21.8,5.1,4.1,1.6,0.6,2.8,44.1,77.2,2.9
Phoenix Suns,SG,41.8,32.1,37.2,24.1,5.0,3.3,1.3,0.5,3.1,46.0,79.0,2.7
Charlotte Hornets,SG,41.6,40.3,40.6,20.1,6.0,4.5,1.2,0.3,3.3,40.4,81.0,1.8
New Orleans Pelicans,SG,41.1,39.6,38.2,23.3,5.2,3.5,1.1,0.3,3.3,47.1,84.2,2.3
Portland Trail Blazers,SG,40.7,40.2,41.2,21.1,5.5,4.2,1.2,0.5,2.0,42.3,88.2,2.2
Dallas Mavericks,SG,40.6,36.1,40.1,19.9,6.3,4.1,1.4,0.2,2.9,42.4,84.2,2.5
Boston Celtics,SG,40.4,37.3,39.1,19.3,5.4,4.0,1.5,1.1,2.4,40.2,81.1,2.2
Miami Heat,SG,40.3,46.0,44.7,21.1,6.3,3.5,1.3,0.6,2.0,42.6,89.3,2.4
Philadelphia 76ers,SG,40.0,39.6,43.5,20.2,5.5,3.5,1.8,0.7,2.3,39.6,75.7,2.4
Chicago Bulls,SG,40.0,40.5,43.0,19.3,5.2,4.8,1.1,0.5,2.3,42.5,74.6,2.3
Memphis Grizzlies,SG,39.9,34.3,39.3,21.7,5.2,3.4,1.2,0.6,3.1,43.0,77.6,2.5
Oklahoma City Thunder,SG,39.3,42.9,40.8,21.9,4.9,3.5,1.5,0.2,2.5,43.6,73.9,2.8
Los Angeles Clippers,SG,39.0,43.9,43.4,21.0,6.0,3.4,1.1,0.4,2.1,41.8,83.5,2.8
Detroit Pistons,SG,38.5,41.7,38.2,19.8,5.2,3.8,1.4,0.4,1.9,41.8,83.2,2.2
Minnesota Timberwolves,SG,38.4,50.2,45.4,19.5,5.5,3.6,1.4,0.5,2.2,41.0,86.6,2.2
Orlando Magic,SG,38.2,40.2,38.8,18.8,5.9,3.7,1.5,0.4,2.0,42.6,82.4,2.1
Utah Jazz,SG,37.3,33.1,38.0,20.4,5.5,3.0,1.3,0.3,2.2,44.5,77.0,2.5
Toronto Raptors,SG,32.9,34.6,33.2,17.0,4.0,3.0,1.3,0.6,2.7,41.9,82.4,2.2
