Name,Pos,Risk
Marreese Speights,PF,9.04
Nikola Jokic,C,14.11
C.J. McCollum,PG,10.72
Thaddeus Young,PF,9.39
Jimmy Butler,SG,11.52
Kelly Oubre Jr.,SG,10.06
Chris Paul,PG,10.84
LeBron James,SF,18.87
Cody Zeller,C,9.87
Cheick Diallo,PF,7.31
Kelly Oubre Jr.,SG,10.06
Evan Fournier,SG,9.14
Chris Paul,PG,10.84
Damian Lillard,PG,12.54
LeBron James,SF,18.87
Paul George,SF,18.51
Kawhi Leonard,SF,8.33
Rudy Gobert,C,9.49
Thaddeus Young,PF,9.39
Cheick Diallo,PF,7.31
Wesley Matthews,SG,10.25
Chris Paul,PG,10.84
Austin Rivers,PG,9.33
LeBron James,SF,18.87
Rudy Gobert,C,9.49
Luis Scola,PF,8.27
C.J. McCollum,PG,10.72
Mirza Teletovic,PF,8.47
Dwyane Wade,SG,13.37
Evan Fournier,SG,9.14
Chris Paul,PG,10.84
LeBron James,SF,18.87
Danilo Gallinari,SF,10.99
Rudy Gobert,C,9.49
Thaddeus Young,PF,9.39
Mirza Teletovic,PF,8.47
Kelly Oubre Jr.,SG,10.06
John Wall,PG,16.4
Damian Lillard,PG,12.54
LeBron James,SF,18.87
Klay Thompson,SG,10.76
T.J. McConnell,PG,8.24
Eric Bledsoe,PG,11.91
Karl-Anthony Towns,PF,11.51
Luol Deng,SF,8.78
Andre Drummond,C,13.8
Tim Frazier,PG,14.31
Kristaps Porzingis,PF,11.06
Russell Westbrook,PG,13.75
Lou Williams,SG,10.62
Zach LaVine,SG,10.98
T.J. McConnell,PG,8.24
Tyson Chandler,C,14.22
Tim Frazier,PG,14.31
P.J. Tucker,SF,10.57
Kristaps Porzingis,PF,11.06
Russell Westbrook,PG,13.75
Stanley Johnson,SG,7.02
Eric Bledsoe,PG,11.91
Julius Randle,PF,13.35
Guillermo Hernangomez,C,8.58
Tim Frazier,PG,14.31
Robert Covington,SF,13.21
Kristaps Porzingis,PF,11.06
Stephen Curry,PG,8.25
Marcus Smart,SG,10.48
Karl-Anthony Towns,PF,11.51
Marcus Morris,SF,7.32
Tyson Chandler,C,14.22
Tim Frazier,PG,14.31
Robert Covington,SF,13.21
Kristaps Porzingis,PF,11.06
Lou Williams,SG,10.62
Eric Bledsoe,PG,11.91
Marcus Morris,SF,7.32
Steven Adams,C,7.8
Jrue Holiday,PG,17.07
Tim Frazier,PG,14.31
Andrew Wiggins,SF,12.19
Kristaps Porzingis,PF,11.06
James Harden,PG,8.6
Draymond Green,PF,11.44
James Johnson,SF,11.51
Joe Johnson,SG,8.59
Deron Williams,PG,14.65
Austin Rivers,PG,9.33
Kevin Durant,SF,9.35
John Henson,C,10.87
James Harden,PG,8.6
Montrezl Harrell,PF,10.18
Gordon Hayward,SF,18.64
James Johnson,SF,11.51
Jonathan Gibson,SG,11.09
Randy Foye,PG,7.54
Marc Gasol,C,14.43
Kevin Durant,SF,9.35
James Harden,PG,8.6
Roy Hibbert,C,8.85
Joe Ingles,SF,10.37
James Johnson,SF,11.51
Troy Daniels,SG,12.28
Giannis Antetokounmpo,PG,11.09
Ryan Anderson,PF,8.12
Kevin Durant,SF,9.35
Draymond Green,PF,11.44
Gordon Hayward,SF,18.64
Malcolm Brogdon,SG,6.92
Goran Dragic,PG,17.42
Austin Rivers,PG,9.33
Ryan Anderson,PF,8.12
Marc Gasol,C,14.43
Kevin Durant,SF,9.35
Draymond Green,PF,11.44
Sam Dekker,SF,6.98
James Johnson,SF,11.51
J.J. Redick,SG,8.88
Giannis Antetokounmpo,PG,11.09
Shelvin Mack,PG,7.59
Marc Gasol,C,14.43
Kevin Durant,SF,9.35
James Harden,PG,8.6
Luol Deng,SF,8.78
Terrence Ross,SG,8.88
Dorian Finney-Smith,SF,9.04
Chris Paul,PG,10.84
Goran Dragic,PG,17.42
Nikola Jokic,C,14.11
Mason Plumlee,C,8.92
Terrence Ross,SG,8.88
Omri Casspi,SF,9.15
Dorian Finney-Smith,SF,9.04
John Wall,PG,16.4
Jeff Teague,PG,10.41
Blake Griffin,PF,13.99
DeMarcus Cousins,PF,18.58
Mason Plumlee,C,8.92
James Harden,PG,8.6
Dorian Finney-Smith,SF,9.04
Jeff Teague,PG,10.41
Ty Lawson,PG,9.28
Blake Griffin,PF,13.99
Trevor Booker,PF,11.15
Nikola Jokic,C,14.11
Myles Turner,C,11.28
Bradley Beal,SG,14.61
Terrence Ross,SG,8.88
Dorian Finney-Smith,SF,9.04
Damian Lillard,PG,12.54
Goran Dragic,PG,17.42
Jamal Murray,PG,10.21
DeMarcus Cousins,PF,18.58
Myles Turner,C,11.28
Wesley Matthews,SG,10.25
Terrence Ross,SG,8.88
Goran Dragic,PG,17.42
Ty Lawson,PG,9.28
Blake Griffin,PF,13.99
Ryan Anderson,PF,8.12
DeMarcus Cousins,PF,18.58
Nikola Jokic,C,14.11
Elfrid Payton,PG,12.09
Ricky Rubio,PG,11.36
J.R. Smith,SG,9.81
Eric Bledsoe,PG,11.91
Draymond Green,PF,11.44
Jimmy Butler,SG,11.52
Kristaps Porzingis,PF,11.06
Tyson Chandler,C,14.22
Elfrid Payton,PG,12.09
Andrew Wiggins,SF,12.19
Langston Galloway,PG,10.05
Zach LaVine,SG,10.98
Kevin Love,PF,13.31
Draymond Green,PF,11.44
Kristaps Porzingis,PF,11.06
Dennis Schroder,PG,9.75
Stephen Curry,PG,8.25
Elfrid Payton,PG,12.09
Thabo Sefolosha,SF,10.15
Eric Bledsoe,PG,11.91
Kevin Love,PF,13.31
Kyle O'Quinn,PF,11.26
Jimmy Butler,SG,11.52
Marquese Chriss,PF,6.92
Stephen Curry,PG,8.25
Andrew Wiggins,SF,12.19
Jodie Meeks,SG,8.55
Kyle O'Quinn,PF,11.26
Jimmy Butler,SG,11.52
Kristaps Porzingis,PF,11.06
Dennis Schroder,PG,9.75
Tyson Chandler,C,14.22
Elfrid Payton,PG,12.09
Andrew Wiggins,SF,12.19
Jodie Meeks,SG,8.55
Eric Bledsoe,PG,11.91
Draymond Green,PF,11.44
Kyle O'Quinn,PF,11.26
LeBron James,SF,18.87
Jrue Holiday,PG,17.07
John Wall,PG,16.4
Robert Covington,SF,13.21
Hassan Whiteside,C,13.28
Pau Gasol,C,12.02
Avery Bradley,SG,8.68
Nicolas Batum,SG,11.24
Austin Rivers,PG,9.33
Aaron Gordon,SF,8.04
James Harden,PG,8.6
John Wall,PG,16.4
Anthony Tolliver,PF,7.79
DeAndre Jordan,C,8.54
Timofey Mozgov,C,7.56
Avery Bradley,SG,8.68
Evan Fournier,SG,9.14
Aaron Gordon,SF,8.04
John Wall,PG,16.4
Anthony Tolliver,PF,7.79
Kawhi Leonard,SF,8.33
Robert Covington,SF,13.21
Hassan Whiteside,C,13.28
DeAndre Jordan,C,8.54
Bradley Beal,SG,14.61
Toney Douglas,PG,7.23
John Wall,PG,16.4
Ryan Anderson,PF,8.12
Kawhi Leonard,SF,8.33
DeAndre Jordan,C,8.54
Pau Gasol,C,12.02
Avery Bradley,SG,8.68
Sean Kilpatrick,SG,11.96
Tony Allen,SG,12.48
James Harden,PG,8.6
Jon Leuer,PF,7.0
Kemba Walker,PG,9.12
Robert Covington,SF,13.21
DeAndre Jordan,C,8.54
Pau Gasol,C,12.02
Avery Bradley,SG,8.68
Toney Douglas,PG,7.23
Buddy Hield,SG,8.52
Justin Holiday,PG,8.26
Myles Turner,C,11.28
Kevin Durant,SF,9.35
Jabari Parker,SF,9.94
Giannis Antetokounmpo,PG,11.09
Damian Lillard,PG,12.54
Gary Harris,SG,10.58
Anthony Davis,PF,22.27
Jrue Holiday,PG,17.07
Jeff Teague,PG,10.41
Justin Holiday,PG,8.26
Mason Plumlee,C,8.92
Jabari Parker,SF,9.94
Klay Thompson,SG,10.76
Gary Harris,SG,10.58
Jeff Teague,PG,10.41
Pau Gasol,C,12.02
Danilo Gallinari,SF,10.99
Giannis Antetokounmpo,PG,11.09
Damian Lillard,PG,12.54
Terrence Jones,PF,11.27
Klay Thompson,SG,10.76
Gary Harris,SG,10.58
Anthony Davis,PF,22.27
Buddy Hield,SG,8.52
Jeff Teague,PG,10.41
Guillermo Hernangomez,C,8.58
Jabari Parker,SF,9.94
Devin Booker,SG,10.82
Danilo Gallinari,SF,10.99
Damian Lillard,PG,12.54
Anthony Davis,PF,22.27
Justin Holiday,PG,8.26
Dewayne Dedmon,C,9.32
Wilson Chandler,SF,15.42
Danilo Gallinari,SF,10.99
Giannis Antetokounmpo,PG,11.09
Damian Lillard,PG,12.54
David West,PF,6.17
Ish Smith,PG,8.81
Jimmy Butler,SG,11.52
Blake Griffin,PF,13.99
Trevor Ariza,SF,7.32
Matt Barnes,SF,11.15
Al Horford,C,19.59
Marcin Gortat,C,8.15
Rajon Rondo,PG,15.22
Will Barton,SG,14.72
Kyle O'Quinn,PF,11.26
Carmelo Anthony,SF,12.95
Matt Barnes,SF,11.15
Al Horford,C,19.59
Chris Paul,PG,10.84
John Wall,PG,16.4
Rajon Rondo,PG,15.22
Taj Gibson,PF,7.45
Kentavious Caldwell-Pope,SG,11.48
Carmelo Anthony,SF,12.95
LeBron James,SF,18.87
Matt Barnes,SF,11.15
Marcin Gortat,C,8.15
Rajon Rondo,PG,15.22
