Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Marreese Speights,Nikola Jokic,C.J. McCollum,Thaddeus Young,Jimmy Butler,Kelly Oubre Jr.,Chris Paul,LeBron James,LAC,DEN,POR,IND,CHI,WAS,LAC,CLE,PF,C,PG,PF,SG,SG,PG,SF,415.758,415.75,1,Dec102016,10,94.55
Cody Zeller,Cheick Diallo,Kelly Oubre Jr.,Evan Fournier,Chris Paul,Damian Lillard,LeBron James,Paul George,CHA,NO,WAS,ORL,LAC,POR,CLE,IND,C,PF,SG,SG,PG,PG,SF,SF,403.008,403.0,2,Dec102016,10,97.14
Kawhi Leonard,Rudy Gobert,Thaddeus Young,Cheick Diallo,Wesley Matthews,Chris Paul,Austin Rivers,LeBron James,SA,UTA,IND,NO,DAL,LAC,LAC,CLE,SF,C,PF,PF,SG,PG,PG,SF,395.008,395.0,3,Dec102016,10,83.81
Rudy Gobert,Luis Scola,C.J. McCollum,Mirza Teletovic,Dwyane Wade,Evan Fournier,Chris Paul,LeBron James,UTA,BKN,POR,MIL,CHI,ORL,LAC,CLE,C,PF,PG,PF,SG,SG,PG,SF,391.258,391.25,4,Dec102016,10,89.17
Danilo Gallinari,Rudy Gobert,Thaddeus Young,Mirza Teletovic,Kelly Oubre Jr.,John Wall,Damian Lillard,LeBron James,DEN,UTA,IND,MIL,WAS,WAS,POR,CLE,SF,C,PF,PF,SG,PG,PG,SF,385.758,385.75,5,Dec102016,10,96.21
Klay Thompson,T.J. McConnell,Eric Bledsoe,Karl-Anthony Towns,Luol Deng,Andre Drummond,Tim Frazier,Kristaps Porzingis,GS,PHI,PHO,MIN,LAL,DET,NO,NY,SG,PG,PG,PF,SF,C,PG,PF,395.758,395.75,1,Dec112016,5,90.37
Russell Westbrook,Lou Williams,Zach LaVine,T.J. McConnell,Tyson Chandler,Tim Frazier,P.J. Tucker,Kristaps Porzingis,OKC,LAL,MIN,PHI,PHO,NO,PHO,NY,PG,SG,SG,PG,C,PG,SF,PF,383.258,383.25,2,Dec112016,5,93.75
Russell Westbrook,Stanley Johnson,Eric Bledsoe,Julius Randle,Guillermo Hernangomez,Tim Frazier,Robert Covington,Kristaps Porzingis,OKC,DET,PHO,LAL,NY,NO,PHI,NY,PG,SG,PG,PF,C,PG,SF,PF,362.758,362.75,3,Dec112016,5,93.19
Stephen Curry,Marcus Smart,Karl-Anthony Towns,Marcus Morris,Tyson Chandler,Tim Frazier,Robert Covington,Kristaps Porzingis,GS,BOS,MIN,DET,PHO,NO,PHI,NY,PG,SG,PF,SF,C,PG,SF,PF,361.258,361.25,4,Dec112016,5,90.36
Lou Williams,Eric Bledsoe,Marcus Morris,Steven Adams,Jrue Holiday,Tim Frazier,Andrew Wiggins,Kristaps Porzingis,LAL,PHO,DET,OKC,NO,NO,MIN,NY,SG,PG,SF,C,PG,PG,SF,PF,352.508,352.5,5,Dec112016,5,92.28
James Harden,Draymond Green,James Johnson,Joe Johnson,Deron Williams,Austin Rivers,Kevin Durant,John Henson,HOU,GS,MIA,UTA,DAL,LAC,GS,MIL,PG,PF,SF,SG,PG,PG,SF,C,366.258,366.25,1,Dec12016,6,84.34
James Harden,Montrezl Harrell,Gordon Hayward,James Johnson,Jonathan Gibson,Randy Foye,Marc Gasol,Kevin Durant,HOU,HOU,UTA,MIA,DAL,BKN,MEM,GS,PG,PF,SF,SF,SG,PG,C,SF,359.758,359.75,2,Dec12016,6,91.34
James Harden,Roy Hibbert,Joe Ingles,James Johnson,Troy Daniels,Giannis Antetokounmpo,Ryan Anderson,Kevin Durant,HOU,CHA,UTA,MIA,MEM,MIL,HOU,GS,PG,C,SF,SF,SG,PG,PF,SF,357.758,357.75,3,Dec12016,6,80.17
Draymond Green,Gordon Hayward,Malcolm Brogdon,Goran Dragic,Austin Rivers,Ryan Anderson,Marc Gasol,Kevin Durant,GS,UTA,MIL,MIA,LAC,HOU,MEM,GS,PF,SF,SG,PG,PG,PF,C,SF,355.508,355.5,4,Dec12016,6,95.65
Draymond Green,Sam Dekker,James Johnson,J.J. Redick,Giannis Antetokounmpo,Shelvin Mack,Marc Gasol,Kevin Durant,GS,HOU,MIA,LAC,MIL,UTA,MEM,GS,PF,SF,SF,SG,PG,PG,C,SF,354.258,354.25,5,Dec12016,6,81.27
James Harden,Luol Deng,Terrence Ross,Dorian Finney-Smith,Chris Paul,Goran Dragic,Nikola Jokic,Mason Plumlee,HOU,LAL,TOR,DAL,LAC,MIA,DEN,POR,PG,SF,SG,SF,PG,PG,C,C,375.008,375.0,1,Dec122016,7,86.59
