Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Robin Lopez,Greg Monroe,Trevor Booker,Nicolas Batum,Sean Kilpatrick,Wesley Matthews,Damian Lillard,LeBron James,CHI,MIL,BKN,CHA,BKN,DAL,POR,CLE,C,C,PF,SG,SG,SG,PG,SF,293.298,259.25,2,Dec102016,10,94.15
Brook Lopez,Nikola Jokic,Marvin Williams,Jimmy Butler,Sean Kilpatrick,Wesley Matthews,Damian Lillard,Jeff Teague,BKN,DEN,CHA,CHI,BKN,DAL,POR,IND,C,C,PF,SG,SG,SG,PG,PG,291.628,257.25,4,Dec102016,10,95.93
Michael Kidd-Gilchrist,Hassan Whiteside,Kevin Love,Bojan Bogdanovic,Sean Kilpatrick,Wesley Matthews,Damian Lillard,Rajon Rondo,CHA,MIA,CLE,BKN,BKN,DAL,POR,CHI,SF,C,PF,SG,SG,SG,PG,PG,291.498,228.5,5,Dec102016,10,93.53
Michael Kidd-Gilchrist,Brook Lopez,Pau Gasol,Klay Thompson,Sean Kilpatrick,Jeff Teague,Rajon Rondo,LeBron James,CHA,BKN,SA,GS,BKN,IND,CHI,CLE,SF,C,C,SG,SG,PG,PG,SF,291.668,209.0,3,Dec102016,10,102.65
Hassan Whiteside,Nikola Jokic,JaMychal Green,Trevor Booker,Nicolas Batum,Sean Kilpatrick,Jeff Teague,Rajon Rondo,MIA,DEN,MEM,BKN,CHA,BKN,IND,CHI,C,C,PF,PF,SG,SG,PG,PG,295.568,201.25,1,Dec102016,10,96.02
Stephen Curry,Lou Williams,Nik Stauskas,Courtney Lee,Eric Bledsoe,Karl-Anthony Towns,Marcus Morris,Ersan Ilyasova,GS,LAL,PHI,NY,PHO,MIN,DET,PHI,PG,SG,SG,SG,PG,PF,SF,PF,277.358,292.75,5,Dec112016,5,78.03
Stephen Curry,Lou Williams,Zach LaVine,Terry Rozier,Andre Roberson,Julius Randle,Andre Drummond,Ersan Ilyasova,GS,LAL,MIN,BOS,OKC,LAL,DET,PHI,PG,SG,SG,PG,SG,PF,C,PF,280.068,262.25,2,Dec112016,5,84.41
Russell Westbrook,Stephen Curry,Courtney Lee,Gerald Henderson,Devin Booker,Julius Randle,Ersan Ilyasova,Jon Leuer,OKC,GS,NY,PHI,PHO,LAL,PHI,DET,PG,PG,SG,SG,SG,PF,PF,PF,278.998,240.75,3,Dec112016,5,82.78
Russell Westbrook,Stephen Curry,Lou Williams,Leandro Barbosa,Tobias Harris,Joakim Noah,Ersan Ilyasova,Richaun Holmes,OKC,GS,LAL,PHO,DET,NY,PHI,PHI,PG,PG,SG,PG,SF,C,PF,PF,280.928,239.75,1,Dec112016,5,84.16
Stephen Curry,Victor Oladipo,Courtney Lee,Leandro Barbosa,Anthony Davis,Luol Deng,Andre Drummond,Ersan Ilyasova,GS,OKC,NY,PHO,NO,LAL,DET,PHI,PG,SG,SG,PG,PF,SF,C,PF,278.338,239.75,4,Dec112016,5,95.82
Gordon Hayward,James Johnson,Wesley Matthews,Giannis Antetokounmpo,Andrew Harrison,Trevor Booker,Marc Gasol,DeAndre Jordan,UTA,MIA,DAL,MIL,MEM,BKN,MEM,LAC,SF,SF,SG,PG,PG,PF,C,C,280.738,297.75,3,Dec12016,6,95.42
