Id,Name,Position,Team,Salary,Projected,Scored,Date,last_5,last_3,last_1,std,b2b,Games played in last 5 days,Home
118150,Iman Shumpert,SG,CLE,3100,11.44,10.0,2016-10-25,0.0,0.0,0.0,6.57,0.0,0.0,1.0
118141,Jeff Withey,C,UTA,3000,4.24,5.25,2016-10-25,0.0,0.0,0.0,5.71,0.0,0.0,0.0
118140,Greg Stiemsma,C,POR,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118139,Marshall Plumlee,C,NY,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,2.33,0.0,0.0,0.0
118138,Chris Andersen,C,CLE,3000,8.51,4.0,2016-10-25,0.0,0.0,0.0,4.76,0.0,0.0,1.0
118137,Damian Jones,C,GS,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,0.17,0.0,0.0,1.0
118136,JaVale McGee,C,GS,3000,5.08,2.0,2016-10-25,0.0,0.0,0.0,7.39,0.0,0.0,1.0
118135,Anderson Varejao,C,GS,3000,3.14,1.0,2016-10-25,0.0,0.0,0.0,3.43,0.0,0.0,1.0
118134,Dewayne Dedmon,C,SA,3200,15.0,15.5,2016-10-25,0.0,0.0,0.0,8.66,0.0,0.0,0.0
118133,Festus Ezeli,C,POR,3300,0.0,0.0,2016-10-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118132,Zaza Pachulia,C,GS,4000,16.68,5.75,2016-10-25,0.0,0.0,0.0,9.48,0.0,0.0,1.0
118130,Tristan Thompson,C,CLE,5100,16.81,6.5,2016-10-25,0.0,0.0,0.0,8.62,0.0,0.0,1.0
118142,Henry Sims,C,UTA,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118129,Joakim Noah,C,NY,5500,21.83,13.5,2016-10-25,0.0,0.0,0.0,12.45,0.0,0.0,0.0
118127,Rudy Gobert,C,UTA,7000,29.21,36.5,2016-10-25,0.0,0.0,0.0,8.79,0.0,0.0,0.0
118126,Boris Diaw,PF/C,UTA,3100,15.13,5.25,2016-10-25,0.0,0.0,0.0,7.99,0.0,0.0,0.0
118125,Kyle O'Quinn,PF/C,NY,3200,6.02,13.25,2016-10-25,0.0,0.0,0.0,11.91,0.0,0.0,0.0
118124,Trey Lyles,PF/C,UTA,3600,18.88,9.5,2016-10-25,0.0,0.0,0.0,7.67,0.0,0.0,0.0
118123,Ed Davis,PF/C,POR,3800,17.4,18.25,2016-10-25,0.0,0.0,0.0,7.84,0.0,0.0,1.0
118122,Kevin Love,PF/C,CLE,7000,36.02,48.5,2016-10-25,0.0,0.0,0.0,15.79,0.0,0.0,1.0
118121,LaMarcus Aldridge,PF/C,SA,7100,37.09,51.0,2016-10-25,0.0,0.0,0.0,13.53,0.0,0.0,0.0
118120,Draymond Green,PF/C,GS,7200,34.69,55.5,2016-10-25,0.0,0.0,0.0,12.42,0.0,0.0,1.0
118119,Noah Vonleh,PF,POR,3000,7.46,14.75,2016-10-25,0.0,0.0,0.0,6.28,0.0,0.0,1.0
118118,Jake Layman,PF,POR,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,5.02,0.0,0.0,1.0
118117,Grant Jerrett,PF,POR,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118128,Pau Gasol,C,SA,6900,41.42,8.0,2016-10-25,0.0,0.0,0.0,11.85,0.0,0.0,0.0
118116,Joel Bolomboy,PF,UTA,3000,0.0,0.0,2016-10-25,0.0,0.0,0.0,2.01,0.0,0.0,0.0
118143,Klay Thompson,SG,GS,6500,29.61,15.25,2016-10-25,0.0,0.0,0.0,10.11,0.0,0.0,1.0
