Name,Average Diff,STD
Anthony Davis,-1.67,19.09
DeMarcus Cousins,-4.22,16.44
Kevin Love,1.55,11.62
Draymond Green,-0.38,9.99
LaMarcus Aldridge,-3.79,9.08
Serge Ibaka,0.52,10.15
Zach Randolph,-0.98,6.81
Taj Gibson,-1.3,7.26
Dwight Powell,1.05,7.84
Kenneth Faried,-1.42,12.91
Trey Lyles,-0.05,7.72
Josh McRoberts,-0.21,5.66
Boris Diaw,0.2,6.5
Marreese Speights,2.88,10.26
Jason Smith,0.64,5.94
Spencer Hawes,-0.93,10.09
Brandon Bass,-1.21,5.53
Luis Scola,0.5,8.43
James Harden,-1.38,9.45
C.J. McCollum,-0.78,11.33
George Hill,0.6,5.99
Darren Collison,-0.45,7.62
Jamal Murray,2.5,10.65
Langston Galloway,1.92,10.62
Matthew Dellavedova,-0.14,7.54
Iman Shumpert,0.98,6.43
Rodney Stuckey,1.59,7.09
Malcolm Brogdon,2.84,8.8
Ian Clark,1.51,8.41
C.J. Watson,-0.97,5.19
Garrett Temple,1.58,8.19
Randy Foye,0.38,6.45
Giannis Antetokounmpo,0.08,12.43
John Wall,0.19,10.01
Chris Paul,-1.44,10.56
Stephen Curry,-3.01,9.47
Damian Lillard,-1.34,12.83
Kemba Walker,-2.14,9.39
Goran Dragic,-0.67,11.72
Kyrie Irving,-1.73,7.06
Mike Conley,2.33,11.6
Jeff Teague,-0.48,11.34
Deron Williams,-0.64,8.54
Jrue Holiday,0.25,5.74
Rajon Rondo,-2.75,11.04
Tim Frazier,-0.32,15.83
Tyler Johnson,1.89,9.16
Jeremy Lin,0.66,5.86
Jameer Nelson,1.47,10.54
J.J. Barea,-0.62,8.0
Shelvin Mack,1.12,7.22
Emmanuel Mudiay,-4.55,11.6
Patrick Beverley,1.83,7.41
Patty Mills,0.21,7.87
Andrew Harrison,1.6,10.79
Elfrid Payton,-0.81,12.88
Tony Parker,-0.24,5.96
D.J. Augustin,1.02,6.37
Jerian Grant,-0.95,7.81
Tomas Satoransky,-0.88,5.18
Ty Lawson,-1.12,9.92
Isaiah Whitehead,2.48,5.12
Ramon Sessions,0.25,5.63
Dante Exum,0.11,6.06
Shaun Livingston,0.86,4.57
Wade Baldwin IV,-1.28,9.83
Austin Rivers,1.42,9.08
Michael Carter-Williams,-0.35,3.16
Jason Terry,-0.11,6.58
Trey Burke,-0.47,6.95
Toney Douglas,11.07,6.14
Malik Beasley,-0.22,4.9
Devin Harris,0.59,4.5
Tyler Ennis,-0.65,4.41
Mo Williams,0.0,0.0
Brian Roberts,-0.38,2.25
Aaron Harrison,-0.23,1.27
Kay Felder,2.08,6.45
Raul Neto,-0.12,4.99
Aaron Brooks,0.51,6.01
Shabazz Napier,-0.3,5.04
Tim Quarterman,-0.35,2.75
Spencer Dinwiddie,4.21,7.91
Nicolas Laprovittola,-0.5,6.36
Bryn Forbes,0.16,2.04
Dejounte Murray,0.38,2.54
LeBron James,-0.16,12.46
Kevin Durant,-2.67,9.98
Paul George,-1.35,6.96
Rudy Gay,-1.34,13.05
Jabari Parker,0.66,10.75
Wilson Chandler,3.78,11.47
Harrison Barnes,0.86,10.0
Otto Porter,0.53,13.28
Trevor Ariza,0.3,7.66
Markieff Morris,-2.29,9.8
Aaron Gordon,-0.7,8.25
Matt Barnes,-1.14,11.21
Nikola Mirotic,-1.57,12.03
Jeff Green,1.25,8.48
Michael Beasley,1.11,8.31
Luke Babbitt,-0.97,5.07
Dante Cunningham,0.66,7.86
Davis Bertans,0.98,7.19
Gordon Hayward,-0.01,7.23
Kawhi Leonard,-1.75,9.53
Danilo Gallinari,-0.87,7.77
Maurice Harkless,-0.31,8.92
Justise Winslow,0.97,5.88
Wayne Ellington,1.21,6.6
Michael Kidd-Gilchrist,-1.18,8.95
Joe Ingles,2.69,10.0
Troy Williams,0.23,6.98
Sam Dekker,3.44,7.08
Chandler Parsons,-0.75,4.35
Solomon Hill,1.37,8.21
Glenn Robinson III,-0.16,7.34
Joe Harris,2.87,8.75
Rondae Hollis-Jefferson,0.18,10.59
Andre Iguodala,0.95,6.3
Doug McDermott,1.94,7.25
Luc Richard Mbah a Moute,1.7,6.2
Derrick Williams,-0.64,8.35
Denzel Valentine,-0.1,5.16
Paul Zipser,-0.41,1.57
Steve Novak,-0.15,0.87
Alonzo Gee,-0.31,6.57
Damjan Rudez,0.34,4.41
Mario Hezonja,-1.64,5.71
K.J. McDaniels,-0.8,5.61
Dorian Finney-Smith,3.16,7.86
Richard Jefferson,-0.01,6.11
Treveon Graham,-0.22,2.61
Omri Casspi,0.58,8.15
Pat Connaughton,-0.57,3.08
Paul Pierce,-0.91,3.1
Wesley Johnson,1.02,6.22
Quincy Pondexter,0.0,0.0
Anthony Brown,4.55,7.76
Anthony Bennett,-0.26,7.23
Hassan Whiteside,-2.6,14.11
Marc Gasol,1.63,9.8
Rudy Gobert,0.03,9.21
Brook Lopez,-0.77,11.11
DeAndre Jordan,-1.81,9.49
Nikola Vucevic,-0.08,11.0
Marcin Gortat,-0.19,9.48
Myles Turner,-0.32,11.13
Clint Capela,-0.44,7.78
Pau Gasol,-1.14,12.58
Mason Plumlee,0.6,8.99
Nikola Jokic,1.61,13.15
Tristan Thompson,0.98,10.8
Bismack Biyombo,2.15,8.28
Robin Lopez,-0.83,6.63
Greg Monroe,-0.15,11.87
John Henson,-0.11,9.45
Jusuf Nurkic,-3.54,11.45
Cody Zeller,1.31,7.72
Andrew Bogut,-0.52,5.69
Justin Hamilton,-1.42,8.48
Willie Reed,-0.04,7.62
Salah Mejri,-0.01,7.87
Ed Davis,0.82,7.29
Zaza Pachulia,-1.87,7.79
Montrezl Harrell,0.85,10.47
Al Jefferson,0.8,8.54
Dewayne Dedmon,1.37,6.75
Cristiano Felicio,-0.18,6.46
Ian Mahinmi,0.22,1.05
Miles Plumlee,-1.57,6.42
Daniel Ochefu,-0.18,1.15
Anderson Varejao,0.02,4.86
JaVale McGee,1.3,6.2
Damian Jones,-0.04,0.19
Deyonta Davis,-0.27,7.07
Nene Hilario,0.23,8.02
A.J. Hammons,-0.24,4.1
Chinanu Onuaku,0.0,0.0
Chris Andersen,-0.5,5.48
Roy Hibbert,1.09,8.91
Kosta Koufos,-1.19,7.85
Jeff Withey,0.42,5.51
Willie Cauley-Stein,-0.55,7.07
Georgios Papagiannis,0.11,0.53
Festus Ezeli,0.0,0.0
Kevin Seraphin,1.18,8.04
Alexis Ajinca,-0.04,7.25
Omer Asik,-0.62,7.1
Diamond Stone,0.1,2.26
Blake Griffin,-1.27,9.44
JaMychal Green,-0.71,9.27
Derrick Favors,-0.24,11.22
Trevor Booker,1.11,10.78
Dirk Nowitzki,-1.8,8.26
Ryan Anderson,-0.94,8.64
Thaddeus Young,-3.25,10.53
Terrence Jones,2.25,11.31
James Johnson,3.12,10.42
Marvin Williams,-3.43,6.78
Frank Kaminsky,1.22,10.25
Al-Farouq Aminu,-0.6,7.75
Channing Frye,1.7,6.74
David Lee,1.75,8.07
Darrell Arthur,-0.39,6.1
Chris Bosh,0.0,0.0
Udonis Haslem,-0.86,2.98
Bobby Portis,-0.67,7.5
Andrew Nicholson,-1.68,5.92
Mirza Teletovic,-0.2,9.79
Thon Maker,-0.64,3.35
David West,1.56,6.63
Brandan Wright,0.0,0.0
James Michael McAdoo,0.05,3.44
Jarell Martin,1.8,8.76
Kevon Looney,0.5,5.73
Arinze Onuaku,-0.23,1.25
Stephen Zimmerman Jr.,-0.08,1.87
Juancho Hernangomez,1.66,7.36
Kyle Wiltjer,0.52,2.33
Christian Wood,-0.29,1.29
Anthony Tolliver,0.78,6.74
Joel Bolomboy,-0.37,2.84
Skal Labissiere,-0.09,3.38
Lavoy Allen,-0.75,4.1
Meyers Leonard,0.04,9.94
Rakeem Christmas,-0.02,1.85
Georges Niang,-0.28,2.61
Jake Layman,-0.69,6.71
Noah Vonleh,-0.47,5.85
Brice Johnson,0.0,0.0
Cheick Diallo,0.41,7.86
Chris McCullough,-1.1,6.04
Jimmy Butler,0.92,11.71
Will Barton,-1.28,8.26
Nicolas Batum,0.75,9.55
Tyreke Evans,0.49,2.5
Joe Johnson,-0.75,8.19
Josh Richardson,1.81,7.53
Evan Turner,-0.55,8.18
C.J. Miles,0.5,10.0
Bojan Bogdanovic,-0.51,8.23
Allen Crabbe,0.77,8.36
James Ennis,0.39,6.09
Jeremy Lamb,0.83,10.9
Tony Snell,1.09,6.74
Justin Anderson,0.8,7.42
Raymond Felton,0.52,6.46
Kelly Oubre Jr.,2.56,9.25
Patrick McCaw,0.09,6.62
Corey Brewer,-0.5,5.29
Mike Dunleavy,-1.05,6.14
Jonathon Simmons,0.04,8.22
Bradley Beal,0.39,9.41
Dwyane Wade,0.85,9.94
Klay Thompson,-1.21,11.0
Dion Waiters,1.28,8.94
Sean Kilpatrick,1.2,13.59
Eric Gordon,0.32,9.35
Rodney Hood,-1.16,8.05
Evan Fournier,-1.16,9.22
Wesley Matthews,0.17,9.92
Tony Allen,3.64,8.06
Seth Curry,0.99,8.89
Troy Daniels,0.62,9.93
J.J. Redick,-0.41,8.07
Jamal Crawford,-1.1,8.51
Monta Ellis,-3.43,9.31
Gary Harris,1.68,4.95
Rodney McGruder,0.97,7.89
Vince Carter,1.17,7.19
E'Twaun Moore,-0.6,6.75
J.R. Smith,-1.2,7.78
Marco Belinelli,3.19,9.12
Manu Ginobili,2.18,6.68
Danny Green,-0.4,8.5
Buddy Hield,2.39,8.64
Kyle Anderson,-0.84,7.09
Isaiah Canaan,-0.37,8.03
R.J. Hunter,-0.02,0.32
Marcus Thornton,-1.38,8.63
Khris Middleton,0.0,0.0
Sheldon McClellan,-0.74,3.62
Danuel House,0.0,0.36
Rashad Vaughn,-1.56,7.59
Mike Miller,-0.36,3.6
Jodie Meeks,0.71,6.1
C.J. Wilcox,-0.68,3.03
