Player,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
DeMarcus Cousins,C,11/15/2015,SAC,,TOR,W,1,41,12,22,0.545,9,16,0.563,3,6,0.5,9,12,0.75,1,9,10,3,1,3,3,3,36,28.6,61,57.5,2,208.5
Anthony Davis,PF,11/15/2015,NOP,@,NYK,L,1,40,14,26,0.538,12,22,0.545,2,4,0.5,6,7,0.857,1,10,11,1,1,4,4,4,36,25.6,60.25,56.7,1.5,203.5
Carmelo Anthony,SF,11/15/2015,NYK,,NOP,W,1,39,11,21,0.524,10,16,0.625,1,5,0.2,6,7,0.857,1,12,13,3,1,0,2,2,29,22.9,51.25,49.1,-1.5,203.5
Nicolas Batum,SF,11/15/2015,CHO,,POR,W,1,39,11,19,0.579,6,9,0.667,5,10,0.5,6,7,0.857,0,5,5,6,0,0,2,2,33,26.6,49.75,46,-4.5,205.5
Russell Westbrook,PG,11/15/2015,OKC,,BOS,L,1,33,5,20,0.25,3,10,0.3,2,10,0.2,15,17,0.882,1,3,4,5,3,2,4,4,27,18.1,48.5,45.3,-5,212
Marcus Smart,PG,11/15/2015,BOS,@,OKC,W,1,34,9,14,0.643,6,9,0.667,3,5,0.6,5,8,0.625,2,6,8,3,1,1,1,3,26,23.4,45.5,43.1,5,212
DeMar DeRozan,SG,11/15/2015,TOR,@,SAC,L,1,37,9,22,0.409,9,19,0.474,0,3,0,6,8,0.75,0,4,4,5,5,0,4,0,24,17.1,44.5,42.3,-2,208.5
Andre Drummond,C,11/15/2015,DET,@,LAL,L,1,41,8,18,0.444,8,18,0.444,0,0,,1,2,0.5,4,13,17,3,1,0,2,5,17,13,43.75,41.9,-4.5,200.5
Al Jefferson,C,11/15/2015,CHO,,POR,W,1,30,13,17,0.765,13,17,0.765,0,0,,3,4,0.75,2,3,5,3,1,1,2,4,29,24.4,42.75,41.5,-4.5,205.5
Paul Millsap,PF,11/15/2015,ATL,,UTA,L,1,37,10,18,0.556,9,14,0.643,1,4,0.25,7,8,0.875,1,5,6,2,1,2,3,2,28,21.2,43.5,41.2,-3,192
Kobe Bryant,SG,11/15/2015,LAL,,DET,W,1,36,6,19,0.316,5,15,0.333,1,4,0.25,4,4,1,0,8,8,9,2,0,4,3,17,11.6,43,40.1,4.5,200.5
Kyle Lowry,PG,11/15/2015,TOR,@,SAC,L,1,39,8,19,0.421,2,7,0.286,6,12,0.5,0,0,,0,2,2,7,4,1,5,3,22,15.9,45.5,39.9,-2,208.5
Derrick Favors,PF,11/15/2015,UTA,@,ATL,W,1,32,11,20,0.55,11,19,0.579,0,1,0,1,1,1,4,5,9,3,0,2,4,2,23,16.4,40.75,38.3,3,192
Jared Sullinger,PF,11/15/2015,BOS,@,OKC,W,1,31,3,12,0.25,3,9,0.333,0,3,0,2,3,0.667,5,10,15,3,4,1,3,3,8,9.5,39.75,37.5,5,212
Damian Lillard,PG,11/15/2015,POR,@,CHO,L,1,37,9,25,0.36,8,16,0.5,1,9,0.111,4,5,0.8,2,6,8,5,1,0,5,0,23,11.4,40.5,37.1,4.5,205.5
Rudy Gay,SF,11/15/2015,SAC,,TOR,W,1,37,10,16,0.625,9,13,0.692,1,3,0.333,6,7,0.857,1,5,6,3,1,0,4,0,27,20.7,39.5,36.7,2,208.5
Rudy Gobert,C,11/15/2015,UTA,@,ATL,W,1,38,3,4,0.75,3,4,0.75,0,0,,5,7,0.714,3,8,11,3,2,3,4,4,11,13.7,37.25,34.7,3,192
Serge Ibaka,PF,11/15/2015,OKC,,BOS,L,1,35,8,16,0.5,8,15,0.533,0,1,0,0,0,,3,7,10,0,0,3,0,1,16,13.9,34.5,34,-5,212
Mike Conley,PG,11/15/2015,MEM,@,MIN,W,1,33,7,14,0.5,3,8,0.375,4,6,0.667,2,4,0.5,0,0,0,7,2,0,1,0,20,18.1,36,33.5,-4.5,192.5
Rajon Rondo,PG,11/15/2015,SAC,,TOR,W,1,43,3,10,0.3,2,6,0.333,1,4,0.25,0,0,,2,5,7,14,2,0,7,3,7,7.7,37.75,33.4,2,208.5
Al Horford,C,11/15/2015,ATL,,UTA,L,1,31,7,16,0.438,5,10,0.5,2,6,0.333,0,0,,2,3,5,5,1,1,1,1,16,13.7,34.25,32.5,-3,192
Isaiah Thomas,PG,11/15/2015,BOS,@,OKC,W,1,34,8,17,0.471,5,8,0.625,3,9,0.333,1,1,1,1,1,2,8,0,0,2,2,20,15.1,35,32.4,5,212
Zach LaVine,PG,11/15/2015,MIN,,MEM,L,1,17,8,15,0.533,4,8,0.5,4,7,0.571,5,6,0.833,1,2,3,3,0,0,1,5,25,17.7,34.75,32.1,4.5,192.5
