Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Nicolas Batum,Nikola Jokic,Marvin Williams,Hassan Whiteside,Damian Lillard,Rajon Rondo,Sean Kilpatrick,Wesley Matthews,CHA,DEN,CHA,MIA,POR,CHI,BKN,DAL,SG/SF,C,PF,C,PG,PG,SG,SG,6600,5200,4300,8600,8400,5900,5600,5300,294.97,235.75,1,Dec102016
Nicolas Batum,Greg Monroe,Trevor Booker,Trevor Ariza,LeBron James,Rudy Gobert,Rajon Rondo,Sean Kilpatrick,CHA,MIL,BKN,HOU,CLE,UTA,CHI,BKN,SG/SF,C,PF,SF/PF,SF/PF,C,PG,SG,6600,4400,5700,5400,9400,7000,5900,5600,291.34,243.25,2,Dec102016
Nicolas Batum,Nikola Jokic,Robin Lopez,LeBron James,Michael Kidd-Gilchrist,Chris Paul,Sean Kilpatrick,Eric Gordon,CHA,DEN,CHI,CLE,CHA,LAC,BKN,HOU,SG/SF,C,C,SF/PF,SF,PG,SG,SG,6600,5200,4600,9400,4400,8800,5600,5400,291.17,266.0,3,Dec102016
Nicolas Batum,Evan Turner,Robin Lopez,Trevor Booker,Kevin Durant,Hassan Whiteside,Patrick Beverley,Sean Kilpatrick,CHA,POR,CHI,BKN,GS,MIA,HOU,BKN,SG/SF,SG/SF,C,PF,SF/PF,C,PG,SG,6600,4800,4600,5700,9300,8600,4800,5600,289.93,192.5,4,Dec102016
Nicolas Batum,Bojan Bogdanovic,John Henson,Pau Gasol,Kevin Durant,Chris Paul,Rajon Rondo,Sean Kilpatrick,CHA,BKN,MIL,SA,GS,LAC,CHI,BKN,SG/SF,SG/SF,C,C,SF/PF,PG,PG,SG,6600,4000,4400,5400,9300,8800,5900,5600,289.4,235.0,5,Dec102016
Jimmy Butler,Pau Gasol,Trevor Booker,Michael Kidd-Gilchrist,Rudy Gobert,Damian Lillard,Sean Kilpatrick,Wesley Matthews,CHI,SA,BKN,CHA,UTA,POR,BKN,DAL,SG/SF,C,PF,SF,C,PG,SG,SG,8200,5400,5700,4400,7000,8400,5600,5300,289.36,246.0,6,Dec102016
Trevor Booker,Michael Kidd-Gilchrist,Hassan Whiteside,Malcolm Brogdon,Chris Paul,Kevin Love,Rajon Rondo,Sean Kilpatrick,BKN,CHA,MIA,MIL,LAC,CLE,CHI,BKN,PF,SF,C,PG/SG,PG,PF/C,PG,SG,5700,4400,8600,3200,8800,7800,5900,5600,289.03,208.75,7,Dec102016
Tony Allen,Nikola Jokic,Trevor Booker,LeBron James,Michael Kidd-Gilchrist,Brook Lopez,Damian Lillard,Rajon Rondo,MEM,DEN,BKN,CLE,CHA,BKN,POR,CHI,SG,C,PF,SF/PF,SF,C,PG,PG,4600,5200,5700,9400,4400,6400,8400,5900,288.94,269.5,8,Dec102016
Jimmy Butler,Nikola Jokic,Greg Monroe,Kevin Durant,Michael Kidd-Gilchrist,Rajon Rondo,Bradley Beal,Sean Kilpatrick,CHI,DEN,MIL,GS,CHA,CHI,WAS,BKN,SG/SF,C,C,SF/PF,SF,PG,SG,SG,8200,5200,4400,9300,4400,5900,6900,5600,288.91,209.75,9,Dec102016
Nicolas Batum,Bojan Bogdanovic,Nikola Jokic,Greg Monroe,Trevor Booker,Chris Paul,Damian Lillard,Bradley Beal,CHA,BKN,DEN,MIL,BKN,LAC,POR,WAS,SG/SF,SG/SF,C,C,PF,PG,PG,SG,6600,4000,5200,4400,5700,8800,8400,6900,288.84,271.25,10,Dec102016
Evan Turner,Bojan Bogdanovic,Nikola Jokic,LeBron James,DeMarcus Cousins,Rajon Rondo,Patrick Beverley,Sean Kilpatrick,POR,BKN,DEN,CLE,SAC,CHI,HOU,BKN,SG/SF,SG/SF,C,SF/PF,PF/C,PG,PG,SG,4800,4000,5200,9400,10300,5900,4800,5600,288.24,257.25,11,Dec102016
