Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Guillermo Hernangomez,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,IND,NY,NY,DEN,MIL,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,3000,5300,9500,4000,242.72,357.75,1,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Myles Turner,Danilo Gallinari,Giannis Antetokounmpo,Terrence Jones,Gary Harris,NO,IND,NY,IND,DEN,MIL,NO,DEN,PF/C,PG,PG/SG,C,SF,PG,PF,SG,11500,6400,3000,6000,5300,9500,4300,4000,247.93,357.75,2,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Kenneth Faried,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,IND,NY,DEN,DEN,POR,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,4000,5300,8800,4000,253.9,357.75,3,Dec152016
Jeff Teague,Justin Holiday,Myles Turner,Jabari Parker,Devin Booker,Giannis Antetokounmpo,Damian Lillard,Gary Harris,IND,NY,IND,MIL,PHO,MIL,POR,DEN,PG,PG/SG,C,SF/PF,SG/SF,PG,PG,SG,6400,3000,6000,6300,5200,9500,8800,4000,256.54,357.5,4,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Kenneth Faried,Jabari Parker,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,IND,NY,DEN,MIL,DEN,MIL,DEN,PF/C,PG,PG/SG,C,SF/PF,SF,PG,SG,11500,6400,3000,4000,6300,5300,9500,4000,244.81,357.5,5,Dec152016
Jrue Holiday,Justin Holiday,Myles Turner,Jabari Parker,Devin Booker,Giannis Antetokounmpo,Damian Lillard,Gary Harris,NO,NY,IND,MIL,PHO,MIL,POR,DEN,PG,PG/SG,C,SF/PF,SG/SF,PG,PG,SG,6700,3000,6000,6300,5200,9500,8800,4000,259.59,357.25,6,Dec152016
Anthony Davis,Justin Holiday,Guillermo Hernangomez,Danilo Gallinari,Giannis Antetokounmpo,Damian Lillard,Terrence Jones,Gary Harris,NO,NY,NY,DEN,MIL,POR,NO,DEN,PF/C,PG/SG,C,SF,PG,PG,PF,SG,11500,3000,3000,5300,9500,8800,4300,4000,239.89,357.0,7,Dec152016
Anthony Davis,Buddy Hield,Justin Holiday,Kenneth Faried,Danilo Gallinari,Giannis Antetokounmpo,Damian Lillard,Gary Harris,NO,NO,NY,DEN,DEN,MIL,POR,DEN,PF/C,SG,PG/SG,C,SF,PG,PG,SG,11500,3200,3000,4000,5300,9500,8800,4000,242.37,357.0,8,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Dewayne Dedmon,Danilo Gallinari,Giannis Antetokounmpo,Gary Harris,NO,NO,IND,NY,SA,DEN,MIL,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,3100,5300,9500,4000,248.31,356.5,9,Dec152016
Anthony Davis,Jrue Holiday,Jeff Teague,Justin Holiday,Guillermo Hernangomez,Danilo Gallinari,Damian Lillard,Gary Harris,NO,NO,IND,NY,NY,DEN,POR,DEN,PF/C,PG,PG,PG/SG,C,SF,PG,SG,11500,6700,6400,3000,3000,5300,8800,4000,247.07,356.0,10,Dec152016
Anthony Davis,Jeff Teague,Justin Holiday,Mason Plumlee,Danilo Gallinari,Giannis Antetokounmpo,Terrence Jones,Gary Harris,NO,IND,NY,POR,DEN,MIL,NO,DEN,PF/C,PG,PG/SG,C,SF,PG,PF,SG,11500,6400,3000,5600,5300,9500,4300,4000,247.23,356.0,11,Dec152016
