Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,DEN,SA,NY,PF/C,C,PG,PG,PG/SG,SF,PF,SF,7800,5700,12000,3700,3800,5700,3800,7500,281.61,432.25,1,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Meyers Leonard,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,POR,DEN,SA,NY,PF/C,C,PG,PG/SG,PF,SF,PF,SF,7800,5700,12000,3800,3200,5700,3800,7500,269.68,429.75,2,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,POR,DEN,NY,PF/C,C,PG,PG,PG/SG,PF,SF,SF,7800,5700,12000,3700,3800,3200,5700,7500,277.46,429.5,3,Nov252016
Kevin Love,Nikola Vucevic,Danny Green,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,SA,OKC,DEN,DEN,DEN,NY,PF/C,C,SG,PG,PG,PG/SG,SF,SF,7800,5700,3800,12000,3700,3800,5700,7500,284.42,429.0,4,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Rodney Stuckey,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,IND,DEN,SA,NY,PF/C,C,PG,PG/SG,PG/SG,SF,PF,SF,7800,5700,12000,3800,3600,5700,3800,7500,266.24,428.5,5,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Rodney Stuckey,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,IND,DEN,NY,PF/C,C,PG,PG,PG/SG,PG/SG,SF,SF,7800,5700,12000,3700,3800,3600,5700,7500,274.02,428.25,6,Nov252016
Kevin Love,Nikola Vucevic,Nik Stauskas,Russell Westbrook,Jameer Nelson,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,PHI,OKC,DEN,DEN,SA,NY,PF/C,C,SG,PG,PG/SG,SF,PF,SF,7800,5700,3400,12000,3800,5700,3800,7500,278.53,426.75,7,Nov252016
Kevin Love,Nikola Vucevic,Nik Stauskas,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,PHI,OKC,DEN,DEN,DEN,NY,PF/C,C,SG,PG,PG,PG/SG,SF,SF,7800,5700,3400,12000,3700,3800,5700,7500,286.31,426.5,8,Nov252016
Kevin Love,Nikola Vucevic,Danny Green,Russell Westbrook,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,SA,OKC,DEN,POR,DEN,NY,PF/C,C,SG,PG,PG/SG,PF,SF,SF,7800,5700,3800,12000,3800,3200,5700,7500,272.49,426.5,9,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Rodney Stuckey,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,IND,POR,DEN,NY,PF/C,C,PG,PG/SG,PG/SG,PF,SF,SF,7800,5700,12000,3800,3600,3200,5700,7500,262.09,425.75,10,Nov252016
Kevin Love,Nikola Vucevic,Danny Green,Russell Westbrook,Jameer Nelson,Rodney Stuckey,Wilson Chandler,Carmelo Anthony,CLE,ORL,SA,OKC,DEN,IND,DEN,NY,PF/C,C,SG,PG,PG/SG,PG/SG,SF,SF,7800,5700,3800,12000,3800,3600,5700,7500,269.05,425.25,11,Nov252016
Nikola Vucevic,Russell Westbrook,Hollis Thompson,Jameer Nelson,Mason Plumlee,Victor Oladipo,Wilson Chandler,Carmelo Anthony,ORL,OKC,PHI,DEN,POR,OKC,DEN,NY,C,PG,SG/SF,PG/SG,C,SG,SF,SF,5700,12000,3000,3800,5400,6600,5700,7500,277.71,424.75,12,Nov252016
Kevin Love,Nikola Vucevic,Marco Belinelli,Russell Westbrook,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,CHA,OKC,DEN,POR,DEN,NY,PF/C,C,SG,PG,PG/SG,PF,SF,SF,7800,5700,4000,12000,3800,3200,5700,7500,271.0,424.75,13,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Wilson Chandler,Brandon Ingram,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,LAL,SA,NY,PF/C,C,PG,PG/SG,SF,SF,PF,SF,7800,5700,12000,3800,5700,3500,3800,7500,273.87,424.25,14,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Wilson Chandler,David Lee,Richaun Holmes,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,SA,PHI,NY,PF/C,C,PG,PG/SG,SF,PF,PF,SF,7800,5700,12000,3800,5700,3800,3000,7500,260.37,424.25,15,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,Richaun Holmes,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,DEN,PHI,NY,PF/C,C,PG,PG,PG/SG,SF,PF,SF,7800,5700,12000,3700,3800,5700,3000,7500,268.15,424.0,16,Nov252016
Kevin Love,Nikola Vucevic,Nik Stauskas,Russell Westbrook,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,PHI,OKC,DEN,POR,DEN,NY,PF/C,C,SG,PG,PG/SG,PF,SF,SF,7800,5700,3400,12000,3800,3200,5700,7500,274.38,424.0,17,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Matthew Dellavedova,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,MIL,DEN,POR,DEN,NY,PF/C,C,PG,PG/SG,PG/SG,PF,SF,SF,7800,5700,12000,3900,3800,3200,5700,7500,272.68,424.0,18,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,Brandon Ingram,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,DEN,LAL,NY,PF/C,C,PG,PG,PG/SG,SF,SF,SF,7800,5700,12000,3700,3800,5700,3500,7500,281.65,424.0,19,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Patrick Beverley,Jameer Nelson,Meyers Leonard,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,HOU,DEN,POR,DEN,NY,PF/C,C,PG,PG,PG/SG,PF,SF,SF,7800,5700,12000,4300,3800,3200,5700,7500,277.49,424.0,20,Nov252016
Kevin Love,Nikola Vucevic,Jamal Crawford,Russell Westbrook,Jamal Murray,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,LAC,OKC,DEN,DEN,DEN,NY,PF/C,C,SG,PG,PG,PG/SG,SF,SF,7800,5700,3800,12000,3700,3800,5700,7500,277.9,424.0,21,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Wilson Chandler,Jon Leuer,Richaun Holmes,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,DET,PHI,NY,PF/C,C,PG,PG/SG,SF,PF,PF,SF,7800,5700,12000,3800,5700,4500,3000,7500,267.09,423.5,22,Nov252016
Kevin Love,Russell Westbrook,Jamal Murray,Jameer Nelson,Mason Plumlee,Wilson Chandler,David Lee,Carmelo Anthony,CLE,OKC,DEN,DEN,POR,DEN,SA,NY,PF/C,PG,PG,PG/SG,C,SF,PF,SF,7800,12000,3700,3800,5400,5700,3800,7500,278.55,423.5,23,Nov252016
Kevin Love,Nikola Vucevic,Danny Green,Nik Stauskas,Russell Westbrook,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,SA,PHI,OKC,DEN,DEN,NY,PF/C,C,SG,SG,PG,PG/SG,SF,SF,7800,5700,3800,3400,12000,3800,5700,7500,281.34,423.5,24,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Hollis Thompson,Jameer Nelson,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,PHI,DEN,DEN,SA,NY,PF/C,C,PG,SG/SF,PG/SG,SF,PF,SF,7800,5700,12000,3000,3800,5700,3800,7500,271.99,423.25,25,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Hollis Thompson,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,PHI,DEN,DEN,NY,PF/C,C,PG,PG,SG/SF,PG/SG,SF,SF,7800,5700,12000,3700,3000,3800,5700,7500,279.77,423.0,26,Nov252016
Kevin Love,Nikola Vucevic,Eric Bledsoe,Jameer Nelson,Mason Plumlee,Victor Oladipo,Wilson Chandler,Carmelo Anthony,CLE,ORL,PHO,DEN,POR,OKC,DEN,NY,PF/C,C,PG,PG/SG,C,SG,SF,SF,7800,5700,7000,3800,5400,6600,5700,7500,277.99,423.0,27,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Joffrey Lauvergne,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,OKC,DEN,SA,NY,PF/C,C,PG,PG/SG,PF/C,SF,PF,SF,7800,5700,12000,3800,3000,5700,3800,7500,272.96,423.0,28,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Matthew Dellavedova,Jameer Nelson,Rodney Stuckey,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,MIL,DEN,IND,DEN,NY,PF/C,C,PG,PG/SG,PG/SG,PG/SG,SF,SF,7800,5700,12000,3900,3800,3600,5700,7500,269.24,422.75,29,Nov252016
Kevin Love,Nikola Vucevic,Nik Stauskas,Russell Westbrook,Jameer Nelson,Rodney Stuckey,Wilson Chandler,Carmelo Anthony,CLE,ORL,PHI,OKC,DEN,IND,DEN,NY,PF/C,C,SG,PG,PG/SG,PG/SG,SF,SF,7800,5700,3400,12000,3800,3600,5700,7500,270.94,422.75,30,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Joffrey Lauvergne,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,OKC,DEN,NY,PF/C,C,PG,PG,PG/SG,PF/C,SF,SF,7800,5700,12000,3700,3800,3000,5700,7500,280.74,422.75,31,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Hollis Thompson,Jameer Nelson,Wilson Chandler,Jon Leuer,Carmelo Anthony,CLE,ORL,OKC,PHI,DEN,DEN,DET,NY,PF/C,C,PG,SG/SF,PG/SG,SF,PF,SF,7800,5700,12000,3000,3800,5700,4500,7500,278.71,422.5,32,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Joffrey Lauvergne,Wilson Chandler,Jon Leuer,Carmelo Anthony,CLE,ORL,OKC,DEN,OKC,DEN,DET,NY,PF/C,C,PG,PG/SG,PF/C,SF,PF,SF,7800,5700,12000,3800,3000,5700,4500,7500,279.68,422.25,33,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jameer Nelson,Domantas Sabonis,Wilson Chandler,David Lee,Carmelo Anthony,CLE,ORL,OKC,DEN,OKC,DEN,SA,NY,PF/C,C,PG,PG/SG,PF,SF,PF,SF,7800,5700,12000,3800,3300,5700,3800,7500,271.16,422.0,34,Nov252016
Kevin Love,Nikola Vucevic,Russell Westbrook,Jamal Murray,Jameer Nelson,Domantas Sabonis,Wilson Chandler,Carmelo Anthony,CLE,ORL,OKC,DEN,DEN,OKC,DEN,NY,PF/C,C,PG,PG,PG/SG,PF,SF,SF,7800,5700,12000,3700,3800,3300,5700,7500,278.94,421.75,35,Nov252016
Kevin Love,Nikola Vucevic,Marco Belinelli,Nik Stauskas,Russell Westbrook,Jameer Nelson,Wilson Chandler,Carmelo Anthony,CLE,ORL,CHA,PHI,OKC,DEN,DEN,NY,PF/C,C,SG,SG,PG,PG/SG,SF,SF,7800,5700,4000,3400,12000,3800,5700,7500,279.85,421.75,36,Nov252016
