Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date
Russell Westbrook,Lance Stephenson,Jeremy Lin,Tristan Thompson,Tim Frazier,Andre Roberson,Anthony Davis,T.J. Warren,OKC,NO,BKN,CLE,NO,OKC,NO,PHO,PG,SF,PG,C,PG,SG/SF,PF/C,SF,11800,3000,6000,4700,5400,3500,10900,4400,260.48,404.75,1,Oct282016
Russell Westbrook,Lance Stephenson,Aron Baynes,Sean Kilpatrick,Andre Roberson,Anthony Davis,Kevin Durant,T.J. Warren,OKC,NO,DET,BKN,OKC,NO,GS,PHO,PG,SF,C,SG,SG/SF,PF/C,SF/PF,SF,11800,3000,3000,3600,3500,10900,9600,4400,268.55,402.25,2,Oct282016
Russell Westbrook,Lance Stephenson,Jeremy Lin,Zaza Pachulia,Tim Frazier,Andre Roberson,Anthony Davis,T.J. Warren,OKC,NO,BKN,GS,NO,OKC,NO,PHO,PG,SF,PG,C,PG,SG/SF,PF/C,SF,11800,3000,6000,3800,5400,3500,10900,4400,261.78,402.0,3,Oct282016
Russell Westbrook,Lance Stephenson,Andre Drummond,Tim Frazier,Andre Roberson,Anthony Davis,Dante Cunningham,T.J. Warren,OKC,NO,DET,NO,OKC,NO,NO,PHO,PG,SF,C,PG,SG/SF,PF/C,SF/PF,SF,11800,3000,7900,5400,3500,10900,3000,4400,259.81,402.0,4,Oct282016
Russell Westbrook,Lance Stephenson,Jeremy Lin,Rudy Gobert,Andre Roberson,Anthony Davis,Dante Cunningham,T.J. Warren,OKC,NO,BKN,UTA,OKC,NO,NO,PHO,PG,SF,PG,C,SG/SF,PF/C,SF/PF,SF,11800,3000,6000,7300,3500,10900,3000,4400,245.58,402.0,5,Oct282016
Russell Westbrook,Jeremy Lin,Tristan Thompson,Tim Frazier,Andre Roberson,Anthony Davis,Dante Cunningham,T.J. Warren,OKC,BKN,CLE,NO,OKC,NO,NO,PHO,PG,PG,C,PG,SG/SF,PF/C,SF/PF,SF,11800,6000,4700,5400,3500,10900,3000,4400,248.53,401.75,6,Oct282016
Russell Westbrook,Jeremy Lin,Tristan Thompson,Tim Frazier,Andre Roberson,Jeremy Lamb,Anthony Davis,T.J. Warren,OKC,BKN,CLE,NO,OKC,CHA,NO,PHO,PG,PG,C,PG,SG/SF,SG/SF,PF/C,SF,11800,6000,4700,5400,3500,3000,10900,4400,251.18,401.25,7,Oct282016
Russell Westbrook,Lance Stephenson,Andre Drummond,Jeremy Lin,Jeremy Lamb,Anthony Davis,Dante Cunningham,T.J. Warren,OKC,NO,DET,BKN,CHA,NO,NO,PHO,PG,SF,C,PG,SG/SF,PF/C,SF/PF,SF,11800,3000,7900,6000,3000,10900,3000,4400,240.67,400.5,8,Oct282016
Russell Westbrook,Lance Stephenson,Zaza Pachulia,Tim Frazier,DeMar DeRozan,Andre Roberson,Anthony Davis,T.J. Warren,OKC,NO,GS,NO,TOR,OKC,NO,PHO,PG,SF,C,PG,SG,SG/SF,PF/C,SF,11800,3000,3800,5400,7200,3500,10900,4400,268.71,400.5,9,Oct282016
Russell Westbrook,Lance Stephenson,Jeremy Lin,Tristan Thompson,Tim Frazier,Anthony Davis,Dante Cunningham,T.J. Warren,OKC,NO,BKN,CLE,NO,NO,NO,PHO,PG,SF,PG,C,PG,PF/C,SF/PF,SF,11800,3000,6000,4700,5400,10900,3000,4400,246.9,400.0,10,Oct282016
Russell Westbrook,Lance Stephenson,Jeremy Lin,Tristan Thompson,Tim Frazier,Jeremy Lamb,Anthony Davis,T.J. Warren,OKC,NO,BKN,CLE,NO,CHA,NO,PHO,PG,SF,PG,C,PG,SG/SF,PF/C,SF,11800,3000,6000,4700,5400,3000,10900,4400,249.55,399.5,11,Oct282016
Russell Westbrook,Lance Stephenson,Jeremy Lin,Rudy Gobert,Andre Roberson,Anthony Davis,Spencer Hawes,T.J. Warren,OKC,NO,BKN,UTA,OKC,NO,CHA,PHO,PG,SF,PG,C,SG/SF,PF/C,PF/C,SF,11800,3000,6000,7300,3500,10900,3000,4400,251.85,399.25,12,Oct282016
Russell Westbrook,Lance Stephenson,Jeremy Lin,Tristan Thompson,Thaddeus Young,Andre Roberson,Anthony Davis,T.J. Warren,OKC,NO,BKN,CLE,IND,OKC,NO,PHO,PG,SF,PG,C,PF,SG/SF,PF/C,SF,11800,3000,6000,4700,5700,3500,10900,4400,255.21,399.25,13,Oct282016
Russell Westbrook,Aron Baynes,Sean Kilpatrick,Andre Roberson,Anthony Davis,Kevin Durant,Dante Cunningham,T.J. Warren,OKC,DET,BKN,OKC,NO,GS,NO,PHO,PG,C,SG,SG/SF,PF/C,SF/PF,SF/PF,SF,11800,3000,3600,3500,10900,9600,3000,4400,256.6,399.25,14,Oct282016
Russell Westbrook,Lance Stephenson,Andre Drummond,Tim Frazier,Andre Roberson,Anthony Davis,Spencer Hawes,T.J. Warren,OKC,NO,DET,NO,OKC,NO,CHA,PHO,PG,SF,C,PG,SG/SF,PF/C,PF/C,SF,11800,3000,7900,5400,3500,10900,3000,4400,266.08,399.25,15,Oct282016
Russell Westbrook,Jeremy Lin,Zaza Pachulia,Tim Frazier,Andre Roberson,Anthony Davis,Dante Cunningham,T.J. Warren,OKC,BKN,GS,NO,OKC,NO,NO,PHO,PG,PG,C,PG,SG/SF,PF/C,SF/PF,SF,11800,6000,3800,5400,3500,10900,3000,4400,249.83,399.0,16,Oct282016
