Id,Name,Position,Team,Salary,Projected,Scored,Override
128843,Russell Westbrook,PG,OKC,11300,56.53,63.0,0
128844,John Wall,PG,WAS,9000,48.28,38.5,0
128845,Chris Paul,PG,LAC,8900,49.0,44.0,0
128846,Damian Lillard,PG,POR,8700,46.55,47.75,0
128847,Isaiah Thomas,PG,BOS,7900,46.64,41.25,0
128848,Kyrie Irving,PG,CLE,7700,40.62,41.5,0
128849,Kyle Lowry,PG,TOR,7500,40.9,45.0,0
128850,Kemba Walker,PG,CHA,7500,40.65,66.0,0
128851,Jeff Teague,PG,IND,6700,37.16,24.75,0
128852,Reggie Jackson,PG,DET,6100,0.0,0.0,0
128853,Darren Collison,PG,SAC,6000,24.95,30.75,0
128854,Derrick Rose,PG,NY,5900,24.28,22.0,0
128855,Elfrid Payton,PG,ORL,5400,22.96,9.25,0
128856,Sergio Rodriguez,PG,PHI,5100,31.985,21.5,0
128857,Ish Smith,PG,DET,4700,22.985,22.5,0
128858,Patty Mills,PG,SA,4600,19.475,20.5,0
128859,Jerryd Bayless,PG,PHI,4500,2.15,0.0,0
128860,Shelvin Mack,PG,UTA,4200,18.92,22.5,0
128861,Tomas Satoransky,PG,WAS,3800,17.915,15.0,0
128862,Tony Parker,PG,SA,3800,17.34,15.5,0
128863,Ramon Sessions,PG,CHA,3700,18.315,7.25,0
128864,Brandon Jennings,PG,NY,3500,12.8625,15.5,0
128865,Cory Joseph,PG,TOR,3500,12.68,22.0,0
128866,D.J. Augustin,PG,ORL,3500,10.025,23.5,0
128867,Ty Lawson,PG,SAC,3500,14.63,11.25,0
128868,Austin Rivers,PG,LAC,3300,10.85,10.25,0
128869,Dante Exum,PG,UTA,3100,21.46,10.5,0
128870,T.J. McConnell,PG,PHI,3100,18.665,15.0,0
128871,Demetrius Jackson,PG,BOS,3000,3.045,0.0,0
128872,Terry Rozier,PG,BOS,3000,5.495,22.25,0
128873,Semaj Christon,PG,OKC,3000,8.295,15.0,0
128874,Cameron Payne,PG,OKC,3000,0.1,0.0,0
128875,Mo Williams,PG,CLE,3000,0.1,0.0,0
128876,Trey Burke,PG,WAS,3000,13.0225,16.0,0
128877,Kay Felder,PG,CLE,3000,0.1,4.5,0
128878,Brian Roberts,PG,CHA,3000,1.915,0.0,0
128879,Fred VanVleet,PG,TOR,3000,0.1,0.0,0
128880,Delon Wright,PG,TOR,3000,0.1,0.0,0
128881,Aaron Harrison,PG,CHA,3000,0.635,0.0,0
128882,C.J. Watson,PG,ORL,3000,1.875,5.5,0
128883,Raul Neto,PG,UTA,3000,2.495,0.0,0
128884,Aaron Brooks,PG,IND,3000,7.6225,4.0,0
128885,Shabazz Napier,PG,POR,3000,9.6,0.0,0
128886,Tim Quarterman,PG,POR,3000,5.27,0.0,0
128887,Beno Udrih,PG,DET,3000,10.37,14.5,0
128888,Nicolas Laprovittola,PG,SA,3000,10.24,0.0,0
128889,Bryn Forbes,PG,SA,3000,1.02,0.0,0
128890,Dejounte Murray,PG,SA,3000,1.27,0.0,0
128891,LeBron James,SF/PF,CLE,10200,53.13,55.0,0
128892,Markieff Morris,SF/PF,WAS,5700,22.73,31.75,0
128893,Tobias Harris,SF/PF,DET,5300,21.425,20.75,0
128894,Aaron Gordon,SF/PF,ORL,4900,13.035,27.25,0
128895,Dario Saric,SF/PF,PHI,4800,14.43,21.75,0
128896,DeMarre Carroll,SF/PF,TOR,3600,24.2725,16.5,0
128897,Jeff Green,SF/PF,ORL,3500,12.7,11.25,0
128898,Jerami Grant,SF/PF,OKC,3300,8.2,9.5,0
128899,Lance Thomas,SF/PF,NY,3000,12.23,18.75,0
128900,Anthony Tolliver,SF/PF,SAC,3000,10.52,0.0,0
128901,DeMarcus Cousins,PF/C,SAC,10000,53.93,54.75,0
128902,Kevin Love,PF/C,CLE,7600,37.68,37.5,0
128903,Myles Turner,PF/C,IND,6800,33.37,18.25,0
128904,LaMarcus Aldridge,PF/C,SA,6800,31.82,31.5,0
128905,Jahlil Okafor,PF/C,PHI,5000,5.43,2.75,0
128906,Serge Ibaka,PF/C,ORL,4900,18.305,20.25,0
128907,Amir Johnson,PF/C,BOS,4300,13.73,8.25,0
128908,Spencer Hawes,PF/C,CHA,4100,25.785,8.25,0
128909,Marreese Speights,PF/C,LAC,3700,14.9,8.0,0
128910,Trey Lyles,PF/C,UTA,3500,15.74,18.0,0
128911,Kyle O'Quinn,PF/C,NY,3000,17.68,5.75,0
128912,Brandon Bass,PF/C,LAC,3000,5.635,0.0,0
128913,Joffrey Lauvergne,PF/C,OKC,3000,6.24,0.0,0
128914,Jason Smith,PF/C,WAS,3000,4.02,5.25,0
128915,Boris Diaw,PF/C,UTA,3000,0.1,0.0,0
128916,Kawhi Leonard,SF,SA,9100,46.56,32.5,0
128917,Paul George,SF,IND,8100,43.1,47.25,0
128918,Carmelo Anthony,SF,NY,7400,40.74,16.0,0
128919,Rudy Gay,SF,SAC,7300,35.25,56.5,0
128920,Gordon Hayward,SF,UTA,7200,40.83,48.5,0
128921,Otto Porter,SF,WAS,6500,32.82,30.0,0
128922,Jae Crowder,SF,BOS,5700,0.1,0.0,0
128923,Robert Covington,SF,PHI,5200,17.455,26.5,0
128924,Michael Kidd-Gilchrist,SF,CHA,4800,0.1,0.0,0
128925,Marcus Morris,SF,DET,4800,21.27,14.0,0
128926,Maurice Harkless,SF,POR,4600,23.86,22.5,0
128927,Matt Barnes,SF,SAC,4000,23.775,11.0,0
128928,Jaylen Brown,SF,BOS,3900,6.895,17.5,0
128929,Mindaugas Kuzminskas,SF,NY,3000,12.9975,9.5,0
128930,Paul Pierce,SF,LAC,3000,0.1,0.0,0
128931,Alan Anderson,SF,LAC,3000,3.945,0.0,0
128932,Luc Richard Mbah a Moute,SF,LAC,3000,7.32,20.5,0
128933,Wesley Johnson,SF,LAC,3000,8.71,13.75,0
128934,Kyle Singler,SF,OKC,3000,3.9,0.0,0
128935,Josh Huestis,SF,OKC,3000,0.1,0.0,0
128936,Richard Jefferson,SF,CLE,3000,7.42,2.75,0
128937,Bruno Caboclo,SF,TOR,3000,1.4475,0.0,0
128938,Joe Ingles,SF,UTA,3000,14.91,4.75,0
128939,Damjan Rudez,SF,ORL,3000,0.1,10.0,0
128940,Georges Niang,SF,IND,3000,3.5675,0.0,0
128941,Glenn Robinson III,SF,IND,3000,11.705,0.0,0
128942,Ben Simmons,SF,PHI,3000,0.1,0.0,0
128943,Pat Connaughton,SF,POR,3000,5.16,0.0,0
128944,Michael Gbinije,SF,DET,3000,0.1,0.0,0
128945,Stanley Johnson,SF,DET,3000,7.105,8.5,0
128946,Blake Griffin,PF,LAC,8500,41.57,39.5,0
128947,Kristaps Porzingis,PF,NY,7300,36.29,28.5,0
128948,Derrick Favors,PF,UTA,6200,32.13,39.75,0
128949,Thaddeus Young,PF,IND,5400,24.85,24.75,0
128950,Marvin Williams,PF,CHA,4800,30.45,32.25,0
