Id,Name,Position,Team,Salary,Projected,Scored,Override
149886,Russell Westbrook,PG,OKC,12400,70.02,64,0
149887,Stephen Curry,PG,GS,8400,48.84,43.5,0
149888,Eric Bledsoe,PG,PHO,7800,41.84,51.25,0
149889,Isaiah Thomas,PG,BOS,7200,0,0,0
149890,D'Angelo Russell,PG,LAL,6300,30.58,13,0
149891,Derrick Rose,PG,NY,6100,28.83,32.75,0
149892,Jrue Holiday,PG,NO,6000,31.74,35.25,0
149893,Tim Frazier,PG,NO,5700,13.68,60.25,0
149894,Brandon Jennings,PG,NY,5500,18.68,29.75,0
149895,Sergio Rodriguez,PG,PHI,5100,0,0,0
149896,Reggie Jackson,PG,DET,5100,24.58,19.25,0
149897,Ricky Rubio,PG,MIN,4800,21.02,23.75,0
149898,Terry Rozier,PG,BOS,4100,21.1,15.25,0
149899,Jerryd Bayless,PG,PHI,4000,0,0,0
149900,Ish Smith,PG,DET,3900,19.92,9,0
149901,Marcelo Huertas,PG,LAL,3600,13.51,0,0
149902,Shaun Livingston,PG,GS,3200,9.2,17.5,0
149903,Beno Udrih,PG,DET,3000,5.05,0,0
149904,T.J. McConnell,PG,PHI,3000,12.59,44,0
149905,John Lucas III,PG,MIN,3000,0,0,0
149906,Kris Dunn,PG,MIN,3000,13.17,9,0
149907,Tyus Jones,PG,MIN,3000,3.23,0,0
149908,Semaj Christon,PG,OKC,3000,9.27,16.5,0
149909,Demetrius Jackson,PG,BOS,3000,1.24,0,0
149910,Cameron Payne,PG,OKC,3000,0,0,0
149911,Tyler Ulis,PG,PHO,3000,3.57,2,0
149912,Jose Calderon,PG,LAL,3000,0,0,0
149913,Anthony Davis,PF/C,NO,11200,62.17,41,0
149914,Karl-Anthony Towns,PF/C,MIN,8100,43.62,52,0
149915,Draymond Green,PF/C,GS,7700,37.73,37.75,0
149916,Julius Randle,PF/C,LAL,6200,35.14,36.5,0
149917,Gorgui Dieng,PF/C,MIN,5300,26.18,25,0
149918,Jahlil Okafor,PF/C,PHI,5000,26.9,30.25,0
