Id,Name,Position,Team,Salary,Projected,Scored,Override
163520,Karl-Anthony Towns,PF/C,MIN,9400,45.98,40.25,0
163521,LaMarcus Aldridge,PF/C,SA,7400,37.53,53.25,0
163522,Julius Randle,PF/C,LAL,6600,36.23,44.25,0
163523,Serge Ibaka,PF/C,ORL,6400,36.78,32,0
163524,Gorgui Dieng,PF/C,MIN,5500,28.19,29.75,0
163525,Mike Muscala,PF/C,ATL,3500,15.15,8.75,0
163526,Meyers Leonard,PF/C,POR,3100,10.93,2.5,0
163527,Kyle Lowry,PG,TOR,8800,47.45,63.75,0
163528,Damian Lillard,PG,POR,8000,0,0,0
163529,Jeff Teague,PG,IND,7100,41.83,31.75,0
163530,Goran Dragic,PG,MIA,6900,0,0,0
163531,Dennis Schroder,PG,ATL,6300,31.95,35.5,0
163532,Ricky Rubio,PG,MIN,5800,32.05,14,0
163533,Reggie Jackson,PG,DET,5800,29.58,37,0
163534,Elfrid Payton,PG,ORL,5800,30.99,16.75,0
163535,Tyler Johnson,PG,MIA,5400,30.98,25.75,0
163536,D'Angelo Russell,PG,LAL,5400,28.96,45.5,0
163537,Tony Parker,PG,SA,4600,26.43,34.75,0
163538,Patty Mills,PG,SA,3800,17.62,10,0
163539,Cory Joseph,PG,TOR,3600,18.38,20.25,0
163540,D.J. Augustin,PG,ORL,3400,15.41,11.5,0
163541,Ish Smith,PG,DET,3300,14.13,10,0
163542,Malcolm Delaney,PG,ATL,3000,7.64,13.5,0
163543,Bryn Forbes,PG,SA,3000,0,0,0
163544,Dejounte Murray,PG,SA,3000,4.04,0,0
163545,John Lucas III,PG,MIN,3000,0,0,0
163546,Shabazz Napier,PG,POR,3000,10.92,5.25,0
163547,Kris Dunn,PG,MIN,3000,10.69,28.25,0
163548,Tim Quarterman,PG,POR,3000,3.41,0,0
163549,Tyus Jones,PG,MIN,3000,1.5,0,0
163550,Beno Udrih,PG,DET,3000,0,0,0
163551,C.J. Watson,PG,ORL,3000,9.97,18,0
163552,Aaron Brooks,PG,IND,3000,11.69,22.5,0
163553,Jose Calderon,PG,LAL,3000,0,0,0
163554,Marcelo Huertas,PG,LAL,3000,2.11,0,0
163555,Fred VanVleet,PG,TOR,3000,0,0,0
163556,Delon Wright,PG,TOR,3000,0,0,0
163557,DeMar DeRozan,SG,TOR,8500,44.11,40.25,0
163558,Zach LaVine,SG,MIN,6300,32.41,20.25,0
163559,Kentavious Caldwell-Pope,SG,DET,5400,28.99,43,0
163560,Lou Williams,SG,LAL,5200,25.25,10.5,0
163561,Dion Waiters,SG,MIA,4800,0,0,0
163562,Jodie Meeks,SG,ORL,4600,20.32,18.75,0
163563,Nick Young,SG,LAL,4200,23.56,35,0
163564,Manu Ginobili,SG,SA,4000,22.94,22.25,0
163565,Danny Green,SG,SA,3900,19.58,22.5,0
163566,Kyle Korver,SG,ATL,3700,20.47,36,0
163567,Monta Ellis,SG,IND,3700,8.88,19,0
163568,Kyle Anderson,SG,SA,3300,5.39,2.25,0
163569,Brandon Rush,SG,MIN,3000,0,0,0
163570,Rodney McGruder,SG,MIA,3000,11.68,16,0
163571,Darrun Hilliard,SG,DET,3000,1.06,0,0
163572,C.J. Wilcox,SG,ORL,3000,3.44,5.5,0
163573,Joe Young,SG,IND,3000,0,0,0
163574,Mario Hezonja,SG,ORL,3000,4.32,7.5,0
163575,Hassan Whiteside,C,MIA,8400,0,0,0
163576,Dwight Howard,C,ATL,7200,40.06,17.25,0
163577,Andre Drummond,C,DET,6800,38.69,55.5,0
163578,Myles Turner,C,IND,6300,34.34,48,0
163579,Pau Gasol,C,SA,6200,30.38,35.25,0
163580,Nikola Vucevic,C,ORL,6100,32.44,40.25,0
163581,Mason Plumlee,C,POR,5700,29.26,33.5,0
163582,Jonas Valanciunas,C,TOR,5100,24.55,30.5,0
163583,Bismack Biyombo,C,ORL,4200,23.18,17.5,0
163584,Aron Baynes,C,DET,3700,10.21,6.5,0
163585,Lucas Nogueira,C,TOR,3700,16.42,12,0
163586,Dewayne Dedmon,C,SA,3600,13.37,2,0
163587,Cole Aldrich,C,MIN,3600,4.04,11.5,0
163588,Willie Reed,C,MIA,3600,22.08,11.5,0
163589,Timofey Mozgov,C,LAL,3400,15.08,13.25,0
163590,Al Jefferson,C,IND,3300,14.42,18.75,0
163591,Kris Humphries,C,ATL,3100,13.11,4.5,0
163592,Tiago Splitter,C,ATL,3000,0,0,0
163593,Festus Ezeli,C,POR,3000,0,0,0
163594,Nikola Pekovic,C,MIN,3000,0,0,0
163595,Ed Davis,C,POR,3000,6.24,2,0
163596,Udonis Haslem,C,MIA,3000,0.6,14.5,0
163597,Boban Marjanovic,C,DET,3000,1.43,0,0
163598,Kevin Seraphin,C,IND,3000,5.26,13,0
163599,Tarik Black,C,LAL,3000,0,20.25,0
163600,Jared Sullinger,C,TOR,3000,0,0,0
163601,Jakob Poeltl,C,TOR,3000,0,6.5,0
163602,C.J. McCollum,PG/SG,POR,8300,36.58,61.75,0
163603,Jordan Clarkson,PG/SG,LAL,4500,21.54,4.25,0
163604,Rodney Stuckey,PG/SG,IND,3200,0,0,0
163605,Kawhi Leonard,SF,SA,8200,40.63,25,0
163606,Andrew Wiggins,SF,MIN,6800,34.09,31.75,0
163607,Luol Deng,SF,LAL,5300,25.89,8.75,0
163608,Maurice Harkless,SF,POR,4700,20.23,23.75,0
163609,Marcus Morris,SF,DET,4400,21.58,14.25,0
163610,Thabo Sefolosha,SF,ATL,3800,20.65,11,0
163611,C.J. Miles,SF,IND,3800,16.05,11,0
163612,Wayne Ellington,SF,MIA,3500,20.03,29.5,0
163613,Brandon Ingram,SF,LAL,3300,13.38,12.75,0
163614,Ryan Kelly,SF,ATL,3000,1.13,0,0
163615,Taurean Prince,SF,ATL,3000,2.5,0,0
163616,DeAndre' Bembry,SF,ATL,3000,0,0,0
163617,Pat Connaughton,SF,POR,3000,2.32,0,0
163618,Derrick Williams,SF,MIA,3000,4.82,21,0
163619,Reggie Bullock,SF,DET,3000,0,0,0
163620,Michael Gbinije,SF,DET,3000,0.33,0,0
163621,Damjan Rudez,SF,ORL,3000,0,0,0
163622,Metta World Peace,SF,LAL,3000,0.7,0,0
163623,Bruno Caboclo,SF,TOR,3000,0,0,0
163624,Paul George,SF/PF,IND,7800,41.28,30.75,0
163625,Tobias Harris,SF/PF,DET,6000,31.85,33.75,0
163626,Justise Winslow,SF/PF,MIA,5500,0,0,0
163627,James Johnson,SF/PF,MIA,5300,29.65,37.75,0
163628,Aaron Gordon,SF/PF,ORL,4700,20.12,26,0
163629,DeMarre Carroll,SF/PF,TOR,3800,16.64,6.5,0
163630,Larry Nance Jr.,SF/PF,LAL,3500,0,0,0
163631,Jeff Green,SF/PF,ORL,3200,9.55,23.5,0
163632,Nemanja Bjelica,SF/PF,MIN,3100,13,11,0
163633,Davis Bertans,SF/PF,SA,3000,0.94,0,0
163634,Paul Millsap,PF,ATL,7000,33.91,56.75,0
163635,Thaddeus Young,PF,IND,5600,29.24,18.75,0
163636,Jon Leuer,PF,DET,4900,25.24,9.75,0
163637,Al-Farouq Aminu,PF,POR,4400,19.19,18,0
163638,Patrick Patterson,PF,TOR,3900,0,0,0
163639,David Lee,PF,SA,3700,14.68,15.75,0
163640,Thomas Robinson,PF,LAL,3200,16.74,27.75,0
163641,Mike Scott,PF,ATL,3000,6.02,0,0
163642,Jordan Hill,PF,MIN,3000,2.34,0,0
163643,Adreian Payne,PF,MIN,3000,2.31,0,0
163644,Jake Layman,PF,POR,3000,0,0,0
163645,Noah Vonleh,PF,POR,3000,8.67,1.25,0
163646,Chris Bosh,PF,MIA,3000,0,0,0
163647,Josh McRoberts,PF,MIA,3000,0,0,0
163648,Luke Babbitt,PF,MIA,3000,11.91,12.75,0
163649,Henry Ellenson,PF,DET,3000,0,0,0
163650,Arinze Onuaku,PF,ORL,3000,0,4.25,0
163651,Lavoy Allen,PF,IND,3000,1.81,3,0
163652,Rakeem Christmas,PF,IND,3000,0,0,0
163653,Georges Niang,PF,IND,3000,0,0,0
163654,Stephen Zimmerman Jr.,PF,ORL,3000,3.84,0,0
163655,Pascal Siakam,PF,TOR,3000,9.61,22.5,0
163656,Evan Fournier,SG/SF,ORL,6000,0,0,0
163657,Josh Richardson,SG/SF,MIA,5700,31.04,31.25,0
163658,Evan Turner,SG/SF,POR,4900,21.63,26.75,0
163659,Norman Powell,SG/SF,TOR,4400,7.52,6,0
163660,Allen Crabbe,SG/SF,POR,4200,16.92,23,0
163661,Kent Bazemore,SG/SF,ATL,4000,18.86,15,0
163662,Jonathon Simmons,SG/SF,SA,3900,15.76,10.25,0
163663,Terrence Ross,SG/SF,TOR,3800,17.71,18.25,0
163664,Glenn Robinson III,SG/SF,IND,3600,18.19,20.5,0
163665,Tim Hardaway Jr.,SG/SF,ATL,3300,4.45,39.25,0
163666,Shabazz Muhammad,SG/SF,MIN,3100,15.2,21.5,0
163667,Stanley Johnson,SG/SF,DET,3000,11.6,5.25,0
