Id,Name,Position,Team,Salary,Projected,Scored,Override
125121,James Harden,PG/SG,HOU,11600,59.44,65.75,0
125122,Matthew Dellavedova,PG/SG,MIL,4900,24.62,26.25,0
125123,Tim Hardaway Jr.,PG/SG,ATL,3600,19.43,7.25,0
125124,Raymond Felton,PG/SG,LAC,3600,10.82,14.75,0
125125,Jamal Murray,PG/SG,DEN,3500,13.05,13.75,0
125126,Iman Shumpert,PG/SG,CLE,3300,16.89,19.25,0
125127,Garrett Temple,PG/SG,SAC,3000,9.7,36.75,0
125128,Rodney Stuckey,PG/SG,IND,3000,0,0,0
125129,DeMarcus Cousins,PF/C,SAC,10200,53.09,25,0
125130,Kevin Love,PF/C,CLE,7400,38.24,38.75,0
125131,Myles Turner,PF/C,IND,7100,33.62,34,0
125132,LaMarcus Aldridge,PF/C,SA,6900,33.02,29.5,0
125133,Nikola Jokic,PF/C,DEN,6100,28.11,15,0
125134,Taj Gibson,PF/C,CHI,5800,27.54,30.5,0
125135,Serge Ibaka,PF/C,ORL,5600,28.66,20.25,0
125136,Clint Capela,PF/C,HOU,5300,23.53,25.5,0
125137,Jahlil Okafor,PF/C,PHI,4700,18.98,27.75,0
125138,Montrezl Harrell,PF/C,HOU,3400,17.31,11.75,0
125139,Jason Smith,PF/C,WAS,3000,4.83,4.75,0
125140,Brandon Bass,PF/C,LAC,3000,2.9,0,0
125141,LeBron James,SF/PF,CLE,9700,55.26,59.5,0
125142,Tobias Harris,SF/PF,DET,6200,33.35,16.5,0
125143,Jabari Parker,SF/PF,MIL,5900,30.29,39.5,0
125144,Aaron Gordon,SF/PF,ORL,5800,27.47,23,0
125145,Markieff Morris,SF/PF,WAS,5500,34.57,36,0
125146,Dario Saric,SF/PF,PHI,4700,23.78,14.25,0
125147,Jeff Green,SF/PF,ORL,3500,17.18,31.25,0
125148,Anthony Tolliver,SF/PF,SAC,3000,0,0,0
125149,Michael Beasley,SF/PF,MIL,3000,9.95,17,0
125150,Giannis Antetokounmpo,PG,MIL,9500,48.81,47,0
125151,John Wall,PG,WAS,8500,0,0,0
125152,Chris Paul,PG,LAC,8100,46.93,37.5,0
125153,Kyrie Irving,PG,CLE,7600,37.06,23.75,0
125154,Reggie Jackson,PG,DET,6400,0,0,0
125155,Rajon Rondo,PG,CHI,6400,29.89,18.25,0
125156,Dennis Schroder,PG,ATL,6200,29.26,39.25,0
125157,Elfrid Payton,PG,ORL,6200,29.38,11.25,0
125158,Emmanuel Mudiay,PG,DEN,6000,30.98,13.5,0
125159,Jeff Teague,PG,IND,5800,33.68,33.75,0
125160,Darren Collison,PG,SAC,5300,0,0,0
125161,Sergio Rodriguez,PG,PHI,5300,28.4,34,0
125162,Ish Smith,PG,DET,5200,26.18,33,0
125163,Ty Lawson,PG,SAC,5000,26.15,11.5,0
125164,Jerryd Bayless,PG,PHI,4500,0,0,0
125165,Patrick Beverley,PG,HOU,4400,0,0,0
125166,Patty Mills,PG,SA,4300,23.02,14.25,0
125167,Jameer Nelson,PG,DEN,3700,18.95,17.5,0
125168,Tony Parker,PG,SA,3700,0,0,0
125169,Tomas Satoransky,PG,WAS,3500,11.61,16.5,0
125170,Michael Carter-Williams,PG,CHI,3400,0,0,0
125171,Austin Rivers,PG,LAC,3400,13.32,12.25,0
125172,T.J. McConnell,PG,PHI,3300,15.48,13.75,0
125173,Isaiah Canaan,PG,CHI,3200,13.07,7,0
125174,Beno Udrih,PG,DET,3100,16.17,19.25,0
125175,Trey Burke,PG,WAS,3100,5.55,3.5,0
125176,Bobby Brown,PG,HOU,3000,0,0,0
125177,Malcolm Delaney,PG,ATL,3000,14.21,7.75,0
125178,Tyler Ennis,PG,HOU,3000,4.52,4,0
125179,Jason Terry,PG,MIL,3000,5.68,0,0
125180,Jordan Farmar,PG,SAC,3000,0,26.5,0
125181,Malik Beasley,PG,DEN,3000,0,0,0
125182,C.J. Watson,PG,ORL,3000,4.23,2.75,0
125183,D.J. Augustin,PG,ORL,3000,13.25,18.5,0
125184,Mo Williams,PG,CLE,3000,0,0,0
125185,DeAndre Liggins,PG,CLE,3000,0,0,0
125186,Kay Felder,PG,CLE,3000,0,0,0
125187,Aaron Brooks,PG,IND,3000,13.15,11.5,0
125188,Jerian Grant,PG,CHI,3000,6.93,20,0
125189,Nicolas Laprovittola,PG,SA,3000,5.09,21.5,0
125190,Bryn Forbes,PG,SA,3000,1.71,7.75,0
125191,Dejounte Murray,PG,SA,3000,2.31,6.5,0
125192,Kawhi Leonard,SF,SA,8800,44.91,26,0
125193,Paul George,SF,IND,8200,40.43,31.25,0
125194,Rudy Gay,SF,SAC,6800,0,0,0
125195,Danilo Gallinari,SF,DEN,5900,32.11,23.75,0
125196,Marcus Morris,SF,DET,5700,31.68,25,0
125197,Trevor Ariza,SF,HOU,5400,25.65,21.25,0
125198,Otto Porter,SF,WAS,5000,23.76,28.75,0
125199,Wilson Chandler,SF,DEN,4700,19.24,31.25,0
125200,Robert Covington,SF,PHI,4500,20.36,23.5,0
125201,Thabo Sefolosha,SF,ATL,4100,21.26,22,0
125202,Matt Barnes,SF,SAC,4100,18.62,11.5,0
125203,Doug McDermott,SF,CHI,3500,19.12,17.5,0
125204,Glenn Robinson III,SF,IND,3500,4.95,4.5,0
125205,Corey Brewer,SF,HOU,3000,11.03,4.5,0
125206,Ryan Kelly,SF,ATL,3000,0,2,0
125207,Sam Dekker,SF,HOU,3000,11.41,14.5,0
125208,Taurean Prince,SF,ATL,3000,1.09,0,0
125209,DeAndre' Bembry,SF,ATL,3000,0.96,0,0
125210,Steve Novak,SF,MIL,3000,0,0,0
125211,Michael Gbinije,SF,DET,3000,0.45,0,0
125212,Stanley Johnson,SF,DET,3000,9.16,15.25,0
125213,Damjan Rudez,SF,ORL,3000,0,0,0
125214,Richard Jefferson,SF,CLE,3000,9.75,9.75,0
125215,Ben Simmons,SF,PHI,3000,0,0,0
125216,Georges Niang,SF,IND,3000,3.29,0,0
125217,Paul Zipser,SF,CHI,3000,1.79,2.75,0
125218,Alan Anderson,SF,LAC,3000,0,0,0
125219,Luc Richard Mbah a Moute,SF,LAC,3000,8.45,18.25,0
125220,Wesley Johnson,SF,LAC,3000,8.45,8,0
125221,Dwight Howard,C,ATL,8000,40.11,48,0
125222,Andre Drummond,C,DET,7700,41.64,53,0
125223,DeAndre Jordan,C,LAC,6600,34.55,25.5,0
125224,Jusuf Nurkic,C,DEN,6500,35.94,32,0
125225,Nikola Vucevic,C,ORL,6300,34.79,20.75,0
125226,Marcin Gortat,C,WAS,6000,34.15,29.5,0
125227,Greg Monroe,C,MIL,5700,32.63,16.25,0
125228,Joel Embiid,C,PHI,5600,32.03,41.5,0
125229,Pau Gasol,C,SA,5600,28.74,19,0
125230,Nerlens Noel,C,PHI,5100,0,0,0
125231,Tristan Thompson,C,CLE,4900,23.22,27.25,0
