,Unnamed: 0,Id,Name,Position,Team,Salary,Projected,Scored,Override,Date,Streak,last5,last3,last1,Salary Change
0,14245,118150,Iman Shumpert,SG,CLE,3100,11.44,10.0,0,2016-10-25,0,,,,0.0
1,14236,118141,Jeff Withey,C,UTA,3000,4.24,5.25,0,2016-10-25,0,,,,0.0
2,14235,118140,Greg Stiemsma,C,POR,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
3,14234,118139,Marshall Plumlee,C,NY,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
4,14233,118138,Chris Andersen,C,CLE,3000,8.51,4.0,0,2016-10-25,0,,,,0.0
5,14232,118137,Damian Jones,C,GS,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
6,14231,118136,JaVale McGee,C,GS,3000,5.08,2.0,0,2016-10-25,0,,,,0.0
7,14230,118135,Anderson Varejao,C,GS,3000,3.14,1.0,0,2016-10-25,0,,,,0.0
8,14229,118134,Dewayne Dedmon,C,SA,3200,15.0,15.5,0,2016-10-25,0,,,,0.0
9,14228,118133,Festus Ezeli,C,POR,3300,0.0,0.0,0,2016-10-25,0,,,,0.0
10,14227,118132,Zaza Pachulia,C,GS,4000,16.68,5.75,0,2016-10-25,0,,,,0.0
11,14225,118130,Tristan Thompson,C,CLE,5100,16.81,6.5,0,2016-10-25,0,,,,0.0
12,14237,118142,Henry Sims,C,UTA,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
13,14224,118129,Joakim Noah,C,NY,5500,21.83,13.5,0,2016-10-25,0,,,,0.0
14,14222,118127,Rudy Gobert,C,UTA,7000,29.21,36.5,0,2016-10-25,1,,,,0.0
15,14221,118126,Boris Diaw,PF/C,UTA,3100,15.13,5.25,0,2016-10-25,0,,,,0.0
16,14220,118125,Kyle O'Quinn,PF/C,NY,3200,6.02,13.25,0,2016-10-25,0,,,,0.0
17,14219,118124,Trey Lyles,PF/C,UTA,3600,18.88,9.5,0,2016-10-25,0,,,,0.0
18,14218,118123,Ed Davis,PF/C,POR,3800,17.4,18.25,0,2016-10-25,0,,,,0.0
19,14217,118122,Kevin Love,PF/C,CLE,7000,36.02,48.5,0,2016-10-25,1,,,,0.0
20,14216,118121,LaMarcus Aldridge,PF/C,SA,7100,37.09,51.0,0,2016-10-25,1,,,,0.0
21,14215,118120,Draymond Green,PF/C,GS,7200,34.69,55.5,0,2016-10-25,1,,,,0.0
22,14214,118119,Noah Vonleh,PF,POR,3000,7.46,14.75,0,2016-10-25,0,,,,0.0
23,14213,118118,Jake Layman,PF,POR,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
24,14212,118117,Grant Jerrett,PF,POR,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
25,14223,118128,Pau Gasol,C,SA,6900,41.42,8.0,0,2016-10-25,0,,,,0.0
26,14211,118116,Joel Bolomboy,PF,UTA,3000,0.0,0.0,0,2016-10-25,0,,,,0.0
27,14238,118143,Klay Thompson,SG,GS,6500,29.61,15.25,0,2016-10-25,0,,,,0.0
28,14240,118145,Danny Green,SG,SA,4200,0.0,0.0,0,2016-10-25,0,,,,0.0
29,14265,118387,Guillermo Hernangomez,C,NY,3000,0.0,4.75,0,2016-10-25,0,,,,0.0
30,14264,118169,Justin Holiday,SG/SF,NY,3000,8.81,21.5,0,2016-10-25,0,,,,0.0
31,14263,118168,Mike Dunleavy,SG/SF,CLE,3000,5.89,18.0,0,2016-10-25,0,,,,0.0
32,14262,118167,Patrick McCaw,SG/SF,GS,3000,0.0,9.0,0,2016-10-25,0,,,,0.0
33,14261,118166,Allen Crabbe,SG/SF,POR,3400,12.23,27.25,0,2016-10-25,0,,,,0.0
34,14260,118165,Joe Johnson,SG/SF,UTA,4300,24.56,41.0,0,2016-10-25,1,,,,0.0
35,14259,118164,Evan Turner,SG/SF,POR,4700,22.71,20.75,0,2016-10-25,0,,,,0.0
36,14258,118163,Ian Clark,PG/SG,GS,3000,1.5,10.0,0,2016-10-25,0,,,,0.0
37,14257,118162,C.J. McCollum,PG/SG,POR,6300,34.1,33.5,0,2016-10-25,0,,,,0.0
38,14256,118161,Ron Baker,SG,NY,3000,0.0,6.75,0,2016-10-25,0,,,,0.0
39,14255,118160,Markel Brown,SG,CLE,3000,8.91,0.0,0,2016-10-25,0,,,,0.0
