Name,Team,Position,Dropped,Added,Total,Date
Michael Kidd-Gilchrist,CHA , SF,174,14468,14650,2016-10-27
Sergio Rodriguez,PHI , PG,167,11868,12036,2016-10-27
Roy Hibbert,CHA , C,140,11525,11666,2016-10-27
Jonathon Simmons,SA ," SG,SF",2097,7036,9133,2016-10-27
Joe Johnson,UTA ," SG,SF",360,8676,9038,2016-10-27
Justin Hamilton,BKN ," PF,C",108,8611,8719,2016-10-27
J.J. Barea,DAL ," PG,SG",113,5818,5931,2016-10-27
Matt Barnes,SAC ," SG,SF",565,4003,4570,2016-10-27
Ty Lawson,SAC , PG,908,3140,4049,2016-10-27
Allen Crabbe,POR ," PG,SG",760,3276,4039,2016-10-27
Wade Baldwin IV,MEM , PG,72,3802,3874,2016-10-27
Tim Frazier,NO ," PG,SG",158,3338,3504,2016-10-27
Mirza Teletovic,MIL ," SF,PF",2895,359,3262,2016-10-27
Tyler Johnson,MIA ," PG,SG",139,2851,2991,2016-10-27
Buddy Hield,NO , SG,2769,163,2951,2016-10-27
Willie Cauley-Stein,SAC ," PF,C",2540,398,2940,2016-10-27
Patty Mills,SA , PG,777,2118,2896,2016-10-27
Marcus Morris,DET ," SF,PF",222,2647,2876,2016-10-27
Rondae Hollis-Jefferson,BKN ," SG,SF",2658,174,2846,2016-10-27
Terrence Jones,NO ," SF,PF",2556,242,2810,2016-10-27
Justise Winslow,MIA ," SF,PF",139,2646,2795,2016-10-27
Luol Deng,LAL ," SF,PF",2627,160,2794,2016-10-27
Jamal Murray,DEN , SG,2714,71,2790,2016-10-27
Bojan Bogdanovic,BKN ," SG,SF",217,2535,2759,2016-10-27
Cody Zeller,CHA ," PF,C",297,2419,2718,2016-10-27
Will Barton,DEN ," SG,SF",359,2314,2680,2016-10-27
Courtney Lee,NY ," SG,SF",2459,179,2643,2016-10-27
Nerlens Noel,PHI ," PF,C",2338,247,2607,2016-10-27
Tony Parker,SA , PG,1819,770,2596,2016-10-27
Patrick Beverley,HOU ," PG,SG",2390,158,2552,2016-10-27
Joakim Noah,NY ," PF,C",2331,179,2526,2016-10-27
Al Jefferson,IND ," PF,C",2081,435,2523,2016-10-27
Stanley Johnson,DET ," SG,SF",2412,62,2476,2016-10-27
Ish Smith,DET , PG,1812,616,2437,2016-10-27
Evan Turner,POR ," SG,SF",1895,525,2428,2016-10-27
Danny Green,SA ," SG,SF",2044,183,2233,2016-10-27
Marcus Smart,BOS , PG,2015,153,2176,2016-10-27
Mason Plumlee,POR ," PF,C",1472,606,2095,2016-10-27
Timofey Mozgov,LAL , C,415,1678,2095,2016-10-27
Deron Williams,DAL , PG,114,1963,2089,2016-10-27
Brandon Ingram,LAL ," SG,SF",1623,391,2034,2016-10-27
