Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Projected Value,Actual Scored,Iteration,date,NumGames,Risk
Anthony Davis,Jrue Holiday,Pau Gasol,Langston Galloway,Lance Thomas,Glenn Robinson III,Damian Lillard,Dwyane Wade,NO,NO,SA,NO,NY,IND,POR,CHI,PF,PG,C,PG,SF,SG,PG,SG,542.195531180652,273.5,1,Dec152016,5,103.0
Anthony Davis,Jrue Holiday,E'Twaun Moore,Nikola Jokic,Langston Galloway,C.J. Miles,Eric Bledsoe,Klay Thompson,NO,NO,NO,DEN,NO,IND,PHO,GS,PF,PG,SG,C,PG,SF,PG,SG,532.7527431521776,237.0,2,Dec152016,5,106.38
Anthony Davis,Pau Gasol,Tony Parker,Langston Galloway,Paul George,Devin Booker,P.J. Tucker,Eric Bledsoe,NO,SA,SA,NO,IND,PHO,PHO,PHO,PF,C,PG,PG,SF,SG,SF,PG,530.6982260874516,223.0,3,Dec152016,5,106.56
Anthony Davis,Jrue Holiday,E'Twaun Moore,John Henson,Tony Parker,Paul George,Damian Lillard,Jared Dudley,NO,NO,NO,MIL,SA,IND,POR,PHO,PF,PG,SG,C,PG,SF,PG,PF,528.8589069927654,268.25,4,Dec152016,5,108.62
Jrue Holiday,Nikola Jokic,Pau Gasol,Tony Parker,P.J. Tucker,Damian Lillard,Kristaps Porzingis,Klay Thompson,NO,DEN,SA,SA,PHO,POR,NY,GS,PG,C,C,PG,SF,PG,PF,SG,527.9997349863389,241.75,5,Dec152016,5,98.54
Anthony Davis,Jrue Holiday,Nikola Jokic,Jameer Nelson,Tony Parker,Devin Booker,Maurice Harkless,Dwyane Wade,NO,NO,DEN,DEN,SA,PHO,POR,CHI,PF,PG,C,PG,PG,SG,SF,SG,525.1242792461027,259.5,6,Dec152016,5,107.85
Jrue Holiday,Pau Gasol,John Henson,Brandon Jennings,Paul George,Eric Bledsoe,Dwyane Wade,Klay Thompson,NO,SA,MIL,NY,IND,PHO,CHI,GS,PG,C,C,PG,SF,PG,SG,SG,524.334071889986,262.5,7,Dec152016,5,102.13
Anthony Davis,Jrue Holiday,John Henson,Jameer Nelson,Nikola Mirotic,Glenn Robinson III,Kristaps Porzingis,Eric Bledsoe,NO,NO,MIL,DEN,CHI,IND,NY,PHO,PF,PG,C,PG,SF,SG,PF,PG,523.9656042969328,215.5,8,Dec152016,5,104.97
Jrue Holiday,Pau Gasol,Jameer Nelson,Langston Galloway,Kyle O'Quinn,Paul George,Jimmy Butler,Kristaps Porzingis,NO,SA,DEN,NO,NY,IND,CHI,NY,PG,C,PG,PG,PF,SF,SG,PF,523.8627156444679,205.5,9,Dec152016,5,101.83
E'Twaun Moore,Jeff Teague,Nikola Jokic,Pau Gasol,Paul George,Glenn Robinson III,Damian Lillard,Eric Bledsoe,NO,IND,DEN,SA,IND,IND,POR,PHO,SG,PG,C,C,SF,SG,PG,PG,523.7860699670834,244.5,10,Dec152016,5,98.57
