Id,Name,Position,Team,Salary,Projected,Scored,Override,last_5,last_3,last_1,std,bucket5,bucket10,bucket15,bucket20,bucket25,bucket30,bucket35,bucket40,Home
163964,James Harden,PG/SG,HOU,12400,65.6,59.0,0,61.0,48.75,46.75,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
163965,Malcolm Brogdon,PG/SG,MIL,5100,26.88,21.5,0,12.0,12.0,12.0,9.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
163966,Austin Rivers,PG/SG,LAC,4900,23.21,21.0,0,19.5,16.5,8.5,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163967,Brandon Jennings,PG/SG,NY,4300,18.75,21.25,0,17.75,17.75,15.0,9.16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
163968,Justin Holiday,PG/SG,NY,4200,22.24,9.5,0,6.75,11.5,11.5,8.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163969,Brandon Knight,PG/SG,PHO,4200,15.05,9.5,0,18.0,18.0,18.0,8.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163970,Matthew Dellavedova,PG/SG,MIL,3700,0.0,0.0,0,20.0,20.0,20.0,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163971,Iman Shumpert,PG/SG,CLE,3600,15.1,13.5,0,19.25,12.5,12.5,6.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
163972,Jamal Murray,PG/SG,DEN,3100,6.22,17.0,0,7.0,6.25,6.0,10.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163973,Ian Clark,PG/SG,GS,3000,10.19,19.75,0,8.75,5.5,5.5,8.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
163974,Denzel Valentine,PG/SG,CHI,3000,4.15,16.0,0,0.25,0.25,5.5,4.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163975,Leandro Barbosa,PG/SG,PHO,3000,6.47,11.25,0,9.5,13.75,16.75,8.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163976,Russell Westbrook,PG,OKC,12300,60.63,52.25,0,61.5,79.5,79.5,14.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
163977,Giannis Antetokounmpo,PG,MIL,10400,53.84,51.5,0,46.75,46.75,44.5,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
163978,John Wall,PG,WAS,10100,49.56,45.25,0,39.75,39.75,48.75,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
163979,Chris Paul,PG,LAC,9500,0.0,0.0,0,43.75,43.75,46.25,17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163980,Stephen Curry,PG,GS,8600,42.05,33.25,0,36.75,35.75,35.75,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
163981,Kemba Walker,PG,CHA,7900,36.28,61.75,0,42.0,36.25,42.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
163982,Kyrie Irving,PG,CLE,7800,0.0,0.0,0,40.75,41.5,32.5,15.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163983,Eric Bledsoe,PG,PHO,7600,34.55,50.0,0,37.75,37.75,28.0,11.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163984,George Hill,PG,UTA,6500,0.0,0.0,0,29.0,33.75,29.0,17.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163985,Jrue Holiday,PG,NO,6500,34.35,42.0,0,0.0,0.0,0.0,17.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163986,Derrick Rose,PG,NY,6500,34.19,26.25,0,28.5,23.25,28.5,13.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
163987,Elfrid Payton,PG,ORL,5900,27.89,43.75,0,30.5,30.5,24.5,11.74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
163988,Rajon Rondo,PG,CHI,5800,0.0,0.0,0,25.5,28.5,25.5,14.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163989,Patrick Beverley,PG,HOU,5400,0.0,0.0,0,0.0,0.0,0.0,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163990,Jeremy Lin,PG,BKN,5200,0.0,0.0,0,29.5,36.75,29.5,15.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163991,Shelvin Mack,PG,UTA,5000,22.72,26.5,0,17.0,15.25,4.0,7.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
163992,Emmanuel Mudiay,PG,DEN,4700,25.89,18.0,0,35.5,31.0,31.0,12.49,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
163993,Raymond Felton,PG,LAC,4300,21.75,32.5,0,8.5,8.5,7.75,9.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163994,Michael Carter-Williams,PG,CHI,4000,20.52,27.25,0,3.5,17.5,3.5,5.91,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
163995,Tim Frazier,PG,NO,4000,2.56,0.0,0,37.0,43.25,20.0,15.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163996,Shaun Livingston,PG,GS,3500,9.86,17.75,0,6.25,6.25,6.25,4.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163997,Ramon Sessions,PG,CHA,3500,12.14,12.75,0,14.0,14.0,15.75,5.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163998,Tomas Satoransky,PG,WAS,3400,2.78,0.0,0,8.25,4.75,0.0,7.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163999,D.J. Augustin,PG,ORL,3400,14.46,12.0,0,10.0,9.5,22.5,6.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164000,Jameer Nelson,PG,DEN,3300,14.27,8.5,0,16.5,16.5,20.5,9.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164001,Isaiah Whitehead,PG,BKN,3300,14.55,22.0,0,2.75,5.5,11.5,8.47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164002,Kay Felder,PG,CLE,3200,11.78,16.25,0,0.0,0.0,4.75,7.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164003,Randy Foye,PG,BKN,3100,9.88,7.75,0,0.0,0.0,0.0,7.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
