DAY,DATE,VISITOR,HOME
Tue.,2016-10-25,NY,CLE
Tue.,2016-10-25,UTA,POR
Tue.,2016-10-25,SA,GS
Wed.,2016-10-26,MIA,ORL
Wed.,2016-10-26,DAL,IND
Wed.,2016-10-26,BKN,BOS
Wed.,2016-10-26,DET,TOR
Wed.,2016-10-26,CHA,MIL
Wed.,2016-10-26,MIN,MEM
Wed.,2016-10-26,DEN,NO
Wed.,2016-10-26,OKC,PHI
Wed.,2016-10-26,SAC,PHO
Wed.,2016-10-26,HOU,LAL
Thu.,2016-10-27,WAS,ATL
Thu.,2016-10-27,BOS,CHI
Thu.,2016-10-27,SA,SAC
Thu.,2016-10-27,LAC,POR
Fri.,2016-10-28,CLE,TOR
Fri.,2016-10-28,IND,BKN
Fri.,2016-10-28,ORL,DET
Fri.,2016-10-28,PHO,OKC
Fri.,2016-10-28,CHA,MIA
Fri.,2016-10-28,HOU,DAL
Fri.,2016-10-28,LAL,UTA
Fri.,2016-10-28,GS,NO
Sat.,2016-10-29,ATL,PHI
Sat.,2016-10-29,BOS,CHA
Sat.,2016-10-29,MEM,NY
Sat.,2016-10-29,ORL,CLE
Sat.,2016-10-29,IND,CHI
Sat.,2016-10-29,BKN,MIL
Sat.,2016-10-29,NO,SA
Sat.,2016-10-29,POR,DEN
Sat.,2016-10-29,MIN,SAC
Sun.,2016-10-30,UTA,LAC
Sun.,2016-10-30,GS,PHO
Sun.,2016-10-30,SA,MIA
Sun.,2016-10-30,MIL,DET
Sun.,2016-10-30,WAS,MEM
Sun.,2016-10-30,LAL,OKC
Sun.,2016-10-30,DAL,HOU
Mon.,2016-10-31,DEN,TOR
Mon.,2016-10-31,CHI,BKN
Mon.,2016-10-31,SAC,ATL
Mon.,2016-10-31,PHO,LAC
Tue.,2016-11-01,ORL,PHI
Tue.,2016-11-01,HOU,CLE
Tue.,2016-11-01,LAL,IND
Tue.,2016-11-01,SAC,MIA
Tue.,2016-11-01,NY,DET
Tue.,2016-11-01,MIL,NO
Tue.,2016-11-01,MEM,MIN
Tue.,2016-11-01,UTA,SA
Tue.,2016-11-01,GS,POR
Wed.,2016-11-02,TOR,WAS
Wed.,2016-11-02,PHI,CHA
Wed.,2016-11-02,DET,BKN
Wed.,2016-11-02,HOU,NY
Wed.,2016-11-02,LAL,ATL
Wed.,2016-11-02,NO,MEM
Wed.,2016-11-02,CHI,BOS
Wed.,2016-11-02,DAL,UTA
Wed.,2016-11-02,POR,PHO
Wed.,2016-11-02,OKC,LAC
Thu.,2016-11-03,SAC,ORL
Thu.,2016-11-03,IND,MIL
Thu.,2016-11-03,DEN,MIN
Thu.,2016-11-03,BOS,CLE
Thu.,2016-11-03,OKC,GS
Fri.,2016-11-04,ATL,WAS
Fri.,2016-11-04,MIA,TOR
Fri.,2016-11-04,CHA,BKN
Fri.,2016-11-04,NY,CHI
Fri.,2016-11-04,LAC,MEM
Fri.,2016-11-04,PHO,NO
Fri.,2016-11-04,POR,DAL
Fri.,2016-11-04,SA,UTA
Fri.,2016-11-04,GS,LAL
Sat.,2016-11-05,MIN,OKC
Sat.,2016-11-05,CLE,PHI
Sat.,2016-11-05,WAS,ORL
Sat.,2016-11-05,DEN,DET
Sat.,2016-11-05,CHI,IND
Sat.,2016-11-05,HOU,ATL
Sat.,2016-11-05,SAC,MIL
Sat.,2016-11-05,LAC,SA
Sun.,2016-11-06,UTA,NY
Sun.,2016-11-06,POR,MEM
Sun.,2016-11-06,SAC,TOR
Sun.,2016-11-06,MIL,DAL
Sun.,2016-11-06,DEN,BOS
Sun.,2016-11-06,PHO,LAL
Mon.,2016-11-07,UTA,PHI
Mon.,2016-11-07,HOU,WAS
Mon.,2016-11-07,IND,CHA
Mon.,2016-11-07,ORL,CHI
Mon.,2016-11-07,MIA,OKC
Mon.,2016-11-07,DET,LAC
Mon.,2016-11-07,NO,GS
Tue.,2016-11-08,ATL,CLE
Tue.,2016-11-08,MIN,BKN
Tue.,2016-11-08,DEN,MEM
Tue.,2016-11-08,PHO,POR
Tue.,2016-11-08,DAL,LAL
Tue.,2016-11-08,NO,SAC
Wed.,2016-11-09,BKN,NY
Wed.,2016-11-09,BOS,WAS
Wed.,2016-11-09,UTA,CHA
Wed.,2016-11-09,MIN,ORL
Wed.,2016-11-09,PHI,IND
Wed.,2016-11-09,CHI,ATL
Wed.,2016-11-09,TOR,OKC
Wed.,2016-11-09,DET,PHO
Wed.,2016-11-09,HOU,SA
Wed.,2016-11-09,POR,LAC
Wed.,2016-11-09,DAL,GS
Thu.,2016-11-10,NO,MIL
Thu.,2016-11-10,CHI,MIA
Thu.,2016-11-10,GS,DEN
Thu.,2016-11-10,LAL,SAC
Fri.,2016-11-11,IND,PHI
Fri.,2016-11-11,CLE,WAS
Fri.,2016-11-11,TOR,CHA
Fri.,2016-11-11,UTA,ORL
Fri.,2016-11-11,NY,BOS
Fri.,2016-11-11,LAC,OKC
Fri.,2016-11-11,DET,SA
Fri.,2016-11-11,SAC,POR
Sat.,2016-11-12,LAL,NO
Sat.,2016-11-12,BOS,IND
Sat.,2016-11-12,NY,TOR
Sat.,2016-11-12,PHI,ATL
Sat.,2016-11-12,WAS,CHI
Sat.,2016-11-12,SA,HOU
Sat.,2016-11-12,LAC,MIN
Sat.,2016-11-12,UTA,MIA
Sat.,2016-11-12,MEM,MIL
Sat.,2016-11-12,DET,DEN
Sat.,2016-11-12,BKN,PHO
Sun.,2016-11-13,CHA,CLE
Sun.,2016-11-13,ORL,OKC
Sun.,2016-11-13,LAL,MIN
Sun.,2016-11-13,PHO,GS
Sun.,2016-11-13,DEN,POR
Mon.,2016-11-14,ORL,IND
Mon.,2016-11-14,DAL,NY
Mon.,2016-11-14,OKC,DET
Mon.,2016-11-14,BOS,NO
