A,,
NAME,PG,
"Augustin, D.J.",,
B,,
NAME,,
"Baldwin IV, Wade",,
"Barea, J.J.",,
"Bayless, Jerryd",,
"Beverley, Patrick",,
"Bledsoe, Eric",,
"Brooks, Aaron",,
"Brown, Bobby",,
"Burke, Trey",,
C,,
NAME,,
"Calderon, Jose",,
"Canaan, Isaiah",,
"Carter-Williams, Michael",,
"Christon, Semaj",,
"Clarkson, Jordan",,
"Collison, Darren",,
"Conley, Mike",,
"Curry, Stephen",,
D,,
NAME,,
"Delaney, Malcolm",,
"Dellavedova, Matthew",,
"Dinwiddie, Spencer",,
"Dragic, Goran",,
"Dunn, Kris",,
E,,
NAME,,
"Ennis, Tyler",,
"Exum, Dante",,
F,,
NAME,,
"Felder, Kay",,
"Felton, Raymond",,
"Frazier, Tim",,
G,,
NAME,,
"Gibson, Jonathan",,
"Grant, Jerian",,
H,,
NAME,,
"Harris, Devin",,
"Harrison, Andrew",,
"Hill, George",,
"Holiday, Jrue",,
"Huertas, Marcelo",,
I,,
NAME,,
"Irving, Kyrie",,
J,,
NAME,,
"Jackson, Demetrius",,
"Jackson, Reggie",,
"Jennings, Brandon",,
"Jones, Tyus",,
"Joseph, Cory",,
K,,
NAME,,
"Knight, Brandon",,
L,,
NAME,,
"LaVine, Zach",,
"Lawson, Ty",,
"Lillard, Damian",,
"Lin, Jeremy",,
"Livingston, Shaun",,
"Lowry, Kyle",,
M,,
NAME,,
"Mack, Shelvin",,
"McCaw, Patrick",,
"McConnell, T.J.",,
"Mills, Patty",,
"Mudiay, Emmanuel",,
"Murray, Dejounte",,
N,,
NAME,,
"Napier, Shabazz",,
"Nelson, Jameer",,
"Neto, Raul",,
P,,
NAME,,
"Parker, Tony",,
"Paul, Chris",,
"Payne, Cameron",,
"Payton, Elfrid",,
R,,
NAME,,
"Randle, Chasson",,
"Rivers, Austin",,
"Roberts, Brian",,
"Rodriguez, Sergio",,
"Rondo, Rajon",,
"Rose, Derrick",,
"Rozier, Terry",,
"Rubio, Ricky",,
"Russell, D'Angelo",,
S,,
NAME,,
"Schroder, Dennis",,
"Sessions, Ramon",,
"Smart, Marcus",,
"Smith, Ish",,
"Stuckey, Rodney",,
T,,
NAME,,
"Teague, Jeff",,
"Thomas, Isaiah",,
U,,
NAME,,
"Udrih, Beno",,
"Ulis, Tyler",,
V,,
NAME,,
"VanVleet, Fred",,
W,,
NAME,,
"Walker, Kemba",,
"Wall, John",,
"Watson, C.J.",,
"Westbrook, Russell",,
"Whitehead, Isaiah",,
"Williams, Deron",,
"Williams, Mo",,
"Wright, Delon",,
Y,,
NAME,,
"Young, Joe",,
A,,
NAME,,COLLEGE
"Abrines, Alex",sg,
"Afflalo, Arron",Sacramento Kings,UCLA
"Allen, Tony",Memphis Grizzlies,Oklahoma State
"Anderson, Alan",LA Clippers,Michigan State
"Anderson, Justin",Dallas Mavericks,Virginia
"Anderson, Kyle",San Antonio Spurs,UCLA
B,,
NAME,TEAM,COLLEGE
"Baker, Ron",New York Knicks,Wichita State
"Barbosa, Leandro",Phoenix Suns,
"Barton, Will",Denver Nuggets,Memphis
"Batum, Nicolas",Charlotte Hornets,
"Beal, Bradley",Washington Wizards,Florida
"Beasley, Malik",Denver Nuggets,Florida State
"Belinelli, Marco",Charlotte Hornets,
"Bogdanovic, Bojan",Brooklyn Nets,
"Booker, Devin",Phoenix Suns,Kentucky
"Bradley, Avery",Boston Celtics,Texas
"Brogdon, Malcolm",Milwaukee Bucks,Virginia
"Burks, Alec",Utah Jazz,Colorado
C,,
NAME,TEAM,COLLEGE
"Caldwell-Pope, Kentavious",Detroit Pistons,Georgia
"Carter, Vince",Memphis Grizzlies,North Carolina
"Clark, Ian",Golden State Warriors,Belmont
"Connaughton, Pat",Portland Trail Blazers,Notre Dame
"Crabbe, Allen",Portland Trail Blazers,California
"Crawford, Jamal",LA Clippers,Michigan
"Curry, Seth",Dallas Mavericks,Duke
D,,
NAME,TEAM,COLLEGE
"Daniels, Troy",Memphis Grizzlies,Virginia Commonwealth
"DeRozan, DeMar",Toronto Raptors,USC
"Dunleavy, Mike",Atlanta Hawks,Duke
E,,
NAME,TEAM,COLLEGE
"Ellington, Wayne",Miami Heat,North Carolina
"Ellis, Monta",Indiana Pacers,
"Evans, Tyreke",New Orleans Pelicans,Memphis
F,,
NAME,TEAM,COLLEGE
"Forbes, Bryn",San Antonio Spurs,Michigan State
"Fournier, Evan",Orlando Magic,
"Foye, Randy",Brooklyn Nets,Villanova
G,,
NAME,TEAM,COLLEGE
"Galloway, Langston",New Orleans Pelicans,Saint Joseph's
"Gbinije, Michael",Detroit Pistons,Syracuse
"Ginobili, Manu",San Antonio Spurs,
"Gordon, Eric",Houston Rockets,Indiana
"Graham, Treveon",Charlotte Hornets,Virginia Commonwealth
"Green, Danny",San Antonio Spurs,North Carolina
H,,
NAME,TEAM,COLLEGE
"Hardaway Jr., Tim",Atlanta Hawks,Michigan
"Harden, James",Houston Rockets,Arizona State
"Harris, Gary",Denver Nuggets,Michigan State
"Harrison, Aaron",Charlotte Hornets,Kentucky
"Henderson, Gerald",Philadelphia 76ers,Duke
"Hezonja, Mario",Orlando Magic,
"Hield, Buddy",New Orleans Pelicans,Oklahoma
"Hilliard, Darrun",Detroit Pistons,Villanova
"Holiday, Justin",New York Knicks,Washington
"Hood, Rodney",Utah Jazz,Duke
J,,
NAME,TEAM,COLLEGE
"Johnson, Tyler",Miami Heat,Fresno State
"Jones, James",Cleveland Cavaliers,Miami (FL)
K,,
NAME,TEAM,COLLEGE
"Kilpatrick, Sean",Brooklyn Nets,Cincinnati
"Korver, Kyle",Cleveland Cavaliers,Creighton
L,,
NAME,TEAM,COLLEGE
"Lamb, Jeremy",Charlotte Hornets,Connecticut
"Lee, Courtney",New York Knicks,Western Kentucky
"LeVert, Caris",Brooklyn Nets,Michigan
"Liggins, DeAndre",Cleveland Cavaliers,Kentucky
"Luwawu-Cabarrot, Timothe",Philadelphia 76ers,
M,,
NAME,TEAM,COLLEGE
"Matthews, Wesley",Dallas Mavericks,Marquette
"McClellan, Sheldon",Washington Wizards,Miami (FL)
"McCollum, C.J.",Portland Trail Blazers,Lehigh
"McDaniels, K.J.",Houston Rockets,Clemson
"McGruder, Rodney",Miami Heat,Kansas State
"McLemore, Ben",Sacramento Kings,Kansas
"McRae, Jordan",Cleveland Cavaliers,Tennessee
"Meeks, Jodie",Orlando Magic,Kentucky
"Middleton, Khris",Milwaukee Bucks,Texas A&M
"Miller, Mike",Denver Nuggets,Florida
"Moore, E'Twaun",New Orleans Pelicans,Purdue
"Morrow, Anthony",Oklahoma City Thunder,Georgia Tech
"Murray, Jamal",Denver Nuggets,Kentucky
O,,
NAME,TEAM,COLLEGE
"Oladipo, Victor",Oklahoma City Thunder,Indiana
P,,
NAME,TEAM,COLLEGE
"Pondexter, Quincy",New Orleans Pelicans,Washington
"Powell, Norman",Toronto Raptors,UCLA
Q,,
NAME,TEAM,COLLEGE
"Quarterman, Tim",Portland Trail Blazers,LSU
R,,
NAME,TEAM,COLLEGE
"Redick, J.J.",LA Clippers,Duke
"Richardson, Josh",Miami Heat,Tennessee
"Richardson, Malachi",Sacramento Kings,Syracuse
"Robinson III, Glenn",Indiana Pacers,Michigan
"Rush, Brandon",Minnesota Timberwolves,Kansas
S,,
NAME,TEAM,COLLEGE
"Satoransky, Tomas",Washington Wizards,
"Shumpert, Iman",Cleveland Cavaliers,Georgia Tech
"Simmons, Jonathon",San Antonio Spurs,Houston
"Smith, J.R.",Cleveland Cavaliers,
"Snell, Tony",Milwaukee Bucks,New Mexico
"Stauskas, Nik",Philadelphia 76ers,Michigan
T,,
NAME,TEAM,COLLEGE
"Temple, Garrett",Sacramento Kings,LSU
"Terry, Jason",Milwaukee Bucks,Arizona
"Thompson, Klay",Golden State Warriors,Washington State
"Thornton, Marcus",Washington Wizards,LSU
"Turner, Evan",Portland Trail Blazers,Ohio State
V,,
NAME,TEAM,COLLEGE
"Valentine, Denzel",Chicago Bulls,Michigan State
"Vaughn, Rashad",Milwaukee Bucks,UNLV
"Vujacic, Sasha",New York Knicks,
W,,
NAME,TEAM,COLLEGE
"Wade, Dwyane",Chicago Bulls,Marquette
"Waiters, Dion",Miami Heat,Syracuse
"Wilcox, CJ",Orlando Magic,Washington
"Williams, Louis",Los Angeles Lakers,
Y,,
NAME,TEAM,COLLEGE
"Young, James",Boston Celtics,Kentucky
"Young, Nick",Los Angeles Lakers,USC
A,,
NAME,sf,COLLEGE
"Acy, Quincy",Brooklyn Nets,Baylor
"Aminu, Al-Farouq",Portland Trail Blazers,Wake Forest
"Antetokounmpo, Giannis",Milwaukee Bucks,
"Anthony, Carmelo",New York Knicks,Syracuse
"Ariza, Trevor",Houston Rockets,UCLA
B,,
NAME,TEAM,COLLEGE
"Babbitt, Luke",Miami Heat,Nevada
"Barnes, Harrison",Dallas Mavericks,North Carolina
"Barnes, Matt",Sacramento Kings,UCLA
"Bazemore, Kent",Atlanta Hawks,Old Dominion
"Beasley, Michael",Milwaukee Bucks,Kansas State
"Bembry, DeAndre",Atlanta Hawks,Saint Joseph's
"Bertans, Davis",San Antonio Spurs,
"Brewer, Corey",Houston Rockets,Florida
"Brown, Jaylen",Boston Celtics,California
"Brussino, Nicolas",Dallas Mavericks,
"Bullock, Reggie",Detroit Pistons,North Carolina
"Butler, Jimmy",Chicago Bulls,Marquette
C,,
NAME,TEAM,COLLEGE
"Caboclo, Bruno",Toronto Raptors,
"Carroll, DeMarre",Toronto Raptors,Missouri
"Casspi, Omri",Sacramento Kings,
"Chandler, Wilson",Denver Nuggets,DePaul
"Covington, Robert",Philadelphia 76ers,Tennessee State
"Crowder, Jae",Boston Celtics,Marquette
D,,
NAME,TEAM,COLLEGE
"Dekker, Sam",Houston Rockets,Wisconsin
"Deng, Luol",Los Angeles Lakers,Duke
"Dudley, Jared",Phoenix Suns,Boston College
"Durant, Kevin",Golden State Warriors,Texas
E,,
NAME,TEAM,COLLEGE
"Ennis, James",Memphis Grizzlies,Long Beach State
F,,
NAME,TEAM,COLLEGE
"Finney-Smith, Dorian",Dallas Mavericks,Florida
G,,
NAME,TEAM,COLLEGE
"Gallinari, Danilo",Denver Nuggets,
"Gay, Rudy",Sacramento Kings,Connecticut
"Gee, Alonzo",Denver Nuggets,Alabama
"George, Paul",Indiana Pacers,Fresno State
"Grant, Jerami",Oklahoma City Thunder,Syracuse
"Green, Gerald",Boston Celtics,
"Green, Jeff",Orlando Magic,Georgetown
H,,
NAME,TEAM,COLLEGE
"Harkless, Maurice",Portland Trail Blazers,St. John's
"Harris, Joe",Brooklyn Nets,Virginia
"Harris, Tobias",Detroit Pistons,Tennessee
"Hayward, Gordon",Utah Jazz,Butler
"Hill, Solomon",New Orleans Pelicans,Arizona
"Hollis-Jefferson, Rondae",Brooklyn Nets,Arizona
"Huestis, Josh",Oklahoma City Thunder,Stanford
I,,
NAME,TEAM,COLLEGE
"Iguodala, Andre",Golden State Warriors,Arizona
"Ingles, Joe",Utah Jazz,
"Ingram, Brandon",Los Angeles Lakers,Duke
J,,
NAME,TEAM,COLLEGE
"James, LeBron",Cleveland Cavaliers,
"Jefferson, Richard",Cleveland Cavaliers,Arizona
"Johnson, Brice",LA Clippers,North Carolina
"Johnson, Joe",Utah Jazz,Arkansas
"Johnson, Stanley",Detroit Pistons,Arizona
