Name,Dropped,Added,Total,Date
M. Kidd-Gilchrist,174,14468,14650,2016-10-27
S. Rodriguez,167,11868,12036,2016-10-27
R. Hibbert,140,11525,11666,2016-10-27
J. Simmons,2097,7036,9133,2016-10-27
J. Johnson,360,8676,9038,2016-10-27
J. Hamilton,108,8611,8719,2016-10-27
J. Barea,113,5818,5931,2016-10-27
M. Barnes,565,4003,4570,2016-10-27
T. Lawson,908,3140,4049,2016-10-27
A. Crabbe,760,3276,4039,2016-10-27
W. Baldwin IV,72,3802,3874,2016-10-27
T. Frazier,158,3338,3504,2016-10-27
M. Teletovic,2895,359,3262,2016-10-27
T. Johnson,139,2851,2991,2016-10-27
B. Hield,2769,163,2951,2016-10-27
W. Cauley-Stein,2540,398,2940,2016-10-27
P. Mills,777,2118,2896,2016-10-27
M. Morris,222,2647,2876,2016-10-27
R. Hollis-Jefferson,2658,174,2846,2016-10-27
T. Jones,2556,242,2810,2016-10-27
J. Winslow,139,2646,2795,2016-10-27
L. Deng,2627,160,2794,2016-10-27
J. Murray,2714,71,2790,2016-10-27
B. Bogdanovic,217,2535,2759,2016-10-27
C. Zeller,297,2419,2718,2016-10-27
W. Barton,359,2314,2680,2016-10-27
C. Lee,2459,179,2643,2016-10-27
N. Noel,2338,247,2607,2016-10-27
T. Parker,1819,770,2596,2016-10-27
P. Beverley,2390,158,2552,2016-10-27
J. Noah,2331,179,2526,2016-10-27
A. Jefferson,2081,435,2523,2016-10-27
S. Johnson,2412,62,2476,2016-10-27
I. Smith,1812,616,2437,2016-10-27
E. Turner,1895,525,2428,2016-10-27
D. Green,2044,183,2233,2016-10-27
M. Smart,2015,153,2176,2016-10-27
M. Plumlee,1472,606,2095,2016-10-27
T. Mozgov,415,1678,2095,2016-10-27
D. Williams,114,1963,2089,2016-10-27
B. Ingram,1623,391,2034,2016-10-27
D. Saric,1863,148,2023,2016-10-27
J. Harris,49,1965,2014,2016-10-27
L. Williams,1391,603,2004,2016-10-27
A. Aminu,1636,357,2003,2016-10-27
J. Okafor,1864,100,1985,2016-10-27
K. Caldwell-Pope,1720,191,1923,2016-10-27
J. Sullinger,1786,126,1914,2016-10-27
S. Curry,1029,862,1897,2016-10-27
M. Dellavedova,1546,339,1893,2016-10-27
