Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Jrue Holiday,25-243,PG,2/10/2016,NOP,,UTA,W,0,31,9,19,0.474,9,16,0.563,0,3,0,3,4,0.75,2,4,6,9,2,1,5,3,21,16.3,45.5,42.7,-1.5,193.5
Derrick Favors,24-210,PF,2/10/2016,UTA,@,NOP,L,1,39,11,15,0.733,11,15,0.733,0,0,,7,10,0.7,1,5,6,2,1,0,5,3,29,20.1,39,36.2,1.5,193.5
Gordon Hayward,25-324,SF,2/10/2016,UTA,@,NOP,L,1,40,7,18,0.389,5,9,0.556,2,9,0.222,5,7,0.714,0,4,4,4,2,0,3,1,21,13,35.5,32.8,1.5,193.5
Rudy Gobert,23-229,C,2/10/2016,UTA,@,NOP,L,1,33,3,4,0.75,3,4,0.75,0,0,,6,8,0.75,2,12,14,1,0,2,3,4,12,12.1,35,31.3,1.5,193.5
Anthony Davis,22-336,PF,2/10/2016,NOP,,UTA,W,1,34,7,15,0.467,6,14,0.429,1,1,1,4,6,0.667,2,2,4,5,0,1,0,5,19,14.7,34,33.3,-1.5,193.5
Rodney Hood,23-113,SG,2/10/2016,UTA,@,NOP,L,1,35,5,12,0.417,3,7,0.429,2,5,0.4,3,3,1,1,5,6,3,0,0,3,1,15,9.5,26.5,23.7,1.5,193.5
Norris Cole,27-120,PG,2/10/2016,NOP,,UTA,W,1,24,4,10,0.4,3,9,0.333,1,1,1,2,2,1,0,2,2,4,2,0,2,0,11,9,23,21.4,-1.5,193.5
Alexis Ajinca,27-280,C,2/10/2016,NOP,,UTA,W,0,21,3,6,0.5,3,6,0.5,0,0,,2,3,0.667,2,9,11,0,0,0,0,5,8,6.7,21.75,21.2,-1.5,193.5
Raul Neto,23-267,PG,2/10/2016,UTA,@,NOP,L,1,33,4,9,0.444,3,7,0.429,1,2,0.5,0,0,,0,2,2,3,2,0,1,3,9,6.8,20,18.9,1.5,193.5
Toney Douglas,29-331,PG,2/10/2016,NOP,,UTA,W,0,22,3,6,0.5,1,3,0.333,2,3,0.667,0,0,,0,1,1,2,2,0,0,1,8,8.3,17.25,16.2,-1.5,193.5
Bryce Dejean-Jones,23-173,SG,2/10/2016,NOP,,UTA,W,1,19,3,5,0.6,2,4,0.5,1,1,1,2,2,1,0,2,2,2,1,0,0,0,9,9.7,17,16.4,-1.5,193.5
Omer Asik,29-221,C,2/10/2016,NOP,,UTA,W,1,17,2,3,0.667,2,3,0.667,0,0,,0,3,0,3,5,8,0,1,0,1,1,4,4.7,15.5,14.6,-1.5,193.5
