Date;GID;Pos;Name;Starter;DK Pts;DK Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161030;4079;PG;Westbrook Russell;1;79.5;$12200;okc;H;lal;113;96;33.65;33pt 12rb 16as 1st 1bl 7to 5trey 11-21fg 6-6ft
20161030;4321;PG;Wall John;1;48.75;$8200;was;A;mem;103;112;36.77;22pt 3rb 13as 1st 1bl 5to 1trey 8-19fg 5-5ft
20161030;4224;PG/SG;Harden James;1;46.75;$11300;hou;H;dal;93;92;38.62;28pt 7rb 7as 1st 8to 3trey 8-23fg 9-12ft
20161030;3979;PG;Conley Mike;1;46;$6600;mem;H;was;112;103;37.63;24pt 4rb 11as 5to 3trey 8-19fg 5-5ft
20161030;4621;PG;Antetokounmpo Giannis;1;44.5;$8800;mil;A;det;83;98;35.22;17pt 8rb 8as 3bl 2to 1trey 5-16fg 6-6ft
20161030;4092;PG;Dragic Goran;1;38.75;$6300;mia;H;sas;99;106;34.03;25pt 3rb 5as 1st 2to 3trey 9-17fg 4-6ft
20161030;4266;PG;Bledsoe Eric;1;38.75;$7000;pho;H;gsw;100;106;35.60;21pt 5rb 6as 1st 1trey 7-11fg 6-9ft
20161030;4799;PG;Russell D'Angelo;1;38.25;$6700;lal;A;okc;96;113;31.63;20pt 5rb 5as 2st 3to 4trey 7-20fg 2-2ft
20161030;4616;SG;Caldwell-Pope Kentavious;1;36.5;$4400;det;H;mil;98;83;33.97;21pt 6rb 2as 2st 2trey 7-13fg 5-5ft
20161030;4173;PG;Curry Stephen;1;35.75;$8900;gsw;A;pho;106;100;34.22;28pt 1rb 3as 1to 5trey 9-17fg 5-5ft
20161030;3882;PG/SG;Barea Jose;;34.25;$4500;dal;A;hou;92;93;31.38;18pt 3rb 5as 2st 1to 3trey 4-10fg 7-7ft
20161030;3786;PG;Paul Chris;1;33.25;$8400;lac;H;uta;88;75;28.93;9pt 3rb 9as 4st 3to 1trey 3-8fg 2-2ft
20161030;4627;PG/SG;Oladipo Victor;1;29.25;$6500;okc;H;lal;113;96;38.37;20pt 1rb 4as 1st 3to 3trey 7-20fg 3-3ft
20161030;4102;PG;Hill George;1;29;$5800;uta;A;lac;75;88;31.93;18pt 2rb 3as 2st 2to 2trey 8-13fg
20161030;4494;SG;Beal Bradley;1;25.75;$5600;was;A;mem;103;112;39.82;14pt 3rb 1as 2st 1bl 1to 2trey 5-17fg 2-2ft
20161030;4036;SG;Young Nick;1;25.75;$3300;lal;A;okc;96;113;30.23;16pt 3rb 1as 2st 2to 3trey 4-11fg 5-5ft
20161030;4367;SG;Thompson Klay;1;25.5;$6500;gsw;A;pho;106;100;40.05;14pt 6rb 2as 1bl 2to 5-15fg 4-5ft
20161030;4668;PG/SG;Clarkson Jordan;;25.25;$5700;lal;A;okc;96;113;28.73;12pt 5rb 2as 3st 4to 6-14fg
20161030;4483;PG;Rivers Austin;;22.5;$3300;lac;H;uta;88;75;28.85;19pt 2rb 1as 3to 2trey 8-11fg 1-2ft
20161030;3814;PG;Williams Deron;1;22.25;$5700;dal;A;hou;92;93;31.38;12pt 1rb 3as 1st 1bl 2to 3trey 4-11fg 1-2ft
20161030;4315;PG;Smith Ishmael;1;22;$5200;det;H;mil;98;83;31.15;11pt 2rb 7as 4to 5-17fg 1-1ft
20161030;4077;SG;Gordon Eric;1;20.75;$5400;hou;H;dal;93;92;32.83;14pt 3rb 1as 1st 3to 2trey 5-15fg 2-2ft
20161030;4610;PG/SG;Dellavedova Matthew;1;20;$3900;mil;A;det;83;98;30.95;10pt 2rb 5as 2to 2trey 4-7fg
20161030;4245;PG;Mills Patty;;19.5;$3800;sas;A;mia;106;99;25.12;18pt 1to 4trey 6-10fg 2-2ft
20161030;4227;SG;Thornton Marcus;;19.25;$3000;was;A;mem;103;112;15.85;11pt 5rb 1as 1trey 4-6fg 2-3ft
20161030;4515;SG;Waiters Dion;1;18;$4000;mia;H;sas;99;106;33.43;9pt 2rb 3as 1st 1bl 6to 2trey 3-9fg 1-2ft
20161030;4382;PG/SG;Knight Brandon;;17.75;$5600;pho;H;gsw;100;106;25.63;9pt 1rb 3as 2st 3to 1trey 3-12fg 2-2ft
20161030;4707;PG;Exum Dante;;17.5;$3100;uta;A;lac;75;88;25.65;10pt 2rb 2as 1st 3-6fg 4-4ft
20161030;3116;SG;Crawford Jamal;;16.75;$3900;lac;H;uta;88;75;20.85;12pt 1rb 1as 1st 4-9fg 4-4ft
20161030;3678;PG;Udrih Beno;;16.25;$3300;det;H;mil;98;83;16.85;6pt 3rb 6as 5to 3-5fg
20161030;3021;SG;Ginobili Manu;;16;$3900;sas;A;mia;106;99;27.50;4pt 6rb 2as 2st 5to 2-8fg
20161030;4756;PG/SG;Johnson Tyler;;16;$4200;mia;H;sas;99;106;30.38;12pt 3as 1to 5-11fg 2-3ft
20161030;4948;PG/SG;Harrison Andrew;;15.25;$3000;mem;H;was;112;103;29.55;9pt 1rb 3as 1trey 3-8fg 2-3ft
20161030;3514;SG;Barbosa Leandro;;13.75;$3000;pho;H;gsw;100;106;14.65;7pt 3rb 2as 3-6fg 1-2ft
