Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Luol Deng,DeMar DeRozan,Bradley Beal,Dorian Finney-Smith,John Wall,Patrick Beverley,Marvin Williams,DeMarcus Cousins,277.258,320.25,27,Dec122016,4,7
Bradley Beal,Wesley Matthews,Kelly Oubre Jr.,John Wall,Emmanuel Mudiay,Marvin Williams,DeMarcus Cousins,Nikola Jokic,277.938,312.5,1,Dec122016,4,7
Luol Deng,Wesley Matthews,Nicolas Batum,Giannis Antetokounmpo,Emmanuel Mudiay,Malcolm Brogdon,DeMarcus Cousins,Nikola Jokic,276.798,311.25,25,Dec122016,5,7
Nicolas Batum,Omri Casspi,Dorian Finney-Smith,John Wall,Kyle Lowry,Malcolm Brogdon,DeMarcus Cousins,Nikola Jokic,277.518,311.25,18,Dec122016,4,7
Luol Deng,DeMar DeRozan,Bradley Beal,Wesley Matthews,Glenn Robinson III,Damian Lillard,Hassan Whiteside,Nikola Jokic,276.598,310.25,4,Dec122016,6,7
Wesley Matthews,Nicolas Batum,Omri Casspi,Dorian Finney-Smith,Giannis Antetokounmpo,Patrick Beverley,DeMarcus Cousins,Marcin Gortat,277.758,307.5,7,Dec122016,4,7
James Harden,Wesley Matthews,Glenn Robinson III,John Wall,Emmanuel Mudiay,Ryan Anderson,Nikola Jokic,Clint Capela,276.578,306.75,7,Dec122016,6,7
Bradley Beal,Eric Gordon,Omri Casspi,John Wall,Deron Williams,Darren Collison,Marvin Williams,DeMarcus Cousins,277.088,303.75,39,Dec122016,4,7
James Harden,Rondae Hollis-Jefferson,Deron Williams,Patrick Beverley,Blake Griffin,Marvin Williams,Marcin Gortat,Nikola Jokic,276.808,303.75,23,Dec122016,5,7
Wesley Matthews,Rodney McGruder,Dorian Finney-Smith,John Wall,Kyle Lowry,Matthew Dellavedova,DeMarcus Cousins,Mason Plumlee,276.438,303.5,50,Dec122016,6,7
Cody Zeller,Jamal Crawford,Glenn Robinson III,Dorian Finney-Smith,Giannis Antetokounmpo,John Wall,Patrick Beverley,DeMarcus Cousins,276.658,303.25,42,Dec122016,5,7
Luol Deng,Marco Belinelli,John Wall,Goran Dragic,Deron Williams,Blake Griffin,Brook Lopez,Marcin Gortat,277.368,301.25,22,Dec122016,4,7
Luol Deng,Jamal Crawford,John Wall,Tyler Johnson,Patrick Beverley,Blake Griffin,Hassan Whiteside,Nikola Jokic,278.628,301.25,39,Dec122016,3,7
Markieff Morris,Wesley Matthews,Rodney McGruder,Glenn Robinson III,Dorian Finney-Smith,John Wall,Blake Griffin,DeMarcus Cousins,276.518,299.25,21,Dec122016,6,7
DeMarre Carroll,DeMar DeRozan,Glenn Robinson III,Omri Casspi,John Wall,Patrick Beverley,DeMarcus Cousins,Brook Lopez,276.518,298.0,20,Dec122016,6,7
Markieff Morris,Bradley Beal,John Wall,Darren Collison,Trevor Booker,Marvin Williams,Hassan Whiteside,Nikola Jokic,276.738,297.0,31,Dec122016,5,7
Nene Hilario,Bradley Beal,Wesley Matthews,Nicolas Batum,Glenn Robinson III,Giannis Antetokounmpo,John Wall,Trevor Booker,276.588,294.75,6,Dec122016,6,7
Luol Deng,Lou Williams,Rondae Hollis-Jefferson,Giannis Antetokounmpo,John Wall,Emmanuel Mudiay,Brook Lopez,Nikola Jokic,277.738,293.5,9,Dec122016,4,7
Paul George,Nicolas Batum,Dorian Finney-Smith,Giannis Antetokounmpo,Deron Williams,Matthew Dellavedova,Brook Lopez,Nikola Jokic,276.838,293.5,17,Dec122016,5,7
John Henson,Paul George,Bradley Beal,Glenn Robinson III,John Wall,Goran Dragic,Patrick Beverley,Nikola Jokic,279.508,293.5,28,Dec122016,3,7
Markieff Morris,Bradley Beal,Wesley Matthews,Giannis Antetokounmpo,Matthew Dellavedova,Blake Griffin,Marvin Williams,Nikola Jokic,276.718,293.0,33,Dec122016,5,7
Bradley Beal,Nicolas Batum,Rondae Hollis-Jefferson,John Wall,Blake Griffin,Marvin Williams,Marcin Gortat,Mason Plumlee,276.628,292.5,1,Dec122016,6,7
Trevor Ariza,Omri Casspi,John Wall,Patrick Beverley,Matthew Dellavedova,Blake Griffin,Marvin Williams,DeMarcus Cousins,276.608,292.25,3,Dec122016,6,7
Bradley Beal,Wesley Matthews,Nicolas Batum,Tyler Johnson,Patrick Beverley,Patrick Patterson,DeMarcus Cousins,Nikola Jokic,276.868,292.25,14,Dec122016,5,7
Luol Deng,Wesley Matthews,Eric Gordon,Bojan Bogdanovic,John Wall,Ryan Anderson,DeMarcus Cousins,Brook Lopez,280.038,292.0,24,Dec122016,3,7
Luol Deng,Lou Williams,Glenn Robinson III,Kyle Lowry,Deron Williams,Patrick Beverley,DeMarcus Cousins,Nikola Jokic,280.698,291.5,16,Dec122016,3,7
Lou Williams,Sean Kilpatrick,Dorian Finney-Smith,John Wall,Matthew Dellavedova,Marvin Williams,DeMarcus Cousins,Nikola Jokic,277.058,290.5,41,Dec122016,4,7
Rodney McGruder,Rondae Hollis-Jefferson,John Wall,Kyle Lowry,Ryan Anderson,Marvin Williams,DeMarcus Cousins,Nikola Jokic,277.578,290.5,15,Dec122016,4,7
Markieff Morris,Wesley Matthews,Nicolas Batum,Damian Lillard,Patrick Beverley,Ryan Anderson,Hassan Whiteside,Nikola Jokic,277.378,290.5,21,Dec122016,4,7
Markieff Morris,Nicolas Batum,Dorian Finney-Smith,John Wall,Goran Dragic,Blake Griffin,Marvin Williams,Marcin Gortat,276.688,290.25,37,Dec122016,5,7
Jusuf Nurkic,Eric Gordon,Rondae Hollis-Jefferson,Dorian Finney-Smith,John Wall,Kyle Lowry,Deron Williams,DeMarcus Cousins,276.948,289.75,47,Dec122016,4,7
Bradley Beal,Bojan Bogdanovic,Dorian Finney-Smith,Giannis Antetokounmpo,John Wall,Matthew Dellavedova,Ryan Anderson,Hassan Whiteside,278.998,289.0,33,Dec122016,3,7
Bradley Beal,Nicolas Batum,Bojan Bogdanovic,Deron Williams,Tyler Johnson,Emmanuel Mudiay,DeMarcus Cousins,Nikola Jokic,276.548,288.75,13,Dec122016,6,7
Wesley Matthews,Jeremy Lamb,Dorian Finney-Smith,John Wall,Kyle Lowry,Emmanuel Mudiay,DeMarcus Cousins,Clint Capela,276.488,288.25,31,Dec122016,6,7
Wesley Matthews,Sean Kilpatrick,Rondae Hollis-Jefferson,Omri Casspi,John Wall,Kyle Lowry,Emmanuel Mudiay,DeMarcus Cousins,276.838,287.75,16,Dec122016,5,7
