Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Alex Len,Blake Griffin,Marvin Williams,DeMar DeRozan,Avery Bradley,C.J. Miles,Kyle Lowry,Gordon Hayward,287.618,342.0,29,Nov92016,4,0
Andre Drummond,Alex Len,Ish Smith,Noah Vonleh,DeMar DeRozan,Kevin Durant,Eric Bledsoe,Andrew Wiggins,286.868,338.25,37,Nov92016,5,0
Alex Len,Blake Griffin,Marvin Williams,Klay Thompson,Seth Curry,John Wall,Kevin Durant,Andrew Wiggins,290.008,324.75,36,Nov92016,3,0
Nikola Vucevic,Noah Vonleh,DeMar DeRozan,Klay Thompson,Seth Curry,John Wall,Kyle Lowry,Carmelo Anthony,287.418,324.25,39,Nov92016,4,0
Andre Drummond,Ish Smith,DeMar DeRozan,Klay Thompson,Seth Curry,Brandon Jennings,Kevin Durant,Gordon Hayward,287.778,324.0,21,Nov92016,4,0
Andre Drummond,Alex Len,Noah Vonleh,Kentavious Caldwell-Pope,John Wall,Kyle Lowry,Carmelo Anthony,Gordon Hayward,286.738,323.75,9,Nov92016,6,0
Alex Len,Blake Griffin,Stephen Curry,Rodney Hood,Seth Curry,Chris Paul,Marcus Smart,Gordon Hayward,287.998,321.75,16,Nov92016,4,0
Alex Len,Jon Leuer,DeMar DeRozan,Kentavious Caldwell-Pope,Chris Paul,Isaiah Thomas,Gordon Hayward,Marcus Morris,288.478,320.25,2,Nov92016,4,0
Nikola Vucevic,Noah Vonleh,Kentavious Caldwell-Pope,Chris Paul,Kyle Lowry,Carmelo Anthony,Gordon Hayward,Marcus Morris,286.538,318.25,46,Nov92016,6,0
Al Jefferson,Blake Griffin,Klay Thompson,Tyus Jones,Kyle Lowry,Kevin Durant,Gordon Hayward,Marcus Morris,287.258,316.5,49,Nov92016,4,0
Alex Len,Paul Millsap,Noah Vonleh,Rodney Hood,Kentavious Caldwell-Pope,John Wall,Kevin Durant,Eric Bledsoe,287.018,315.5,16,Nov92016,5,0
Alex Len,Blake Griffin,Noah Vonleh,Chris Paul,Kent Bazemore,Isaiah Thomas,Kyle Lowry,Andrew Wiggins,291.758,315.0,20,Nov92016,3,0
DeAndre Jordan,Paul Millsap,Noah Vonleh,Klay Thompson,Kentavious Caldwell-Pope,Isaiah Thomas,Kyle Lowry,Gordon Hayward,288.558,314.25,1,Nov92016,4,0
Justin Anderson,Alex Len,DeMar DeRozan,Klay Thompson,Spencer Hawes,Chris Paul,John Wall,Kyle Lowry,286.538,312.75,45,Nov92016,6,0
Andre Drummond,Alex Len,Jon Leuer,DeMar DeRozan,Avery Bradley,Klay Thompson,Kyle Lowry,Marcus Morris,287.648,312.5,28,Nov92016,4,0
Alex Len,Stephen Curry,Jon Leuer,Avery Bradley,Rodney Hood,Seth Curry,Isaiah Thomas,Kevin Durant,287.138,311.5,7,Nov92016,5,0
Dennis Schroder,Alex Len,Paul Millsap,Noah Vonleh,Kentavious Caldwell-Pope,Chris Paul,Jimmy Butler,John Wall,286.568,311.5,39,Nov92016,6,0
P.J. Tucker,Andre Drummond,Alex Len,Paul Millsap,Marvin Williams,Avery Bradley,Kemba Walker,Kevin Durant,286.808,310.75,47,Nov92016,5,0
Brook Lopez,Trevor Booker,DeMar DeRozan,Isaiah Thomas,Tyus Jones,Kyle Lowry,Gordon Hayward,Marcus Morris,287.098,310.25,9,Nov92016,5,0
Mason Plumlee,Alex Len,Paul Millsap,DeMar DeRozan,Avery Bradley,Klay Thompson,Eric Bledsoe,Andrew Wiggins,286.718,309.75,11,Nov92016,6,0
Dwight Howard,Klay Thompson,Kentavious Caldwell-Pope,Seth Curry,Isaiah Thomas,Kevin Durant,Gordon Hayward,Maurice Harkless,288.288,309.0,6,Nov92016,4,0
Alex Len,Paul Millsap,DeMar DeRozan,Seth Curry,Chris Paul,C.J. Miles,Kevin Durant,Maurice Harkless,293.338,308.5,10,Nov92016,3,0
Alex Len,Blake Griffin,Trevor Booker,DeMar DeRozan,Klay Thompson,Rodney Hood,Kemba Walker,Marcus Morris,288.008,307.75,15,Nov92016,4,0
DeAndre Jordan,Blake Griffin,Noah Vonleh,DeMar DeRozan,C.J. Miles,Brandon Jennings,Kevin Durant,Gordon Hayward,288.128,307.25,11,Nov92016,4,0
P.J. Tucker,Andre Drummond,Alex Len,Kentavious Caldwell-Pope,Chris Paul,Isaiah Thomas,Marcus Smart,Kevin Durant,286.928,307.25,28,Nov92016,5,0
Al Jefferson,Blake Griffin,Paul Millsap,Trevor Booker,DeMar DeRozan,Klay Thompson,Marcus Smart,Gordon Hayward,286.858,307.0,38,Nov92016,5,0
Alex Len,Al Jefferson,John Wall,Isaiah Thomas,Marcus Smart,Kevin Durant,Gordon Hayward,Marcus Morris,286.518,306.0,48,Nov92016,6,0
P.J. Tucker,Nikola Vucevic,Noah Vonleh,DeMar DeRozan,Chris Paul,Kemba Walker,Marcus Smart,Kevin Durant,287.838,305.75,20,Nov92016,4,0
Andre Drummond,Avery Bradley,Seth Curry,Chris Paul,Tyus Jones,Kevin Durant,Andrew Wiggins,Marcus Morris,293.668,304.25,9,Nov92016,3,0
Andre Drummond,Alex Len,Blake Griffin,Stephen Curry,Kentavious Caldwell-Pope,Chris Paul,Tyus Jones,Maurice Harkless,286.678,302.5,16,Nov92016,6,0
DeAndre Jordan,Noah Vonleh,Seth Curry,Chris Paul,James Harden,Gordon Hayward,Andrew Wiggins,Maurice Harkless,286.738,302.0,7,Nov92016,6,0
Andre Drummond,Alex Len,Trevor Booker,Marvin Williams,Rodney Hood,Isaiah Thomas,Kevin Durant,Marcus Morris,288.278,301.75,7,Nov92016,4,0
Paul Millsap,DeMar DeRozan,Rodney Hood,Spencer Hawes,C.J. Miles,Isaiah Thomas,Gordon Hayward,Marcus Morris,287.048,301.5,13,Nov92016,5,0
Al Jefferson,Paul Millsap,DeMar DeRozan,Avery Bradley,Klay Thompson,Isaiah Thomas,DeMarre Carroll,Gordon Hayward,286.918,300.75,29,Nov92016,5,0
Dwight Howard,Kristaps Porzingis,Noah Vonleh,Avery Bradley,John Wall,Tyus Jones,Kyle Lowry,Gordon Hayward,286.598,300.75,31,Nov92016,6,0
Stephen Curry,Noah Vonleh,DeMar DeRozan,Klay Thompson,Spencer Hawes,Kemba Walker,Gordon Hayward,Andrew Wiggins,291.628,299.75,22,Nov92016,3,0
Alex Len,DeMar DeRozan,Courtney Lee,Brandon Jennings,John Wall,Kevin Durant,Gordon Hayward,Marcus Morris,287.018,299.75,17,Nov92016,5,0
Alex Len,Stephen Curry,Noah Vonleh,C.J. Miles,Kyle Lowry,Kemba Walker,Kevin Durant,Marcus Morris,292.208,298.75,16,Nov92016,3,0
Enes Kanter,Alex Len,Blake Griffin,DeMar DeRozan,Klay Thompson,Courtney Lee,Isaiah Thomas,Gordon Hayward,287.938,298.25,17,Nov92016,4,0
Andre Drummond,Trevor Booker,Noah Vonleh,DeMar DeRozan,Avery Bradley,Kyle Lowry,Marcus Smart,Carmelo Anthony,288.068,297.25,12,Nov92016,4,0
Andre Drummond,Alex Len,Paul Millsap,Klay Thompson,Chris Paul,Kyle Lowry,Marcus Smart,DeMarre Carroll,287.078,296.75,11,Nov92016,5,0
Andre Drummond,Paul Millsap,Noah Vonleh,DeMar DeRozan,Chris Paul,Kent Bazemore,Tyus Jones,Gordon Hayward,296.058,296.5,4,Nov92016,3,0
Avery Bradley,Klay Thompson,Seth Curry,Taj Gibson,Kyle Lowry,Kemba Walker,Kevin Durant,Maurice Harkless,286.748,296.5,5,Nov92016,6,0
Andre Drummond,Paul Millsap,Avery Bradley,Klay Thompson,Isaiah Thomas,Tyus Jones,Kyle Lowry,DeMarre Carroll,286.968,296.25,23,Nov92016,5,0
Andre Drummond,Alex Len,Marquese Chriss,Kentavious Caldwell-Pope,John Wall,Kevin Durant,Gordon Hayward,Marcus Morris,286.628,296.0,25,Nov92016,6,0
Andre Drummond,Paul Millsap,Trevor Booker,Marvin Williams,DeMar DeRozan,C.J. Miles,Isaiah Thomas,Marcus Smart,287.478,296.0,37,Nov92016,4,0
Dennis Schroder,Andre Drummond,Alex Len,Blake Griffin,Noah Vonleh,DeMar DeRozan,Klay Thompson,Devin Booker,287.258,295.75,50,Nov92016,4,0
DeAndre Jordan,Blake Griffin,Trevor Booker,Noah Vonleh,Kentavious Caldwell-Pope,John Wall,Kemba Walker,Gordon Hayward,286.858,295.0,39,Nov92016,5,0
P.J. Tucker,DeAndre Jordan,Klay Thompson,Rodney Hood,Seth Curry,Chris Paul,Kyle Lowry,Kevin Durant,286.978,294.75,22,Nov92016,5,0
Alex Len,Domantas Sabonis,DeMar DeRozan,Avery Bradley,Kent Bazemore,John Wall,Kemba Walker,Gordon Hayward,287.678,294.5,24,Nov92016,4,0
Mason Plumlee,Noah Vonleh,Avery Bradley,John Wall,Kyle Lowry,Eric Bledsoe,Gordon Hayward,Andrew Wiggins,287.068,294.5,12,Nov92016,5,0
Brook Lopez,Marvin Williams,Stephen Curry,Noah Vonleh,DeMar DeRozan,Avery Bradley,Tyus Jones,Kevin Durant,290.378,292.25,32,Nov92016,3,0
Andre Drummond,Noah Vonleh,Klay Thompson,Rodney Hood,Tyus Jones,Kemba Walker,Kevin Durant,Carmelo Anthony,289.168,291.75,43,Nov92016,3,0
Rondae Hollis-Jefferson,Andre Drummond,Marvin Williams,Noah Vonleh,Kentavious Caldwell-Pope,John Wall,Isaiah Thomas,Kevin Durant,286.968,291.25,24,Nov92016,5,0
Andre Drummond,Blake Griffin,Noah Vonleh,Avery Bradley,Isaiah Thomas,Gordon Hayward,Marcus Morris,Maurice Harkless,292.408,291.25,15,Nov92016,3,0
Alex Len,Taj Gibson,Chris Paul,John Wall,Marcus Smart,Gordon Hayward,Andrew Wiggins,Marcus Morris,287.118,291.0,8,Nov92016,5,0
Dennis Schroder,Alex Len,Blake Griffin,Paul Millsap,Trevor Booker,Avery Bradley,C.J. Miles,Isaiah Thomas,287.338,290.0,45,Nov92016,4,0
Dwight Howard,Trevor Booker,DeMar DeRozan,Klay Thompson,C.J. Miles,Tyus Jones,Kevin Durant,Andrew Wiggins,290.928,290.0,27,Nov92016,3,0
Andre Drummond,Alex Len,Stephen Curry,Courtney Lee,Kent Bazemore,Isaiah Thomas,Tyus Jones,Kevin Durant,288.018,288.25,14,Nov92016,4,0
Andre Drummond,Trevor Booker,Marquese Chriss,Kentavious Caldwell-Pope,Chris Paul,Isaiah Thomas,Gordon Hayward,Andrew Wiggins,288.068,288.0,13,Nov92016,4,0
Andre Drummond,Paul Millsap,Trevor Booker,Stephen Curry,Avery Bradley,Courtney Lee,Seth Curry,Gordon Hayward,290.498,288.0,31,Nov92016,3,0
Alex Len,Paul Millsap,Stephen Curry,Klay Thompson,C.J. Miles,John Wall,Tyus Jones,Gordon Hayward,292.678,287.5,13,Nov92016,3,0
Alex Len,Paul Millsap,Trevor Booker,Klay Thompson,Kent Bazemore,Isaiah Thomas,Eric Bledsoe,Carmelo Anthony,287.008,287.0,18,Nov92016,5,0
Noah Vonleh,Klay Thompson,Kentavious Caldwell-Pope,Taj Gibson,John Wall,Kyle Lowry,Marcus Smart,Kevin Durant,286.548,286.5,44,Nov92016,6,0
Joakim Noah,Paul Millsap,Avery Bradley,Klay Thompson,Kyle Lowry,Gordon Hayward,Andrew Wiggins,Maurice Harkless,286.988,286.25,21,Nov92016,5,0
Alex Len,Paul Millsap,Domantas Sabonis,Avery Bradley,Rodney Hood,Chris Paul,Isaiah Thomas,Marcus Morris,288.168,285.0,9,Nov92016,4,0
Enes Kanter,Alex Len,Trevor Booker,DeMar DeRozan,Rodney Hood,Kent Bazemore,Kyle Lowry,Kevin Durant,287.048,284.0,14,Nov92016,5,0
P.J. Tucker,Mason Plumlee,Alex Len,Blake Griffin,Stephen Curry,DeMar DeRozan,Avery Bradley,Klay Thompson,286.678,283.75,14,Nov92016,6,0
Alex Len,Trevor Booker,Noah Vonleh,Avery Bradley,Klay Thompson,Chris Paul,Kevin Durant,Gordon Hayward,301.968,283.25,1,Nov92016,3,0
Dwight Howard,Blake Griffin,Noah Vonleh,John Wall,Tyus Jones,Marcus Smart,Kevin Durant,Marcus Morris,286.848,282.75,41,Nov92016,5,0
Trevor Booker,DeMar DeRozan,Avery Bradley,Courtney Lee,Spencer Hawes,Kyle Lowry,Kevin Durant,Marcus Morris,287.288,282.75,48,Nov92016,4,0
Andre Drummond,Trevor Booker,Klay Thompson,Kent Bazemore,C.J. Miles,Kyle Lowry,Kemba Walker,Gordon Hayward,291.778,282.0,18,Nov92016,3,0
Dennis Schroder,Ish Smith,Noah Vonleh,DeMar DeRozan,Rodney Hood,Spencer Hawes,Chris Paul,Kevin Durant,286.948,281.5,25,Nov92016,5,0
Mason Plumlee,Trevor Booker,Marvin Williams,DeMar DeRozan,Seth Curry,Chris Paul,John Wall,Gordon Hayward,290.368,281.25,34,Nov92016,3,0
DeAndre Jordan,Blake Griffin,Noah Vonleh,DeMar DeRozan,Klay Thompson,Rodney Hood,Chris Paul,DeMarre Carroll,287.758,280.75,22,Nov92016,4,0
DeAndre Jordan,Kristaps Porzingis,Avery Bradley,Klay Thompson,Chris Paul,C.J. Miles,Tyus Jones,Kyle Lowry,287.168,280.75,5,Nov92016,5,0
Enes Kanter,Blake Griffin,Trevor Booker,Avery Bradley,Seth Curry,C.J. Miles,Kyle Lowry,Kevin Durant,286.848,280.5,40,Nov92016,5,0
Dennis Schroder,Alex Len,DeMar DeRozan,Klay Thompson,Kentavious Caldwell-Pope,Chris Paul,John Wall,DeMarre Carroll,286.698,280.0,12,Nov92016,6,0
Dennis Schroder,Cody Zeller,Paul Millsap,Noah Vonleh,Avery Bradley,John Wall,Kyle Lowry,Gordon Hayward,286.868,280.0,36,Nov92016,5,0
Alex Len,Ish Smith,Avery Bradley,Rodney Hood,Kent Bazemore,John Wall,Kevin Durant,Marcus Morris,287.488,279.25,36,Nov92016,4,0
P.J. Tucker,Andre Drummond,Blake Griffin,Paul Millsap,Marvin Williams,Chris Paul,C.J. Miles,Marcus Morris,288.128,279.25,10,Nov92016,4,0
Andre Drummond,DeAndre Jordan,Trevor Booker,Noah Vonleh,DeMar DeRozan,Seth Curry,C.J. McCollum,Kevin Durant,288.318,279.25,4,Nov92016,4,0
Mason Plumlee,Alex Len,Paul Millsap,Noah Vonleh,Chris Paul,James Harden,Marcus Smart,Marcus Morris,286.598,279.0,33,Nov92016,6,0
Nikola Vucevic,Paul Millsap,Chris Paul,Kent Bazemore,C.J. Miles,Isaiah Thomas,Marcus Smart,Marcus Morris,287.238,279.0,1,Nov92016,5,0
Trevor Booker,Seth Curry,Spencer Hawes,Chris Paul,Kent Bazemore,Isaiah Thomas,Kemba Walker,Kevin Durant,291.678,279.0,21,Nov92016,3,0
Dwight Howard,Noah Vonleh,Avery Bradley,Courtney Lee,John Wall,Carmelo Anthony,Gordon Hayward,Andrew Wiggins,286.608,278.5,29,Nov92016,6,0
Andre Drummond,Stephen Curry,Noah Vonleh,Klay Thompson,Seth Curry,Chris Paul,C.J. Miles,Isaiah Thomas,298.558,278.25,2,Nov92016,3,0
Brook Lopez,Blake Griffin,Paul Millsap,Noah Vonleh,Avery Bradley,Klay Thompson,Kent Bazemore,Kemba Walker,291.208,277.5,23,Nov92016,3,0
Mason Plumlee,Noah Vonleh,Chris Paul,Brandon Jennings,James Harden,Gordon Hayward,Andrew Wiggins,Marcus Morris,286.998,277.5,20,Nov92016,5,0
Dwight Howard,Paul Millsap,Trevor Booker,Marvin Williams,Kent Bazemore,Isaiah Thomas,Gordon Hayward,Marcus Morris,287.208,277.5,3,Nov92016,5,0
Alex Len,Paul Millsap,Noah Vonleh,Taj Gibson,Chris Paul,John Wall,Marcus Smart,Carmelo Anthony,286.808,277.25,46,Nov92016,5,0
Mason Plumlee,Blake Griffin,Paul Millsap,Stephen Curry,Noah Vonleh,DeMar DeRozan,C.J. Miles,Marcus Smart,287.878,276.75,19,Nov92016,4,0
Brook Lopez,Noah Vonleh,DeMar DeRozan,Klay Thompson,Chris Paul,Devin Booker,Brandon Jennings,Kyle Lowry,287.688,276.75,23,Nov92016,4,0
Enes Kanter,Alex Len,Trevor Booker,Stephen Curry,Seth Curry,Chris Paul,Kyle Lowry,Carmelo Anthony,287.548,276.5,35,Nov92016,4,0
Dwight Howard,Paul Millsap,Trevor Booker,Noah Vonleh,Rodney Hood,Chris Paul,C.J. Miles,Kyle Lowry,290.148,276.25,35,Nov92016,3,0
Alex Len,Trevor Booker,Stephen Curry,Noah Vonleh,DeMar DeRozan,John Wall,Isaiah Thomas,Maurice Harkless,293.098,275.75,12,Nov92016,3,0
