Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Russell Westbrook,Lance Stephenson,Nikola Vucevic,Monta Ellis,Sean Kilpatrick,J.J. Barea,Anthony Davis,Marcus Morris,286.168,341.0,17,Oct282016,4,8
Russell Westbrook,Jeff Teague,Roy Hibbert,Tim Frazier,Dion Waiters,Sean Kilpatrick,Anthony Davis,T.J. Warren,286.568,337.75,7,Oct282016,4,8
Russell Westbrook,Lance Stephenson,Justin Hamilton,Deron Williams,George Hill,Dion Waiters,Anthony Davis,Michael Kidd-Gilchrist,285.068,326.0,11,Oct282016,5,8
Russell Westbrook,Elfrid Payton,Tim Frazier,Sean Kilpatrick,Andre Roberson,Draymond Green,Kevin Love,Michael Kidd-Gilchrist,284.508,325.5,9,Oct282016,6,8
Jeff Teague,Elfrid Payton,Tim Frazier,Nicolas Batum,Andre Roberson,Anthony Davis,Draymond Green,T.J. Warren,284.268,320.5,36,Oct282016,6,8
Russell Westbrook,Justin Hamilton,Tim Frazier,Dion Waiters,Marvin Williams,Andre Roberson,Draymond Green,LeBron James,285.688,320.0,36,Oct282016,4,8
Russell Westbrook,Jeff Teague,Lance Stephenson,Justin Hamilton,Joe Johnson,J.J. Barea,Kevin Love,Kevin Durant,291.478,319.75,17,Oct282016,3,8
Russell Westbrook,Roy Hibbert,Tim Frazier,Ish Smith,Dion Waiters,Joe Harris,Kevin Love,Kevin Durant,285.048,318.75,14,Oct282016,5,8
Lance Stephenson,Deron Williams,Tim Frazier,Ish Smith,Andre Roberson,Anthony Davis,Myles Turner,LeBron James,284.298,318.25,27,Oct282016,6,8
Elfrid Payton,Justin Hamilton,Thaddeus Young,Devin Booker,Tyler Johnson,J.J. Barea,Anthony Davis,Kevin Durant,286.398,315.75,11,Oct282016,4,8
Jonas Valanciunas,Elfrid Payton,Tim Frazier,Dion Waiters,Andre Roberson,Tyler Johnson,Anthony Davis,LeBron James,284.228,311.75,42,Oct282016,6,8
Elfrid Payton,Monta Ellis,Kyrie Irving,Joe Johnson,J.J. Barea,Anthony Davis,Kevin Love,T.J. Warren,284.368,311.5,20,Oct282016,6,8
Lance Stephenson,Justin Hamilton,Deron Williams,Tim Frazier,Eric Gordon,James Harden,Anthony Davis,Marcus Morris,286.798,311.25,4,Oct282016,4,8
Russell Westbrook,Justin Hamilton,Deron Williams,Thaddeus Young,Luke Babbitt,J.J. Barea,Anthony Davis,Justise Winslow,285.228,309.75,4,Oct282016,5,8
Russell Westbrook,Elfrid Payton,Alex Len,Monta Ellis,Sean Kilpatrick,Thaddeus Young,J.J. Barea,Kevin Durant,286.398,308.75,12,Oct282016,4,8
Russell Westbrook,Roy Hibbert,Deron Williams,Joe Johnson,Wesley Matthews,J.J. Barea,Anthony Davis,T.J. Warren,287.088,308.25,2,Oct282016,4,8
Russell Westbrook,Alex Len,Monta Ellis,Ish Smith,Bojan Bogdanovic,J.J. Barea,Anthony Davis,T.J. Warren,286.848,307.75,3,Oct282016,4,8
Russell Westbrook,Elfrid Payton,Justin Hamilton,Tim Frazier,Joe Harris,Joe Johnson,Bojan Bogdanovic,Anthony Davis,294.438,307.5,7,Oct282016,3,8
Lance Stephenson,Elfrid Payton,Tim Frazier,Monta Ellis,Jon Leuer,James Harden,Anthony Davis,Justise Winslow,284.858,307.5,24,Oct282016,5,8
Russell Westbrook,Nikola Vucevic,Justin Hamilton,Tim Frazier,Monta Ellis,Luke Babbitt,Wesley Matthews,Kevin Durant,288.618,306.5,35,Oct282016,3,8
Elfrid Payton,Alex Len,Tim Frazier,Ish Smith,J.R. Smith,Anthony Davis,Kevin Durant,Marcus Morris,287.588,306.25,46,Oct282016,3,8
